Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 30/05/2016
TIME       : 23:00:01
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2016_05_30\CSV\sg_1_160530230001_H2366.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Micro-Diver=15
  Status                  =Started =0
  Serial number           =..00-H2366  215.
  Instrument number       =                    
                          =0
  Location                =sg_1
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-H2366  215.
  Instrument number       =                    
  Location                =sg_1
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 17/10/15
  End date / time         =00:45:22 30/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/10/17 17:00:00,1176.300,7.657
2015/10/17 17:15:00,1176.300,7.657
2015/10/17 17:30:00,1176.067,7.657
2015/10/17 17:45:00,1176.067,7.657
2015/10/17 18:00:00,1175.833,7.657
2015/10/17 18:15:00,1175.833,7.657
2015/10/17 18:30:00,1175.600,7.657
2015/10/17 18:45:00,1175.833,7.657
2015/10/17 19:00:00,1176.067,7.657
2015/10/17 19:15:00,1175.833,7.657
2015/10/17 19:30:00,1176.067,7.657
2015/10/17 19:45:00,1176.300,7.657
2015/10/17 20:00:00,1176.067,7.657
2015/10/17 20:15:00,1176.067,7.657
2015/10/17 20:30:00,1176.067,7.657
2015/10/17 20:45:00,1176.067,7.657
2015/10/17 21:00:00,1176.300,7.657
2015/10/17 21:15:00,1176.300,7.657
2015/10/17 21:30:00,1176.300,7.657
2015/10/17 21:45:00,1176.300,7.657
2015/10/17 22:00:00,1176.708,7.657
2015/10/17 22:15:00,1176.533,7.657
2015/10/17 22:30:00,1176.300,7.657
2015/10/17 22:45:00,1176.708,7.657
2015/10/17 23:00:00,1176.708,7.657
2015/10/17 23:15:00,1176.708,7.657
2015/10/17 23:30:00,1176.708,7.657
2015/10/17 23:45:00,1176.708,7.657
2015/10/18 00:00:00,1176.942,7.657
2015/10/18 00:15:00,1176.533,7.657
2015/10/18 00:30:00,1176.533,7.657
2015/10/18 00:45:00,1176.533,7.657
2015/10/18 01:00:00,1176.708,7.657
2015/10/18 01:15:00,1176.708,7.657
2015/10/18 01:30:00,1176.533,7.657
2015/10/18 01:45:00,1176.708,7.657
2015/10/18 02:00:00,1176.533,7.657
2015/10/18 02:15:00,1176.533,7.657
2015/10/18 02:30:00,1176.533,7.657
2015/10/18 02:45:00,1176.708,7.657
2015/10/18 03:00:00,1176.533,7.657
2015/10/18 03:15:00,1176.708,7.657
2015/10/18 03:30:00,1176.708,7.657
2015/10/18 03:45:00,1176.708,7.657
2015/10/18 04:00:00,1176.708,7.657
2015/10/18 04:15:00,1176.708,7.657
2015/10/18 04:30:00,1176.533,7.663
2015/10/18 04:45:00,1176.533,7.657
2015/10/18 05:00:00,1176.708,7.657
2015/10/18 05:15:00,1176.533,7.657
2015/10/18 05:30:00,1176.533,7.657
2015/10/18 05:45:00,1176.708,7.657
2015/10/18 06:00:00,1176.767,7.663
2015/10/18 06:15:00,1176.942,7.657
2015/10/18 06:30:00,1176.942,7.657
2015/10/18 06:45:00,1177.000,7.663
2015/10/18 07:00:00,1176.767,7.663
2015/10/18 07:15:00,1176.767,7.663
2015/10/18 07:30:00,1176.533,7.663
2015/10/18 07:45:00,1176.533,7.657
2015/10/18 08:00:00,1176.300,7.657
2015/10/18 08:15:00,1176.767,7.663
2015/10/18 08:30:00,1176.533,7.663
2015/10/18 08:45:00,1176.300,7.663
2015/10/18 09:00:00,1176.300,7.663
2015/10/18 09:15:00,1176.125,7.663
2015/10/18 09:30:00,1175.892,7.663
2015/10/18 09:45:00,1175.658,7.663
2015/10/18 10:00:00,1175.658,7.663
2015/10/18 10:15:00,1175.658,7.663
2015/10/18 10:30:00,1175.425,7.663
2015/10/18 10:45:00,1175.425,7.663
2015/10/18 11:00:00,1174.958,7.663
2015/10/18 11:15:00,1174.958,7.663
2015/10/18 11:30:00,1174.492,7.663
2015/10/18 11:45:00,1174.258,7.663
2015/10/18 12:00:00,1174.258,7.663
2015/10/18 12:15:00,1173.792,7.663
2015/10/18 12:30:00,1173.150,7.663
2015/10/18 12:45:00,1172.917,7.663
2015/10/18 13:00:00,1172.917,7.663
2015/10/18 13:15:00,1172.450,7.663
2015/10/18 13:30:00,1171.750,7.663
2015/10/18 13:45:00,1171.517,7.663
2015/10/18 14:00:00,1170.817,7.663
