Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 05/10/2016
TIME       : 15:56:37
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2016_10_02\CSV\2_161005155637_M9506.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9506  214.
  Instrument number       =                    
                          =0
  Location                =2
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9506  214.
  Instrument number       =                    
  Location                =2
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:09 31/05/16
  End date / time         =00:45:15 05/10/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2016/05/31 09:00:00,986.850,11.530
2016/05/31 09:15:00,986.675,12.603
2016/05/31 09:30:00,1091.925,14.240
2016/05/31 09:45:00,1089.525,11.803
2016/05/31 10:00:00,1089.000,11.523
2016/05/31 10:15:00,1088.550,11.353
2016/05/31 10:30:00,1088.125,11.240
2016/05/31 10:45:00,1088.275,11.167
2016/05/31 11:00:00,1088.200,11.120
2016/05/31 11:15:00,1088.200,11.080
2016/05/31 11:30:00,1088.200,11.053
2016/05/31 11:45:00,1087.900,11.027
2016/05/31 12:00:00,1087.725,11.007
2016/05/31 12:15:00,1087.850,10.990
2016/05/31 12:30:00,1088.125,10.970
2016/05/31 12:45:00,1087.900,10.957
2016/05/31 13:00:00,1088.200,10.950
2016/05/31 13:15:00,1088.125,10.937
2016/05/31 13:30:00,1087.950,10.937
2016/05/31 13:45:00,1088.025,10.923
2016/05/31 14:00:00,1088.200,10.917
2016/05/31 14:15:00,1088.475,10.910
2016/05/31 14:30:00,1088.550,10.897
2016/05/31 14:45:00,1089.075,10.897
2016/05/31 15:00:00,1088.900,10.897
2016/05/31 15:15:00,1088.475,10.883
2016/05/31 15:30:00,1088.550,10.877
2016/05/31 15:45:00,1088.375,10.877
2016/05/31 16:00:00,1088.375,10.877
2016/05/31 16:15:00,1088.550,10.870
2016/05/31 16:30:00,1088.375,10.863
2016/05/31 16:45:00,1088.375,10.863
2016/05/31 17:00:00,1087.950,10.857
2016/05/31 17:15:00,1088.200,10.850
2016/05/31 17:30:00,1088.200,10.850
2016/05/31 17:45:00,1088.200,10.843
2016/05/31 18:00:00,1088.375,10.837
2016/05/31 18:15:00,1088.375,10.830
2016/05/31 18:30:00,1088.200,10.830
2016/05/31 18:45:00,1088.125,10.823
2016/05/31 19:00:00,1088.025,10.817
2016/05/31 19:15:00,1087.850,10.810
2016/05/31 19:30:00,1087.850,10.810
2016/05/31 19:45:00,1088.025,10.803
2016/05/31 20:00:00,1088.025,10.803
2016/05/31 20:15:00,1087.950,10.797
2016/05/31 20:30:00,1088.025,10.790
2016/05/31 20:45:00,1088.025,10.790
2016/05/31 21:00:00,1088.025,10.783
2016/05/31 21:15:00,1087.675,10.777
2016/05/31 21:30:00,1087.600,10.770
2016/05/31 21:45:00,1087.600,10.770
2016/05/31 22:00:00,1087.500,10.763
2016/05/31 22:15:00,1087.500,10.757
2016/05/31 22:30:00,1087.500,10.750
2016/05/31 22:45:00,1087.300,10.750
2016/05/31 23:00:00,1087.125,10.743
2016/05/31 23:15:00,1087.250,10.737
2016/05/31 23:30:00,1087.125,10.730
2016/05/31 23:45:00,1086.775,10.723
2016/06/01 00:00:00,1086.600,10.723
2016/06/01 00:15:00,1086.600,10.717
2016/06/01 00:30:00,1086.775,10.717
2016/06/01 00:45:00,1086.175,10.710
2016/06/01 01:00:00,1086.075,10.703
2016/06/01 01:15:00,1085.725,10.703
2016/06/01 01:30:00,1085.725,10.697
2016/06/01 01:45:00,1085.375,10.697
2016/06/01 02:00:00,1085.550,10.690
2016/06/01 02:15:00,1085.375,10.683
2016/06/01 02:30:00,1085.200,10.683
2016/06/01 02:45:00,1085.200,10.677
2016/06/01 03:00:00,1085.025,10.670
2016/06/01 03:15:00,1084.750,10.663
2016/06/01 03:30:00,1084.750,10.663
2016/06/01 03:45:00,1084.500,10.657
2016/06/01 04:00:00,1084.325,10.657
2016/06/01 04:15:00,1084.425,10.650
2016/06/01 04:30:00,1084.225,10.643
2016/06/01 04:45:00,1084.050,10.643
2016/06/01 05:00:00,1084.325,10.637
2016/06/01 05:15:00,1084.325,10.630
2016/06/01 05:30:00,1084.150,10.630
2016/06/01 05:45:00,1083.975,10.623
2016/06/01 06:00:00,1084.150,10.623
2016/06/01 06:15:00,1084.325,10.617
2016/06/01 06:30:00,1084.325,10.610
2016/06/01 06:45:00,1084.225,10.603
2016/06/01 07:00:00,1084.400,10.603
2016/06/01 07:15:00,1084.150,10.597
2016/06/01 07:30:00,1084.150,10.590
2016/06/01 07:45:00,1084.150,10.590
2016/06/01 08:00:00,1084.225,10.583
2016/06/01 08:15:00,1084.050,10.583
2016/06/01 08:30:00,1084.150,10.577
2016/06/01 08:45:00,1084.150,10.570
2016/06/01 09:00:00,1083.975,10.570
2016/06/01 09:15:00,1083.975,10.563
2016/06/01 09:30:00,1083.975,10.557
2016/06/01 09:45:00,1083.975,10.550
2016/06/01 10:00:00,1083.800,10.550
2016/06/01 10:15:00,1083.800,10.550
2016/06/01 10:30:00,1083.350,10.543
2016/06/01 10:45:00,1083.350,10.537
2016/06/01 11:00:00,1083.175,10.537
2016/06/01 11:15:00,1083.075,10.530
2016/06/01 11:30:00,1083.175,10.523
2016/06/01 11:45:00,1083.350,10.523
2016/06/01 12:00:00,1083.075,10.517
2016/06/01 12:15:00,1082.900,10.510
2016/06/01 12:30:00,1082.900,10.510
2016/06/01 12:45:00,1082.625,10.503
2016/06/01 13:00:00,1082.825,10.503
