----------------------------------------------
PZ-CW TotHead [m]: 
    2016/05/31 09:00:00 429.149500 
    2016/05/31 09:15:00 429.150000 
    2016/05/31 09:30:00 430.806000 
    2016/05/31 09:45:00 430.809250 
    2016/05/31 10:00:00 430.809250 
    2016/05/31 10:15:00 430.811000 
    2016/05/31 10:30:00 430.811250 
    2016/05/31 10:45:00 430.809250 
    2016/05/31 11:00:00 430.809000 
    2016/05/31 11:15:00 430.809500 
    2016/05/31 11:30:00 430.811250 
    2016/05/31 11:45:00 430.813000 
    2016/05/31 12:00:00 430.814750 
    2016/05/31 12:15:00 430.816250 
    2016/05/31 12:30:00 430.814750 
    2016/05/31 12:45:00 430.818000 
    2016/05/31 13:00:00 430.819750 
    2016/05/31 13:15:00 430.819750 
    2016/05/31 13:30:00 430.819750 
    2016/05/31 13:45:00 430.821500 
    2016/05/31 14:00:00 430.817750 
    2016/05/31 14:15:00 430.812250 
    2016/05/31 14:30:00 430.806750 
    2016/05/31 14:45:00 430.797750 
    2016/05/31 15:00:00 430.790500 
    2016/05/31 15:15:00 430.783000 
    2016/05/31 15:30:00 430.777500 
    2016/05/31 15:45:00 430.772000 
    2016/05/31 16:00:00 430.768250 
    2016/05/31 16:15:00 430.761250 
    2016/05/31 16:30:00 430.754000 
    2016/05/31 16:45:00 430.750250 
    2016/05/31 17:00:00 430.743000 
    2016/05/31 17:15:00 430.739250 
    2016/05/31 17:30:00 430.733500 
    2016/05/31 17:45:00 430.728250 
    2016/05/31 18:00:00 430.721500 
    2016/05/31 18:15:00 430.717750 
    2016/05/31 18:30:00 430.712250 
    2016/05/31 18:45:00 430.708250 
    2016/05/31 19:00:00 430.703000 
    2016/05/31 19:15:00 430.699500 
    2016/05/31 19:30:00 430.697000 
    2016/05/31 19:45:00 430.690500 
    2016/05/31 20:00:00 430.686250 
    2016/05/31 20:15:00 430.682500 
    2016/05/31 20:30:00 430.677750 
    2016/05/31 20:45:00 430.675750 
    2016/05/31 21:00:00 430.671750 
    2016/05/31 21:15:00 430.666500 
    2016/05/31 21:30:00 430.664500 
    2016/05/31 21:45:00 430.662500 
    2016/05/31 22:00:00 430.655250 
    2016/05/31 22:15:00 430.652000 
    2016/05/31 22:30:00 430.649750 
    2016/05/31 22:45:00 430.646000 
    2016/05/31 23:00:00 430.644250 
    2016/05/31 23:15:00 430.639000 
    2016/05/31 23:30:00 430.636750 
    2016/05/31 23:45:00 430.633000 
    2016/06/01 00:00:00 430.629500 
    2016/06/01 00:15:00 430.626000 
    2016/06/01 00:30:00 430.624000 
    2016/06/01 00:45:00 430.620250 
    2016/06/01 01:00:00 430.616750 
    2016/06/01 01:15:00 430.614500 
    2016/06/01 01:30:00 430.609000 
    2016/06/01 01:45:00 430.605750 
    2016/06/01 02:00:00 430.605250 
    2016/06/01 02:15:00 430.601750 
    2016/06/01 02:30:00 430.598000 
    2016/06/01 12:00:00 430.501500 
    2016/06/01 12:15:00 430.501500 
    2016/06/01 12:30:00 430.496250 
    2016/06/01 12:45:00 430.499750 
    2016/06/01 13:00:00 430.497750 
    2016/06/01 13:15:00 430.498000 
    2016/06/01 13:30:00 430.496000 
    2016/06/01 13:45:00 430.498000 
    2016/06/01 14:00:00 430.497750 
    2016/06/01 14:15:00 430.497750 
    2016/06/01 14:30:00 430.490500 
    2016/06/01 14:45:00 430.492250 
    2016/06/01 15:00:00 430.490750 
    2016/06/01 15:15:00 430.487250 
    2016/06/01 15:30:00 430.485000 
    2016/06/01 15:45:00 430.485000 
    2016/06/01 16:00:00 430.483500 
    2016/06/01 16:15:00 430.476000 
    2016/06/01 16:30:00 430.481500 
    2016/06/01 16:45:00 430.478000 
    2016/06/01 17:00:00 430.479750 
    2016/06/01 17:15:00 430.478000 
    2016/06/01 17:30:00 430.478250 
    2016/06/01 17:45:00 430.480000 
    2016/06/01 18:00:00 430.478000 
    2016/06/01 18:15:00 430.478000 
    2016/06/01 18:30:00 430.478000 
    2016/06/01 18:45:00 430.476000 
    2016/06/01 19:00:00 430.480000 
    2016/06/01 19:15:00 430.479750 
    2016/06/01 19:30:00 430.485000 
    2016/06/01 19:45:00 430.485000 
    2016/06/01 20:00:00 430.485000 
    2016/06/01 20:15:00 430.488250 
    2016/06/01 20:30:00 430.490500 
    2016/06/01 20:45:00 430.488500 
    2016/06/01 21:00:00 430.491000 
    2016/06/01 21:15:00 430.494500 
    2016/06/01 21:30:00 430.496500 
    2016/06/01 21:45:00 430.500000 
    2016/06/01 22:00:00 430.503500 
    2016/06/01 22:15:00 430.506750 
    2016/06/01 22:30:00 430.505250 
    2016/06/01 22:45:00 430.507000 
    2016/06/01 23:00:00 430.505250 
    2016/06/01 23:15:00 430.508750 
    2016/06/01 23:30:00 430.510000 
    2016/06/01 23:45:00 430.511750 
    2016/06/02 00:00:00 430.513750 
    2016/06/02 00:15:00 430.513750 
    2016/06/02 00:30:00 430.512250 
    2016/06/02 00:45:00 430.513750 
    2016/06/02 01:00:00 430.514000 
    2016/06/02 01:15:00 430.512000 
    2016/06/02 01:30:00 430.517500 
    2016/06/02 01:45:00 430.517250 
    2016/06/02 02:00:00 430.515500 
    2016/06/02 02:15:00 430.517500 
    2016/06/02 02:30:00 430.519000 
    2016/06/02 02:45:00 430.515750 
    2016/06/02 03:00:00 430.517250 
    2016/06/02 03:15:00 430.515750 
    2016/06/02 03:30:00 430.517750 
    2016/06/02 03:45:00 430.519500 
    2016/06/02 04:00:00 430.519500 
    2016/06/02 04:15:00 430.517750 
    2016/06/02 04:30:00 430.517750 
    2016/06/02 04:45:00 430.517750 
    2016/06/02 05:00:00 430.518000 
    2016/06/02 05:15:00 430.518000 
    2016/06/02 05:30:00 430.516000 
    2016/06/02 05:45:00 430.517750 
    2016/06/02 06:00:00 430.512750 
    2016/06/02 06:15:00 430.514250 
    2016/06/02 06:30:00 430.510500 
    2016/06/02 06:45:00 430.508750 
    2016/06/02 07:00:00 430.509250 
    2016/06/02 07:15:00 430.509000 
    2016/06/02 07:30:00 430.511000 
    2016/06/02 07:45:00 430.509000 
    2016/06/02 08:00:00 430.509250 
    2016/06/02 08:15:00 430.507500 
    2016/06/02 08:30:00 430.507500 
    2016/06/02 08:45:00 430.511000 
    2016/06/02 09:00:00 430.507750 
    2016/06/02 09:15:00 430.507750 
    2016/06/02 09:30:00 430.509500 
    2016/06/02 09:45:00 430.509500 
    2016/06/02 10:00:00 430.509250 
    2016/06/02 10:15:00 430.511250 
    2016/06/02 10:30:00 430.506000 
    2016/06/02 10:45:00 430.505750 
    2016/06/02 11:00:00 430.504000 
    2016/06/02 11:15:00 430.503750 
    2016/06/02 11:30:00 430.500500 
    2016/06/02 11:45:00 430.500750 
    2016/06/02 12:00:00 430.497250 
    2016/06/02 12:15:00 430.498750 
    2016/06/02 12:30:00 430.497250 
    2016/06/02 12:45:00 430.493750 
    2016/06/02 13:00:00 430.495500 
    2016/06/02 13:15:00 430.493750 
    2016/06/02 13:30:00 430.488500 
    2016/06/02 13:45:00 430.488500 
    2016/06/02 14:00:00 430.488250 
    2016/06/02 14:15:00 430.484750 
    2016/06/02 14:30:00 430.481000 
    2016/06/02 14:45:00 430.481500 
    2016/06/02 15:00:00 430.476000 
    2016/06/02 15:15:00 430.479250 
    2016/06/02 15:30:00 430.474000 
    2016/06/02 15:45:00 430.472250 
    2016/06/02 16:00:00 430.467250 
    2016/06/02 16:15:00 430.472250 
    2016/06/02 16:30:00 430.462000 
    2016/06/02 16:45:00 430.462000 
    2016/06/02 17:00:00 430.461750 
    2016/06/02 17:15:00 430.456500 
    2016/06/02 17:30:00 430.456500 
    2016/06/02 17:45:00 430.456500 
    2016/06/02 18:00:00 430.454750 
    2016/06/02 18:15:00 430.449750 
    2016/06/02 18:30:00 430.449750 
    2016/06/02 18:45:00 430.446000 
    2016/06/02 19:00:00 430.442500 
    2016/06/02 19:15:00 430.444250 
    2016/06/02 19:30:00 430.440750 
    2016/06/02 19:45:00 430.438750 
    2016/06/02 20:00:00 430.439000 
    2016/06/02 20:15:00 430.438750 
    2016/06/02 20:30:00 430.431500 
    2016/06/02 20:45:00 430.431750 
    2016/06/02 21:00:00 430.431500 
    2016/06/02 21:15:00 430.433500 
    2016/06/02 21:30:00 430.433500 
    2016/06/02 21:45:00 430.433500 
    2016/06/02 22:00:00 430.432000 
    2016/06/02 22:15:00 430.433500 
    2016/06/02 22:30:00 430.431750 
    2016/06/02 22:45:00 430.435250 
    2016/06/02 23:00:00 430.437250 
    2016/06/02 23:15:00 430.430250 
    2016/06/02 23:30:00 430.435500 
    2016/06/02 23:45:00 430.435500 
    2016/06/03 00:00:00 430.433750 
    2016/06/03 00:15:00 430.434000 
    2016/06/03 00:30:00 430.434000 
    2016/06/03 00:45:00 430.435250 
    2016/06/03 01:00:00 430.435250 
    2016/06/03 01:15:00 430.430000 
    2016/06/03 01:30:00 430.430250 
    2016/06/03 01:45:00 430.428250 
    2016/06/03 02:00:00 430.426250 
    2016/06/03 02:15:00 430.426250 
    2016/06/03 02:30:00 430.426500 
    2016/06/03 02:45:00 430.424750 
    2016/06/03 03:00:00 430.421000 
    2016/06/03 03:15:00 430.422500 
    2016/06/03 03:30:00 430.424250 
    2016/06/03 03:45:00 430.421000 
    2016/06/03 04:00:00 430.422500 
    2016/06/03 04:15:00 430.418750 
    2016/06/03 04:30:00 430.418750 
    2016/06/03 04:45:00 430.420750 
    2016/06/03 05:00:00 430.419000 
    2016/06/03 05:15:00 430.422500 
    2016/06/03 05:30:00 430.424500 
    2016/06/03 05:45:00 430.424250 
    2016/06/03 06:00:00 430.426000 
    2016/06/03 06:15:00 430.426000 
    2016/06/03 06:30:00 430.424000 
    2016/06/03 06:45:00 430.422000 
    2016/06/03 07:00:00 430.418750 
    2016/06/03 07:15:00 430.418750 
    2016/06/03 07:30:00 430.418500 
    2016/06/03 07:45:00 430.417000 
    2016/06/03 08:00:00 430.411750 
    2016/06/03 08:15:00 430.415250 
    2016/06/03 08:30:00 430.411750 
    2016/06/03 08:45:00 430.413500 
    2016/06/03 09:00:00 430.415000 
    2016/06/03 09:15:00 430.410000 
    2016/06/03 09:30:00 430.411500 
    2016/06/03 09:45:00 430.409750 
    2016/06/03 10:00:00 430.409750 
    2016/06/03 10:15:00 430.409750 
    2016/06/03 10:30:00 430.408000 
    2016/06/03 10:45:00 430.408000 
    2016/06/03 11:00:00 430.408000 
    2016/06/03 11:15:00 430.411250 
    2016/06/03 11:30:00 430.406000 
    2016/06/03 11:45:00 430.404250 
    2016/06/03 12:00:00 430.406000 
    2016/06/03 12:15:00 430.406000 
    2016/06/03 12:30:00 430.406000 
    2016/06/03 12:45:00 430.407750 
    2016/06/03 13:00:00 430.409500 
    2016/06/03 13:15:00 430.413250 
    2016/06/03 13:30:00 430.416750 
    2016/06/03 13:45:00 430.414750 
    2016/06/03 14:00:00 430.413250 
    2016/06/03 14:15:00 430.411250 
    2016/06/03 14:30:00 430.408000 
    2016/06/03 14:45:00 430.404000 
    2016/06/03 15:00:00 430.405750 
    2016/06/03 15:15:00 430.402500 
    2016/06/03 15:30:00 430.397000 
    2016/06/03 15:45:00 430.393500 
    2016/06/03 16:00:00 430.389750 
    2016/06/03 16:15:00 430.384250 
    2016/06/03 16:30:00 430.380750 
    2016/06/03 16:45:00 430.379000 
    2016/06/03 17:00:00 430.379000 
    2016/06/03 17:15:00 430.380750 
    2016/06/03 17:30:00 430.375500 
    2016/06/03 17:45:00 430.377250 
    2016/06/03 18:00:00 430.370250 
    2016/06/03 18:15:00 430.370250 
    2016/06/03 18:30:00 430.371750 
    2016/06/03 18:45:00 430.372000 
    2016/06/03 19:00:00 430.377250 
    2016/06/03 19:15:00 430.375500 
    2016/06/03 19:30:00 430.373750 
    2016/06/03 19:45:00 430.378750 
    2016/06/03 20:00:00 430.378750 
    2016/06/03 20:15:00 430.380750 
    2016/06/03 20:30:00 430.377250 
    2016/06/03 20:45:00 430.379000 
    2016/06/03 21:00:00 430.384000 
    2016/06/03 21:15:00 430.384250 
    2016/06/03 21:30:00 430.384250 
    2016/06/03 21:45:00 430.384250 
    2016/06/03 22:00:00 430.389500 
    2016/06/03 22:15:00 430.384500 
    2016/06/03 22:30:00 430.382750 
    2016/06/03 22:45:00 430.382500 
    2016/06/03 23:00:00 430.381000 
    2016/06/03 23:15:00 430.380750 
    2016/06/03 23:30:00 430.380500 
    2016/06/03 23:45:00 430.380250 
    2016/06/04 00:00:00 430.380250 
    2016/06/04 00:15:00 430.378750 
    2016/06/04 00:30:00 430.383750 
    2016/06/04 00:45:00 430.385750 
    2016/06/04 01:00:00 430.389250 
    2016/06/04 01:15:00 430.392750 
    2016/06/04 01:30:00 430.396250 
    2016/06/04 01:45:00 430.398000 
    2016/06/04 02:00:00 430.396250 
    2016/06/04 02:15:00 430.394500 
    2016/06/04 02:30:00 430.394500 
    2016/06/04 02:45:00 430.399500 
    2016/06/04 03:00:00 430.398000 
    2016/06/04 03:15:00 430.401250 
    2016/06/04 03:30:00 430.400000 
    2016/06/04 03:45:00 430.401500 
    2016/06/04 04:00:00 430.401250 
    2016/06/04 04:15:00 430.403000 
    2016/06/04 04:30:00 430.405000 
    2016/06/04 04:45:00 430.403000 
    2016/06/04 05:00:00 430.401500 
    2016/06/04 05:15:00 430.403000 
    2016/06/04 05:30:00 430.406750 
    2016/06/04 05:45:00 430.411750 
    2016/06/04 06:00:00 430.413750 
    2016/06/04 06:15:00 430.413750 
    2016/06/04 06:30:00 430.415250 
    2016/06/04 06:45:00 430.413750 
    2016/06/04 07:00:00 430.412000 
    2016/06/04 07:15:00 430.415250 
    2016/06/04 07:30:00 430.420750 
    2016/06/04 07:45:00 430.420750 
    2016/06/04 08:00:00 430.421000 
    2016/06/04 08:15:00 430.424250 
    2016/06/04 08:30:00 430.426250 
    2016/06/04 08:45:00 430.429500 
    2016/06/04 09:00:00 430.427750 
    2016/06/04 09:15:00 430.429750 
    2016/06/04 09:30:00 430.428000 
