----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/05/31 09:00:00 428.130750 
    2016/05/31 09:15:00 428.133000 
    2016/05/31 09:30:00 428.132420 
    2016/05/31 09:45:00 428.236580 
    2016/05/31 10:00:00 428.236580 
    2016/05/31 10:15:00 428.236000 
    2016/05/31 10:30:00 428.231580 
    2016/05/31 10:45:00 428.229580 
    2016/05/31 11:00:00 428.231670 
    2016/05/31 11:15:00 428.233920 
    2016/05/31 11:30:00 428.229250 
    2016/05/31 11:45:00 428.231000 
    2016/05/31 12:00:00 428.230420 
    2016/05/31 12:15:00 428.231920 
    2016/05/31 12:30:00 428.235080 
    2016/05/31 12:45:00 428.235420 
    2016/05/31 13:00:00 428.238920 
    2016/05/31 13:15:00 428.241830 
    2016/05/31 13:30:00 428.237750 
    2016/05/31 13:45:00 428.241250 
    2016/05/31 14:00:00 428.240080 
    2016/05/31 14:15:00 428.245920 
    2016/05/31 14:30:00 428.243580 
    2016/05/31 14:45:00 428.243580 
    2016/05/31 15:00:00 428.241830 
    2016/05/31 15:15:00 428.243580 
    2016/05/31 15:30:00 428.243000 
    2016/05/31 15:45:00 428.242420 
    2016/05/31 16:00:00 428.247080 
    2016/05/31 16:15:00 428.245330 
    2016/05/31 16:30:00 428.242420 
    2016/05/31 16:45:00 428.244170 
    2016/05/31 17:00:00 428.241830 
    2016/05/31 17:15:00 428.244170 
    2016/05/31 17:30:00 428.246250 
    2016/05/31 17:45:00 428.244750 
    2016/05/31 18:00:00 428.240920 
    2016/05/31 18:15:00 428.243830 
    2016/05/31 18:30:00 428.242670 
    2016/05/31 18:45:00 428.244750 
    2016/05/31 19:00:00 428.242670 
    2016/05/31 19:15:00 428.242080 
    2016/05/31 19:30:00 428.246250 
    2016/05/31 19:45:00 428.242670 
    2016/05/31 20:00:00 428.243920 
    2016/05/31 20:15:00 428.244500 
    2016/05/31 20:30:00 428.240920 
    2016/05/31 20:45:00 428.246750 
    2016/05/31 21:00:00 428.245330 
    2016/05/31 21:15:00 428.244420 
    2016/05/31 21:30:00 428.244750 
    2016/05/31 21:45:00 428.247080 
    2016/05/31 22:00:00 428.243580 
    2016/05/31 22:15:00 428.245580 
    2016/05/31 22:30:00 428.248250 
    2016/05/31 22:45:00 428.243580 
    2016/05/31 23:00:00 428.250580 
    2016/05/31 23:15:00 428.243250 
    2016/05/31 23:30:00 428.248250 
    2016/05/31 23:45:00 428.248830 
    2016/06/01 00:00:00 428.248830 
    2016/06/01 00:15:00 428.247920 
    2016/06/01 00:30:00 428.244750 
    2016/06/01 00:45:00 428.248250 
    2016/06/01 01:00:00 428.246170 
    2016/06/01 01:15:00 428.248250 
    2016/06/01 01:30:00 428.244750 
    2016/06/01 01:45:00 428.244420 
    2016/06/01 02:00:00 428.243580 
    2016/06/01 02:15:00 428.248250 
    2016/06/01 02:30:00 428.245330 
    2016/06/01 02:45:00 428.240670 
    2016/06/01 03:00:00 428.246750 
    2016/06/01 03:15:00 428.242080 
    2016/06/01 03:30:00 428.243250 
    2016/06/01 03:45:00 428.240920 
    2016/06/01 04:00:00 428.243500 
    2016/06/01 04:15:00 428.245000 
    2016/06/01 04:30:00 428.241750 
    2016/06/01 04:45:00 428.243250 
    2016/06/01 05:00:00 428.242080 
    2016/06/01 05:15:00 428.239170 
    2016/06/01 05:30:00 428.239750 
    2016/06/01 05:45:00 428.241750 
    2016/06/01 06:00:00 428.238830 
    2016/06/01 06:15:00 428.243250 
    2016/06/01 06:30:00 428.239170 
    2016/06/01 06:45:00 428.238830 
    2016/06/01 07:00:00 428.239170 
    2016/06/01 07:15:00 428.243250 
    2016/06/01 07:30:00 428.236830 
    2016/06/01 07:45:00 428.236250 
    2016/06/01 08:00:00 428.235670 
    2016/06/01 08:15:00 428.233000 
    2016/06/01 08:30:00 428.241170 
    2016/06/01 08:45:00 428.238000 
    2016/06/01 09:00:00 428.239170 
    2016/06/01 09:15:00 428.235670 
    2016/06/01 09:30:00 428.236250 
    2016/06/01 09:45:00 428.237670 
    2016/06/01 10:00:00 428.233330 
    2016/06/01 10:15:00 428.234500 
    2016/06/01 10:30:00 428.233330 
    2016/06/01 10:45:00 428.234170 
    2016/06/01 11:00:00 428.237420 
    2016/06/01 11:15:00 428.236750 
    2016/06/01 11:30:00 428.232420 
    2016/06/01 11:45:00 428.233830 
    2016/06/01 12:00:00 428.233830 
    2016/06/01 12:15:00 428.232670 
    2016/06/01 12:30:00 428.237330 
    2016/06/01 12:45:00 428.237920 
    2016/06/01 13:00:00 428.234750 
    2016/06/01 13:15:00 428.232670 
    2016/06/01 13:30:00 428.238500 
    2016/06/01 13:45:00 428.237920 
    2016/06/01 14:00:00 428.243170 
    2016/06/01 14:15:00 428.246170 
    2016/06/01 14:30:00 428.247920 
    2016/06/01 14:45:00 428.247580 
    2016/06/01 15:00:00 428.252250 
    2016/06/01 15:15:00 428.254000 
    2016/06/01 15:30:00 428.252250 
    2016/06/01 15:45:00 428.250500 
    2016/06/01 16:00:00 428.257500 
    2016/06/01 16:15:00 428.259250 
    2016/06/01 16:30:00 428.262750 
    2016/06/01 16:45:00 428.263920 
    2016/06/01 17:00:00 428.270330 
    2016/06/01 17:15:00 428.274750 
    2016/06/01 17:30:00 428.274420 
    2016/06/01 17:45:00 428.280000 
    2016/06/01 18:00:00 428.278500 
    2016/06/01 18:15:00 428.280830 
    2016/06/01 18:30:00 428.287830 
    2016/06/01 18:45:00 428.283170 
    2016/06/01 19:00:00 428.289000 
    2016/06/01 19:15:00 428.289580 
    2016/06/01 19:30:00 428.292500 
    2016/06/01 19:45:00 428.292500 
    2016/06/01 20:00:00 428.293080 
    2016/06/01 20:15:00 428.295170 
    2016/06/01 20:30:00 428.298080 
