Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 12/08/2015
TIME       : 23:03:42
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2015_08_12_download\CSV\h2366_150812230342_H2366.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Micro-Diver=15
  Status                  =Started =0
  Serial number           =..00-H2366  215.
  Instrument number       =                    
                          =0
  Location                =h2366
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-H2366  215.
  Instrument number       =                    
  Location                =h2366
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:11 09/06/15
  End date / time         =00:20:22 12/08/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/06/09 11:00:00,1015.825,15.920
2015/06/09 11:10:00,1015.825,15.967
2015/06/09 11:20:00,1015.650,16.007
2015/06/09 11:30:00,1015.650,16.027
2015/06/09 11:40:00,1015.650,16.060
2015/06/09 11:50:00,1015.358,16.083
2015/06/09 12:00:00,1015.125,16.097
2015/06/09 12:10:00,1014.950,16.137
2015/06/09 12:20:00,1014.892,16.143
2015/06/09 12:30:00,1014.717,16.210
2015/06/09 12:40:00,1014.483,16.277
2015/06/09 12:50:00,1014.425,16.343
2015/06/09 13:00:00,1014.717,16.453
2015/06/09 13:10:00,1014.483,16.533
2015/06/09 13:20:00,1014.658,16.620
2015/06/09 13:30:00,1014.192,16.720
2015/06/09 13:40:00,1013.725,16.803
2015/06/09 13:50:00,1014.017,16.917
2015/06/09 14:00:00,1014.250,16.970
2015/06/09 14:10:00,1013.492,17.050
2015/06/09 14:20:00,1013.258,17.097
2015/06/09 14:30:00,1012.792,17.247
2015/06/09 14:40:00,1013.025,17.300
2015/06/09 14:50:00,1012.792,17.373
2015/06/09 15:00:00,1012.792,17.503
2015/06/09 15:10:00,1012.558,17.913
2015/06/09 15:20:00,1012.383,18.053
2015/06/09 15:30:00,1012.733,17.980
2015/06/09 15:40:00,1012.558,18.000
2015/06/09 15:50:00,1012.383,18.100
