Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 12/08/2015
TIME       : 23:03:42
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2015_08_12_download\CSV\sws_m9449_150812230342_M9449.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9449  214.
  Instrument number       =                    
                          =0
  Location                =sws_m9449
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9449  214.
  Instrument number       =                    
  Location                =sws_m9449
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:11 09/06/15
  End date / time         =00:30:22 12/08/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/06/09 11:00:00,1051.725,7.907
2015/06/09 11:10:00,1051.850,7.757
2015/06/09 11:20:00,1051.650,7.683
2015/06/09 11:30:00,1051.725,7.623
2015/06/09 11:40:00,1051.850,7.560
2015/06/09 11:50:00,1051.650,7.513
2015/06/09 12:00:00,1051.475,7.480
2015/06/09 12:10:00,1051.300,7.447
2015/06/09 12:20:00,1051.125,7.413
2015/06/09 12:30:00,1050.775,7.377
2015/06/09 12:40:00,1050.700,7.363
2015/06/09 12:50:00,1050.575,7.343
2015/06/09 13:00:00,1050.775,7.330
2015/06/09 13:10:00,1050.575,7.317
2015/06/09 13:20:00,1050.575,7.297
2015/06/09 13:30:00,1050.050,7.283
2015/06/09 13:40:00,1050.275,7.277
2015/06/09 13:50:00,1050.225,7.263
2015/06/09 14:00:00,1050.050,7.243
2015/06/09 14:10:00,1049.700,7.237
2015/06/09 14:20:00,1049.325,7.230
2015/06/09 14:30:00,1049.150,7.237
2015/06/09 14:40:00,1048.975,7.283
2015/06/09 14:50:00,1048.800,7.283
2015/06/09 15:00:00,1048.975,7.297
2015/06/09 15:10:00,1048.975,7.317
2015/06/09 15:20:00,1048.800,7.330
2015/06/09 15:30:00,1048.600,7.350
2015/06/09 15:40:00,1048.600,7.337
2015/06/09 15:50:00,1048.250,7.310
2015/06/09 16:00:00,1048.300,7.277
2015/06/09 16:10:00,1048.075,7.263
2015/06/09 16:20:00,1047.900,7.250
2015/06/09 16:30:00,1047.725,7.230
2015/06/09 16:40:00,1047.725,7.217
2015/06/09 16:50:00,1047.725,7.197
2015/06/09 17:00:00,1047.725,7.183
2015/06/09 17:10:00,1047.725,7.167
2015/06/09 17:20:00,1047.525,7.167
2015/06/09 17:30:00,1047.350,7.160
2015/06/09 17:40:00,1047.350,7.160
2015/06/09 17:50:00,1047.000,7.153
2015/06/09 18:00:00,1046.650,7.147
2015/06/09 18:10:00,1046.450,7.147
2015/06/09 18:20:00,1046.100,7.140
2015/06/09 18:30:00,1045.975,7.127
2015/06/09 18:40:00,1045.975,7.127
2015/06/09 18:50:00,1045.550,7.120
2015/06/09 19:00:00,1045.800,7.127
2015/06/09 19:10:00,1045.375,7.120
2015/06/09 19:20:00,1045.375,7.133
2015/06/09 19:30:00,1045.375,7.133
