Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 16/10/2015
TIME       : 21:56:22
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2015_10_16\CSV\a2_151016215621_M3583.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M3583  214.
  Instrument number       =                    
                          =0
  Location                =a2
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M3583  214.
  Instrument number       =                    
  Location                =a2
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:13 26/06/15
  End date / time         =00:50:21 16/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/06/26 13:00:00,1043.450,5.140
2015/06/26 13:10:00,1043.275,5.133
2015/06/26 13:20:00,1040.650,5.383
2015/06/26 13:30:00,1040.475,5.293
2015/06/26 13:40:00,1040.425,5.253
2015/06/26 13:50:00,1040.125,5.223
2015/06/26 14:00:00,1040.300,5.210
2015/06/26 14:10:00,1039.800,5.197
2015/06/26 14:20:00,1040.125,5.183
2015/06/26 14:30:00,1039.950,5.183
2015/06/26 14:40:00,1039.950,5.183
2015/06/26 14:50:00,1039.450,5.190
2015/06/26 15:00:00,1039.450,5.197
2015/06/26 15:10:00,1039.450,5.197
2015/06/26 15:20:00,1039.275,5.197
2015/06/26 15:30:00,1039.275,5.197
2015/06/26 15:40:00,1039.100,5.197
2015/06/26 15:50:00,1038.925,5.197
2015/06/26 16:00:00,1038.925,5.197
2015/06/26 16:10:00,1038.575,5.190
2015/06/26 16:20:00,1038.750,5.190
2015/06/26 16:30:00,1038.750,5.190
2015/06/26 16:40:00,1038.575,5.190
2015/06/26 16:50:00,1038.400,5.190
2015/06/26 17:00:00,1038.400,5.190
2015/06/26 17:10:00,1038.550,5.183
2015/06/26 17:20:00,1038.550,5.183
2015/06/26 17:30:00,1038.575,5.190
2015/06/26 17:40:00,1038.225,5.190
2015/06/26 17:50:00,1038.575,5.190
2015/06/26 18:00:00,1038.725,5.183
2015/06/26 18:10:00,1038.550,5.183
2015/06/26 18:20:00,1038.725,5.183
2015/06/26 18:30:00,1038.725,5.183
2015/06/26 18:40:00,1038.725,5.183
2015/06/26 18:50:00,1038.575,5.190
2015/06/26 19:00:00,1038.575,5.190
2015/06/26 19:10:00,1038.575,5.190
2015/06/26 19:20:00,1038.575,5.190
2015/06/26 19:30:00,1038.575,5.190
2015/06/26 19:40:00,1038.750,5.190
2015/06/26 19:50:00,1038.750,5.190
2015/06/26 20:00:00,1038.750,5.197
2015/06/26 20:10:00,1038.925,5.190
2015/06/26 20:20:00,1038.925,5.190
2015/06/26 20:30:00,1039.100,5.190
2015/06/26 20:40:00,1039.100,5.190
2015/06/26 20:50:00,1039.100,5.190
2015/06/26 21:00:00,1039.100,5.190
2015/06/26 21:10:00,1039.275,5.197
2015/06/26 21:20:00,1039.450,5.197
2015/06/26 21:30:00,1039.450,5.197
2015/06/26 21:40:00,1039.450,5.197
2015/06/26 21:50:00,1039.800,5.197
2015/06/26 22:00:00,1039.800,5.197
2015/06/26 22:10:00,1039.800,5.197
2015/06/26 22:20:00,1039.800,5.197
2015/06/26 22:30:00,1039.800,5.197
2015/06/26 22:40:00,1039.800,5.197
2015/06/26 22:50:00,1039.800,5.203
2015/06/26 23:00:00,1039.625,5.203
2015/06/26 23:10:00,1039.800,5.203
2015/06/26 23:20:00,1039.625,5.203
2015/06/26 23:30:00,1039.800,5.203
2015/06/26 23:40:00,1040.000,5.203
2015/06/26 23:50:00,1040.000,5.203
2015/06/27 00:00:00,1040.000,5.203
2015/06/27 00:10:00,1040.000,5.203
2015/06/27 00:20:00,1040.000,5.203
2015/06/27 00:30:00,1040.000,5.203
2015/06/27 00:40:00,1040.000,5.203
2015/06/27 00:50:00,1040.000,5.203
2015/06/27 01:00:00,1040.000,5.203
2015/06/27 01:10:00,1039.800,5.203
2015/06/27 01:20:00,1039.950,5.210
2015/06/27 01:30:00,1039.775,5.210
2015/06/27 01:40:00,1039.950,5.210
2015/06/27 01:50:00,1039.775,5.210
2015/06/27 02:00:00,1039.775,5.210
2015/06/27 02:10:00,1039.775,5.210
2015/06/27 02:20:00,1039.775,5.210
2015/06/27 02:30:00,1039.950,5.210
2015/06/27 02:40:00,1039.775,5.210
2015/06/27 02:50:00,1039.775,5.210
2015/06/27 03:00:00,1039.600,5.210
2015/06/27 03:10:00,1039.450,5.217
2015/06/27 03:20:00,1039.450,5.217
2015/06/27 03:30:00,1039.450,5.217
2015/06/27 03:40:00,1039.275,5.217
2015/06/27 03:50:00,1039.275,5.217
2015/06/27 04:00:00,1039.275,5.217
2015/06/27 04:10:00,1039.275,5.217
2015/06/27 04:20:00,1039.250,5.223
2015/06/27 04:30:00,1039.275,5.217
2015/06/27 04:40:00,1039.275,5.217
2015/06/27 04:50:00,1039.275,5.217
2015/06/27 05:00:00,1039.075,5.223
2015/06/27 05:10:00,1039.075,5.223
2015/06/27 05:20:00,1039.075,5.223
2015/06/27 05:30:00,1039.075,5.223
2015/06/27 05:40:00,1039.075,5.223
2015/06/27 05:50:00,1039.250,5.223
2015/06/27 06:00:00,1039.075,5.223
2015/06/27 06:10:00,1039.075,5.223
2015/06/27 06:20:00,1039.075,5.223
2015/06/27 06:30:00,1039.250,5.223
2015/06/27 06:40:00,1039.250,5.223
2015/06/27 06:50:00,1039.275,5.230
2015/06/27 07:00:00,1039.275,5.230
2015/06/27 07:10:00,1039.275,5.230
2015/06/27 07:20:00,1039.275,5.230
2015/06/27 07:30:00,1039.275,5.230
2015/06/27 07:40:00,1039.450,5.230
2015/06/27 07:50:00,1039.450,5.230
2015/06/27 08:00:00,1039.275,5.230
2015/06/27 08:10:00,1039.275,5.230
2015/06/27 08:20:00,1039.450,5.230
2015/06/27 08:30:00,1039.450,5.230
2015/06/27 08:40:00,1039.275,5.230
2015/06/27 08:50:00,1039.275,5.240
2015/06/27 09:00:00,1039.100,5.240
2015/06/27 09:10:00,1039.100,5.240
2015/06/27 09:20:00,1039.100,5.240
2015/06/27 09:30:00,1038.925,5.240
2015/06/27 09:40:00,1038.925,5.240
2015/06/27 09:50:00,1038.925,5.240
2015/06/27 10:00:00,1038.750,5.240
2015/06/27 10:10:00,1038.575,5.247
2015/06/27 10:20:00,1038.400,5.247
2015/06/27 10:30:00,1038.225,5.247
2015/06/27 10:40:00,1038.050,5.247
2015/06/27 10:50:00,1037.875,5.247
2015/06/27 11:00:00,1037.700,5.247
2015/06/27 11:10:00,1037.700,5.247
2015/06/27 11:20:00,1037.525,5.247
2015/06/27 11:30:00,1037.350,5.247
2015/06/27 11:40:00,1037.275,5.253
2015/06/27 11:50:00,1037.100,5.253
2015/06/27 12:00:00,1037.100,5.253
2015/06/27 12:10:00,1037.100,5.253
2015/06/27 12:20:00,1036.750,5.253
2015/06/27 12:30:00,1036.750,5.253
2015/06/27 12:40:00,1036.575,5.253
2015/06/27 12:50:00,1036.400,5.253
2015/06/27 13:00:00,1036.225,5.253
2015/06/27 13:10:00,1036.050,5.253
2015/06/27 13:20:00,1035.700,5.253
2015/06/27 13:30:00,1035.425,5.260
2015/06/27 13:40:00,1035.350,5.253
2015/06/27 13:50:00,1035.075,5.260
2015/06/27 14:00:00,1034.900,5.260
2015/06/27 14:10:00,1034.725,5.260
2015/06/27 14:20:00,1034.725,5.260
2015/06/27 14:30:00,1034.550,5.260
2015/06/27 14:40:00,1034.550,5.260
2015/06/27 14:50:00,1034.375,5.260
2015/06/27 15:00:00,1034.200,5.260
2015/06/27 15:10:00,1034.025,5.260
2015/06/27 15:20:00,1033.850,5.260
2015/06/27 15:30:00,1033.675,5.260
2015/06/27 15:40:00,1033.500,5.260
2015/06/27 15:50:00,1033.325,5.260
2015/06/27 16:00:00,1033.150,5.260
