Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 16/10/2015
TIME       : 23:26:39
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2015_10_16\CSV\b1_151016232638_M9438.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9438  214.
  Instrument number       =                    
                          =0
  Location                =b1
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9438  214.
  Instrument number       =                    
  Location                =b1
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:13 26/06/15
  End date / time         =00:20:23 16/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/06/26 13:00:00,1055.325,6.610
2015/06/26 13:10:00,1055.200,6.603
2015/06/26 13:20:00,1055.025,6.597
2015/06/26 13:30:00,1054.850,6.597
2015/06/26 13:40:00,1053.475,7.193
2015/06/26 13:50:00,1053.475,6.813
2015/06/26 14:00:00,1053.275,6.747
2015/06/26 14:10:00,1053.100,6.713
2015/06/26 14:20:00,1052.850,6.700
2015/06/26 14:30:00,1052.725,6.687
2015/06/26 14:40:00,1052.775,6.680
2015/06/26 14:50:00,1052.425,6.673
2015/06/26 15:00:00,1052.225,6.673
2015/06/26 15:10:00,1052.225,6.667
2015/06/26 15:20:00,1052.225,6.657
2015/06/26 15:30:00,1052.050,6.657
2015/06/26 15:40:00,1051.800,6.650
2015/06/26 15:50:00,1051.475,6.657
2015/06/26 16:00:00,1051.300,6.657
2015/06/26 16:10:00,1051.425,6.650
2015/06/26 16:20:00,1051.225,6.650
2015/06/26 16:30:00,1051.050,6.650
2015/06/26 16:40:00,1051.050,6.650
2015/06/26 16:50:00,1050.850,6.650
2015/06/26 17:00:00,1050.925,6.643
2015/06/26 17:10:00,1050.675,6.650
2015/06/26 17:20:00,1050.675,6.650
2015/06/26 17:30:00,1050.725,6.643
2015/06/26 17:40:00,1050.850,6.650
2015/06/26 17:50:00,1050.925,6.643
2015/06/26 18:00:00,1050.925,6.643
2015/06/26 18:10:00,1050.725,6.643
2015/06/26 18:20:00,1050.925,6.643
2015/06/26 18:30:00,1050.925,6.643
2015/06/26 18:40:00,1050.675,6.650
2015/06/26 18:50:00,1050.725,6.643
