Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 16/10/2015
TIME       : 23:40:17
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2015_10_16\CSV\sws_m9440_151016234017_M9440.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9440  214.
  Instrument number       =                    
                          =0
  Location                =sws_m9440
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9440  214.
  Instrument number       =                    
  Location                =sws_m9440
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:12 09/06/15
  End date / time         =00:40:23 16/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/06/09 12:00:00,1058.775,9.903
2015/06/09 12:10:00,1057.150,9.480
2015/06/09 12:20:00,1056.050,9.157
2015/06/09 12:30:00,1055.150,8.920
2015/06/09 12:40:00,1054.425,8.737
2015/06/09 12:50:00,1054.225,8.597
2015/06/09 13:00:00,1054.225,8.487
2015/06/09 13:10:00,1053.875,8.400
2015/06/09 13:20:00,1070.000,8.583
2015/06/09 13:30:00,1063.700,8.743
2015/06/09 13:40:00,1059.875,8.737
2015/06/09 13:50:00,1057.800,8.657
2015/06/09 14:00:00,1056.050,8.537
2015/06/09 14:10:00,1054.600,8.427
2015/06/09 14:20:00,1053.700,8.333
2015/06/09 14:30:00,1053.250,8.267
2015/06/09 14:40:00,1052.775,8.210
2015/06/09 14:50:00,1052.225,8.157
2015/06/09 15:00:00,1052.225,8.130
2015/06/09 15:10:00,1052.050,8.097
2015/06/09 15:20:00,1051.800,8.070
2015/06/09 15:30:00,1051.675,8.050
2015/06/09 15:40:00,1051.325,8.023
2015/06/09 15:50:00,1050.950,8.010
2015/06/09 16:00:00,1051.075,7.990
2015/06/09 16:10:00,1050.950,7.977
2015/06/09 16:20:00,1050.950,7.970
2015/06/09 16:30:00,1050.900,7.957
2015/06/09 16:40:00,1050.600,7.943
2015/06/09 16:50:00,1050.400,7.943
2015/06/09 17:00:00,1050.400,7.927
2015/06/09 17:10:00,1050.225,7.920
2015/06/09 17:20:00,1050.050,7.913
2015/06/09 17:30:00,1050.000,7.907
