 


Daily Data Between Two Dates
 EMBARRASS (MN)
 USC00212576

Date,PRCP,TMAX,TMIN,
2015-09-01,0.02,79,58,
2015-09-02,0.00,75,55,
2015-09-03,1.00,72,55,
2015-09-04,0.00,76,56,
2015-09-05,M,80,59,
2015-09-06,0.98,82,62,
2015-09-07,M,M,M,
2015-09-08,0.05,72,48,
2015-09-09,0.00,69,40,
2015-09-10,0.00,67,34,
2015-09-11,T,67,34,
2015-09-12,0.00,57,29,
2015-09-13,0.00,65,29,
2015-09-14,0.00,73,47,
2015-09-15,0.00,73,54,
2015-09-16,T,78,58,
2015-09-17,T,74,62,
2015-09-18,0.68,70,42,
2015-09-19,M,60,34,
2015-09-20,0.00,68,34,
2015-09-21,0.00,68,42,
2015-09-22,0.00,75,48,

Sum:,2.73,,,
Count:,19,21,21,
Average:,0.14,71.4,46.7,
Median:,0.00,72.0,48.0,
Low Value:,0.00,57,29,
High Value:,1.00,82,62,

M = Missing
T = Trace


Time of observation may vary by station, date, and/or variable

Midwestern Regional Climate Center
cli-MATE: MRCC Application Tools Environment
Generated at: 9/22/2015 3:41:16 PM CDT

