 


Daily Data Between Two Dates
 EVELETH WW PLT (MN)
 USC00212645

Date,PRCP,SNOW,SNWD,TMAX,TMIN,
2015-05-01,0.00,0.0,M,65,35,
2015-05-02,T,0.0,0,70,40,
2015-05-03,0.00,0.0,0,79,44,
2015-05-04,T,0.0,0,74,43,
2015-05-05,0.00,0.0,0,65,42,
2015-05-06,0.00,0.0,0,73,44,
2015-05-07,0.24,0.0,0,61,50,
2015-05-08,0.00,0.0,0,64,56,
2015-05-09,T,M,0,56,36,
2015-05-10,0.00,0.0,0,52,37,
2015-05-11,1.00,0.0,0,53,35,
2015-05-12,0.20,0.0,0,42,32,
2015-05-13,0.00,0.0,0,47,33,
2015-05-14,0.52,0.0,0,47,33,
2015-05-15,0.42,0.0,0,53,42,
2015-05-16,0.02,M,M,60,41,
2015-05-17,0.29,M,M,69,44,
2015-05-18,0.60,M,M,70,40,
2015-05-19,T,M,M,43,30,
2015-05-20,0.00,M,M,54,31,
2015-05-21,0.00,M,M,65,40,
2015-05-22,0.00,M,M,65,35,
2015-05-23,0.00,M,M,73,47,
2015-05-24,0.00,M,M,78,47,
2015-05-25,0.15,M,M,78,46,
2015-05-26,1.09,M,M,58,51,
2015-05-27,0.00,M,M,70,51,
2015-05-28,0.00,M,M,79,50,
2015-05-29,0.00,M,M,77,51,
2015-05-30,0.09,M,M,58,37,
2015-05-31,0.00,M,M,56,35,
2015-06-01,0.00,M,M,59,35,
2015-06-02,0.00,M,M,68,39,
2015-06-03,0.32,M,M,75,40,
2015-06-04,0.03,M,M,75,39,
2015-06-05,0.00,M,M,65,50,
2015-06-06,0.00,M,M,73,44,
2015-06-07,1.52,M,M,70,50,
2015-06-08,0.00,M,M,74,56,
2015-06-09,0.00,0.0,0,72,50,
2015-06-10,0.08,0.0,0,82,49,
2015-06-11,0.00,0.0,0,70,50,
2015-06-12,0.00,0.0,0,76,50,
2015-06-13,0.00,0.0,0,80,55,
2015-06-14,0.00,0.0,0,76,50,
2015-06-15,T,0.0,0,79,54,
2015-06-16,0.00,0.0,0,70,44,
2015-06-17,0.00,0.0,0,66,49,
2015-06-18,0.00,0.0,0,73,49,
2015-06-19,T,0.0,0,68,46,
2015-06-20,0.00,0.0,0,72,53,
2015-06-21,0.37,0.0,0,73,53,
2015-06-22,0.07,0.0,0,77,56,
2015-06-23,0.20,0.0,0,74,49,
2015-06-24,0.00,0.0,0,78,53,
2015-06-25,0.46,0.0,0,76,54,
2015-06-26,0.00,0.0,0,79,55,
2015-06-27,0.06,0.0,0,81,54,
2015-06-28,0.97,0.0,0,83,57,
2015-06-29,0.15,0.0,0,74,58,
2015-06-30,0.33,0.0,0,76,52,
2015-07-01,0.00,0.0,0,72,49,
2015-07-02,0.00,0.0,0,75,53,
2015-07-03,0.00,0.0,0,77,57,
2015-07-04,0.00,0.0,0,78,57,
2015-07-05,0.00,0.0,0,81,60,
2015-07-06,0.22,0.0,0,M,M,
2015-07-07,0.00,0.0,0,71,M,
2015-07-08,0.00,0.0,0,72,48,
2015-07-09,0.00,0.0,0,69,50,
2015-07-10,0.00,0.0,0,79,54,
2015-07-11,0.00,0.0,0,85,58,
2015-07-12,0.00,0.0,0,82,63,
2015-07-13,0.22,0.0,0,81,62,
2015-07-14,T,0.0,0,79,62,
2015-07-15,0.00,0.0,0,74,55,
2015-07-16,T,0.0,0,77,56,
2015-07-17,0.05,0.0,0,80,63,
2015-07-18,0.00,0.0,0,83,63,
2015-07-19,0.00,0.0,0,80,56,
2015-07-20,0.00,0.0,0,81,56,
2015-07-21,0.00,0.0,0,73,54,
2015-07-22,0.00,0.0,0,76,53,
2015-07-23,0.00,0.0,0,M,M,
2015-07-24,0.39,0.0,0,86,64,
2015-07-25,0.00,0.0,0,81,59,
2015-07-26,0.00,0.0,0,88,63,
2015-07-27,0.00,0.0,0,90,64,
2015-07-28,0.00,0.0,0,88,68,
2015-07-29,T,0.0,0,82,62,
2015-07-30,0.00,0.0,0,74,58,
2015-07-31,0.00,0.0,0,80,58,
2015-08-01,0.00,0.0,0,76,53,
2015-08-02,0.00,0.0,0,81,52,
2015-08-03,0.15,0.0,0,73,55,
2015-08-04,0.00,0.0,0,67,50,
2015-08-05,0.00,0.0,0,69,45,
2015-08-06,0.00,0.0,0,77,47,
2015-08-07,0.95,0.0,0,73,58,
2015-08-08,0.19,0.0,0,72,57,
2015-08-09,0.25,0.0,0,78,59,
2015-08-10,0.00,0.0,0,75,60,
2015-08-11,0.00,0.0,0,76,56,
2015-08-12,0.00,0.0,0,78,57,
2015-08-13,0.77,0.0,0,84,63,
2015-08-14,0.00,0.0,0,88,66,
2015-08-15,0.00,0.0,0,90,65,
2015-08-16,0.05,0.0,0,90,65,
2015-08-17,0.00,0.0,0,79,56,
2015-08-18,0.00,0.0,0,71,49,
2015-08-19,1.14,0.0,0,71,50,
2015-08-20,0.10,0.0,0,71,49,
2015-08-21,T,0.0,0,65,48,
2015-08-22,0.00,0.0,0,75,53,
2015-08-23,0.36,0.0,0,75,52,
2015-08-24,0.18,0.0,0,56,44,
2015-08-25,T,0.0,0,52,44,
2015-08-26,0.00,0.0,0,64,42,
2015-08-27,0.00,0.0,0,73,44,
2015-08-28,0.00,0.0,0,74,44,
2015-08-29,0.50,0.0,0,80,59,
