Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 05/10/2016
TIME       : 16:08:41
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2016_10_02\CSV\6_161005160841_M9505.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9505  214.
  Instrument number       =                    
                          =0
  Location                =6
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9505  214.
  Instrument number       =                    
  Location                =6
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:09 31/05/16
  End date / time         =00:00:16 05/10/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2016/05/31 09:00:00,1031.900,9.590
2016/05/31 09:10:00,1031.725,9.570
2016/05/31 09:20:00,1031.350,9.543
2016/05/31 09:30:00,1031.000,9.543
2016/05/31 09:40:00,1030.500,9.537
2016/05/31 09:50:00,1031.025,9.523
2016/05/31 10:00:00,1031.025,9.523
2016/05/31 10:10:00,1030.675,9.517
2016/05/31 10:20:00,1030.500,9.510
2016/05/31 10:30:00,1030.325,9.517
2016/05/31 10:40:00,1030.325,9.510
2016/05/31 10:50:00,1030.200,9.503
2016/05/31 11:00:00,1030.550,9.503
2016/05/31 11:10:00,1030.725,9.503
2016/05/31 11:20:00,1030.550,9.503
2016/05/31 11:30:00,1030.200,9.503
2016/05/31 11:40:00,1030.200,9.503
2016/05/31 11:50:00,1030.200,9.503
2016/05/31 12:00:00,1030.200,9.503
2016/05/31 12:10:00,1030.200,9.503
2016/05/31 12:20:00,1030.375,9.503
2016/05/31 12:30:00,1030.325,9.493
2016/05/31 12:40:00,1030.475,9.487
2016/05/31 12:50:00,1030.650,9.487
2016/05/31 13:00:00,1030.650,9.487
2016/05/31 13:10:00,1030.650,9.487
2016/05/31 13:20:00,1030.650,9.487
2016/05/31 13:30:00,1030.650,9.487
2016/05/31 13:40:00,1030.825,9.487
2016/05/31 13:50:00,1030.825,9.487
2016/05/31 14:00:00,1030.850,9.480
2016/05/31 14:10:00,1030.850,9.480
2016/05/31 14:20:00,1030.850,9.473
2016/05/31 14:30:00,1031.200,9.473
2016/05/31 14:40:00,1031.375,9.473
2016/05/31 14:50:00,1031.375,9.473
2016/05/31 15:00:00,1031.550,9.473
2016/05/31 15:10:00,1031.375,9.473
2016/05/31 15:20:00,1031.375,9.480
2016/05/31 15:30:00,1031.200,9.480
2016/05/31 15:40:00,1031.350,9.487
2016/05/31 15:50:00,1031.175,9.487
2016/05/31 16:00:00,1031.175,9.487
2016/05/31 16:10:00,1031.025,9.493
2016/05/31 16:20:00,1031.200,9.493
2016/05/31 16:30:00,1031.025,9.493
2016/05/31 16:40:00,1031.200,9.493
2016/05/31 16:50:00,1031.075,9.503
2016/05/31 17:00:00,1030.725,9.503
2016/05/31 17:10:00,1030.725,9.503
2016/05/31 17:20:00,1030.725,9.503
2016/05/31 17:30:00,1030.550,9.503
2016/05/31 17:40:00,1030.725,9.503
2016/05/31 17:50:00,1030.725,9.503
2016/05/31 18:00:00,1030.850,9.510
2016/05/31 18:10:00,1030.850,9.510
2016/05/31 18:20:00,1030.675,9.510
2016/05/31 18:30:00,1030.675,9.510
2016/05/31 18:40:00,1030.675,9.510
2016/05/31 18:50:00,1030.675,9.510
2016/05/31 19:00:00,1030.325,9.510
2016/05/31 19:10:00,1030.500,9.510
2016/05/31 19:20:00,1030.325,9.510
2016/05/31 19:30:00,1030.325,9.510
2016/05/31 19:40:00,1030.500,9.510
2016/05/31 19:50:00,1030.500,9.510
2016/05/31 20:00:00,1030.500,9.510
2016/05/31 20:10:00,1030.500,9.510
2016/05/31 20:20:00,1030.675,9.510
2016/05/31 20:30:00,1030.500,9.510
2016/05/31 20:40:00,1030.325,9.510
2016/05/31 20:50:00,1030.325,9.517
2016/05/31 21:00:00,1030.325,9.510
2016/05/31 21:10:00,1030.325,9.510
2016/05/31 21:20:00,1030.150,9.510
2016/05/31 21:30:00,1030.150,9.510
2016/05/31 21:40:00,1030.150,9.517
2016/05/31 21:50:00,1030.150,9.517
2016/05/31 22:00:00,1030.150,9.517
