Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/10/2016
TIME       : 16:25:22
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2016_10_02\CSV\1_161005162522_J3542.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Micro-Diver=15
  Status                  =Started =0
  Serial number           =..00-J3542  215.
  Instrument number       =                    
                          =0
  Location                =1
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-J3542  215.
  Instrument number       =                    
  Location                =1
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:09 31/05/16
  End date / time         =00:15:16 05/10/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2016/05/31 09:00:00,982.983,11.690
2016/05/31 09:15:00,1096.383,6.897
2016/05/31 09:30:00,1095.975,6.500
2016/05/31 09:45:00,1095.800,6.410
2016/05/31 10:00:00,1096.383,6.373
2016/05/31 10:15:00,1095.975,6.360
2016/05/31 10:30:00,1095.975,6.347
2016/05/31 10:45:00,1095.975,6.340
2016/05/31 11:00:00,1095.800,6.340
2016/05/31 11:15:00,1095.625,6.340
2016/05/31 11:30:00,1095.800,6.340
2016/05/31 11:45:00,1095.800,6.340
2016/05/31 12:00:00,1095.625,6.340
2016/05/31 12:15:00,1095.975,6.340
2016/05/31 12:30:00,1096.733,6.340
2016/05/31 12:45:00,1097.142,6.340
2016/05/31 13:00:00,1097.142,6.340
2016/05/31 13:15:00,1097.317,6.340
2016/05/31 13:30:00,1097.317,6.340
2016/05/31 13:45:00,1097.492,6.340
2016/05/31 14:00:00,1098.425,6.347
2016/05/31 14:15:00,1099.183,6.347
2016/05/31 14:30:00,1099.592,6.347
2016/05/31 14:45:00,1099.767,6.347
2016/05/31 15:00:00,1099.767,6.347
2016/05/31 15:15:00,1099.183,6.347
2016/05/31 15:30:00,1099.008,6.347
2016/05/31 15:45:00,1098.658,6.347
2016/05/31 16:00:00,1098.425,6.353
2016/05/31 16:15:00,1098.250,6.353
2016/05/31 16:30:00,1097.900,6.353
