Report Date:,10/26/2017 4:25:36 PM
Report User Name:,astreit
Report Computer Name:,L-W7-1684997
Application:,WinSitu.exe
Application Version:,5.6.27.1


Log File Properties
File Name,370910_Append_2017-04-14_09-53-44-444.wsl
Create Date,4/14/2017 9:53:44 AM

Device Properties
Device,Rugged BaroTROLL
Site,Aurora Baro
Device Name,Aurora Baro
Serial Number,370910
Firmware Version,1.00
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,11

Log Configuration
,Log Name,370910
,Created By,astreit
,Computer Name,L-W7-1567039
,Application,WinSitu.exe
,Application Version,5.6.22.4
,Create Date,10/12/2015 12:41:18 PM Central Daylight Time
,Log Setup Time Zone,Central Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,10/16/2015 1:00:00 PM Central Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 30 secs: 00





Other Log Settings



Log Notes:
Date and Time,Note
10/12/2015 12:41:22 PM,Used Battery: 11% Used Memory: 6%   User Name: astreit
6/16/2016 12:36:36 PM ,Log Download - Used Battery: 16% Used Memory: 18%   User Name: astreit Interval -  Start Time: 10/16/2015 1:00:00 PM Stop Time: 6/16/2016 12:00:00 PM
6/16/2016 2:37:04 PM  ,Log Download - Used Battery: 16% Used Memory: 18%   User Name: astreit Interval -  Start Time: 10/16/2015 1:00:00 PM Stop Time: 6/16/2016 2:00:00 PM
4/14/2017 9:56:37 AM  ,Log Download - Used Battery: 23% Used Memory: 43%   User Name: astreit Interval -  Start Time: 6/14/2016 1:00:00 PM Stop Time: 4/14/2017 9:30:00 AM


Log Data:
Record Count,26201

Sensors,1

 ,1,370910,Baro-Pressure/Temp

Time Zone: Central Daylight Time

,,Sensor: Baro Pres                       ,Sensor: Baro Pres                       ,
,Elapsed Time,SN#: 370910                             ,SN#: 370910                             ,
Date and Time,Seconds     ,Temperature (C)                         ,Pressure (mmHg)                         ,
10/16/2015 1:00:00 PM ,       0.000,                                  11.372,                                 732.642,
10/16/2015 1:30:00 PM ,    1800.000,                                   9.966,                                 732.443,
10/16/2015 2:00:00 PM ,    3600.000,                                   8.813,                                 732.551,
10/16/2015 2:30:00 PM ,    5400.000,                                   8.129,                                 732.243,
10/16/2015 3:00:00 PM ,    7200.000,                                   7.865,                                 732.791,
10/16/2015 3:30:00 PM ,    9000.000,                                   7.759,                                 732.728,
10/16/2015 4:00:00 PM ,   10800.000,                                   7.654,                                 732.625,
10/16/2015 4:30:00 PM ,   12600.000,                                   7.601,                                 732.493,
10/16/2015 5:00:00 PM ,   14400.000,                                   7.548,                                 732.562,
10/16/2015 5:30:00 PM ,   16200.000,                                   7.336,                                 732.437,
10/16/2015 6:00:00 PM ,   18000.000,                                   7.283,                                 732.708,
10/16/2015 6:30:00 PM ,   19800.000,                                   6.965,                                 732.723,
10/16/2015 7:00:00 PM ,   21600.000,                                   7.018,                                 732.573,
10/16/2015 7:30:00 PM ,   23400.000,                                   6.912,                                 732.229,
10/16/2015 8:00:00 PM ,   25200.000,                                   6.859,                                 732.459,
10/16/2015 8:30:00 PM ,   27000.000,                                   6.806,                                 732.368,
10/16/2015 9:00:00 PM ,   28800.000,                                   6.700,                                 732.185,
10/16/2015 9:30:00 PM ,   30600.000,                                   6.700,                                 732.104,
10/16/2015 10:00:00 PM,   32400.000,                                   6.647,                                 732.013,
10/16/2015 10:30:00 PM,   34200.000,                                   6.594,                                 732.123,
10/16/2015 11:00:00 PM,   36000.000,                                   6.594,                                 732.203,
10/16/2015 11:30:00 PM,   37800.000,                                   6.487,                                 732.222,
10/17/2015 12:00:00 AM,   39600.000,                                   6.541,                                 732.474,
10/17/2015 12:30:00 AM,   41400.000,                                   6.487,                                 732.343,
10/17/2015 1:00:00 AM ,   43200.000,                                   6.487,                                 732.504,
10/17/2015 1:30:00 AM ,   45000.000,                                   6.487,                                 732.383,
