 


Daily Data Between Two Dates
 EMBARRASS (MN)
 USC00212576

Date,PRCP,SNOW,SNWD,TMAX,TMIN,
2015-05-01,0.00,0.0,0,61,23,
2015-05-02,T,0.0,0,67,36,
2015-05-03,0.00,0.0,0,76,36,
2015-05-04,T,0.0,0,70,30,
2015-05-05,0.00,0.0,0,65,24,
2015-05-06,0.00,0.0,0,63,24,
2015-05-07,0.02,0.0,0,62,45,
2015-05-08,0.13,0.0,0,62,35,
2015-05-09,0.00,0.0,0,49,34,
2015-05-10,0.00,0.0,0,50,34,
2015-05-11,1.39,0.0,0,47,34,
2015-05-12,0.31,0.0,0,41,30,
2015-05-13,0.03,0.0,0,45,24,
2015-05-14,0.45,0.0,0,45,24,
2015-05-15,0.39,0.0,0,49,41,
2015-05-16,0.00,0.0,0,56,34,
2015-05-17,0.65,0.0,0,68,34,
2015-05-18,0.20,T,0,59,40,
2015-05-19,0.12,0.0,0,40,26,
2015-05-20,0.00,0.0,0,56,24,
2015-05-21,0.00,0.0,0,58,24,
2015-05-22,0.00,0.0,0,65,25,
2015-05-23,0.00,0.0,0,70,26,
2015-05-24,0.00,0.0,0,79,37,
2015-05-25,0.25,0.0,0,70,38,
2015-05-26,0.70,0.0,0,57,48,
2015-05-27,0.00,0.0,0,68,45,
2015-05-28,0.00,0.0,0,79,45,
2015-05-29,0.00,0.0,0,74,48,
2015-05-30,0.26,0.0,0,56,33,
2015-05-31,0.00,0.0,0,54,27,
2015-06-01,0.00,M,M,57,25,
2015-06-02,0.00,M,M,64,26,
2015-06-03,0.74,0.0,0,69,49,
2015-06-04,0.25,0.0,0,62,54,
2015-06-05,0.14,M,M,58,40,
2015-06-06,0.00,0.0,0,70,40,
2015-06-07,0.68,0.0,0,68,42,
2015-06-08,T,M,M,72,48,
2015-06-09,0.00,0.0,0,70,40,
2015-06-10,0.00,0.0,0,79,40,
2015-06-11,0.00,0.0,0,68,46,
2015-06-12,0.00,0.0,0,76,43,
2015-06-13,0.00,0.0,0,77,44,
2015-06-14,0.00,0.0,0,74,43,
2015-06-15,T,M,M,78,44,
2015-06-16,0.00,M,M,68,33,
2015-06-17,0.02,0.0,0,68,35,
2015-06-18,0.00,0.0,0,70,42,
2015-06-19,0.00,M,M,67,33,
2015-06-20,T,0.0,0,70,35,
2015-06-21,0.52,0.0,0,66,50,
2015-06-22,T,0.0,0,74,51,
2015-06-23,0.22,0.0,0,61,45,
2015-06-24,0.15,0.0,0,76,46,
2015-06-25,0.33,0.0,0,76,50,
2015-06-26,0.00,0.0,0,78,46,
2015-06-27,0.00,0.0,0,81,45,
2015-06-28,0.29,0.0,0,79,48,
2015-06-29,0.16,0.0,0,72,52,
2015-06-30,0.16,0.0,0,72,48,
2015-07-01,0.00,0.0,0,72,42,
2015-07-02,0.00,0.0,0,74,42,
2015-07-03,0.00,0.0,0,74,50,
2015-07-04,0.00,M,M,76,44,
2015-07-05,0.00,0.0,0,80,45,
2015-07-06,0.66,M,M,82,56,
2015-07-07,0.05,M,M,64,45,
2015-07-08,0.00,0.0,0,67,38,
2015-07-09,0.00,0.0,0,66,39,
2015-07-10,0.00,0.0,0,79,43,
2015-07-11,0.00,0.0,0,83,43,
2015-07-12,0.00,0.0,0,83,51,
2015-07-13,1.48,0.0,0,76,51,
2015-07-14,0.41,0.0,0,70,58,
2015-07-15,0.00,0.0,0,75,50,
2015-07-16,0.15,0.0,0,75,51,
2015-07-17,T,M,M,76,58,
2015-07-18,0.00,0.0,0,80,60,
2015-07-19,0.00,0.0,0,82,56,
2015-07-20,0.04,0.0,0,79,58,
2015-07-21,T,0.0,0,70,44,
2015-07-22,0.00,0.0,0,70,40,
2015-07-23,0.00,M,M,79,42,
2015-07-24,T,0.0,0,84,60,
2015-07-25,0.06,0.0,0,78,50,
2015-07-26,0.00,0.0,0,84,51,
2015-07-27,0.00,0.0,M,88,53,
2015-07-28,0.00,0.0,0,86,56,
2015-07-29,T,0.0,0,80,60,
2015-07-30,0.00,M,M,67,56,
2015-07-31,0.14,M,M,75,53,
2015-08-01,T,M,M,70,42,
2015-08-02,0.00,M,M,78,42,
2015-08-03,0.12,0.0,0,69,51,
2015-08-04,0.14,0.0,0,61,44,
2015-08-05,T,0.0,0,61,36,
2015-08-06,0.00,0.0,0,74,36,
2015-08-07,M,M,M,67,50,
2015-08-08,T,0.0,0,68,58,
2015-08-09,M,0.0,0,70,58,
2015-08-10,T,0.0,0,73,50,
2015-08-11,0.02,0.0,0,70,44,
2015-08-12,0.00,0.0,0,76,45,
2015-08-13,0.33,0.0,0,82,50,
2015-08-14,0.00,0.0,0,85,56,
2015-08-15,0.00,0.0,0,86,54,
2015-08-16,0.07,M,M,86,55,
2015-08-17,0.02,0.0,0,78,50,
2015-08-18,0.00,0.0,0,70,37,
2015-08-19,1.00,0.0,0,70,37,
2015-08-20,0.15,0.0,0,59,47,
2015-08-21,0.06,0.0,0,61,42,
2015-08-22,0.00,0.0,0,72,43,
2015-08-23,0.54,0.0,0,75,49,
2015-08-24,0.21,0.0,0,55,43,
2015-08-25,0.22,0.0,0,M,43,
2015-08-26,0.00,0.0,0,56,33,
