Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 30/05/2016
TIME       : 23:05:19
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2016_05_30\CSV\a2_baro_160530230518_M9484.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9484  214.
  Instrument number       =                    
                          =0
  Location                =a2_baro
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9484  214.
  Instrument number       =                    
  Location                =a2_baro
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 17/10/15
  End date / time         =00:00:23 30/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/10/17 17:00:00,997.525,6.323
2015/10/17 17:15:00,997.525,5.993
2015/10/17 17:30:00,997.525,5.627
2015/10/17 17:45:00,997.700,5.223
2015/10/17 18:00:00,997.700,4.797
2015/10/17 18:15:00,997.700,4.287
2015/10/17 18:30:00,997.700,3.803
2015/10/17 18:45:00,997.875,3.323
2015/10/17 19:00:00,997.875,2.963
2015/10/17 19:15:00,997.875,2.647
2015/10/17 19:30:00,997.875,2.187
2015/10/17 19:45:00,998.050,1.663
2015/10/17 20:00:00,998.400,1.197
2015/10/17 20:15:00,998.400,0.750
2015/10/17 20:30:00,998.400,0.370
2015/10/17 20:45:00,998.400,0.087
2015/10/17 21:00:00,998.750,-0.160
2015/10/17 21:15:00,998.750,-0.423
2015/10/17 21:30:00,998.750,-0.597
2015/10/17 21:45:00,998.750,-0.740
2015/10/17 22:00:00,998.750,-0.867
2015/10/17 22:15:00,998.400,-1.067
2015/10/17 22:30:00,998.925,-1.197
2015/10/17 22:45:00,998.575,-1.317
2015/10/17 23:00:00,998.750,-1.453
2015/10/17 23:15:00,999.100,-1.587
2015/10/17 23:30:00,999.100,-1.667
2015/10/17 23:45:00,999.100,-1.773
2015/10/18 00:00:00,999.100,-1.883
2015/10/18 00:15:00,998.925,-1.960
2015/10/18 00:30:00,998.925,-2.140
2015/10/18 00:45:00,998.925,-2.230
2015/10/18 01:00:00,999.100,-2.353
2015/10/18 01:15:00,999.125,-2.470
2015/10/18 01:30:00,999.100,-2.553
2015/10/18 01:45:00,999.100,-2.650
2015/10/18 02:00:00,999.100,-2.740
2015/10/18 02:15:00,998.925,-2.823
2015/10/18 02:30:00,998.925,-2.953
2015/10/18 02:45:00,999.100,-3.073
2015/10/18 03:00:00,999.100,-3.127
2015/10/18 03:15:00,999.100,-3.157
2015/10/18 03:30:00,999.100,-3.253
2015/10/18 03:45:00,999.100,-3.350
2015/10/18 04:00:00,999.100,-3.397
2015/10/18 04:15:00,999.100,-3.390
2015/10/18 04:30:00,998.925,-3.433
2015/10/18 04:45:00,998.600,-3.473
2015/10/18 05:00:00,999.100,-3.583
2015/10/18 05:15:00,998.775,-3.627
2015/10/18 05:30:00,998.750,-3.673
2015/10/18 05:45:00,999.125,-3.757
2015/10/18 06:00:00,999.100,-3.763
2015/10/18 06:15:00,999.450,-3.820
2015/10/18 06:30:00,999.275,-3.847
2015/10/18 06:45:00,999.100,-3.910
2015/10/18 07:00:00,998.925,-3.950
2015/10/18 07:15:00,998.925,-3.977
2015/10/18 07:30:00,998.775,-3.993
2015/10/18 07:45:00,998.775,-3.993
2015/10/18 08:00:00,998.750,-3.903
2015/10/18 08:15:00,998.950,-3.653
2015/10/18 08:30:00,999.100,-3.223
2015/10/18 08:45:00,998.925,-2.553
2015/10/18 09:00:00,999.100,-1.293
2015/10/18 09:15:00,999.275,0.337
2015/10/18 09:30:00,999.275,1.670
2015/10/18 09:45:00,999.100,3.220
2015/10/18 10:00:00,998.925,4.397
