Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 30/05/2016
TIME       : 22:38:41
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2016_05_30\CSV\e1_160530223841_J3542.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Micro-Diver=15
  Status                  =Started =0
  Serial number           =..00-J3542  215.
  Instrument number       =                    
                          =0
  Location                =e1
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-J3542  215.
  Instrument number       =                    
  Location                =e1
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 17/10/15
  End date / time         =00:30:22 30/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/10/17 17:00:00,1049.658,14.400
2015/10/17 17:15:00,1049.833,14.393
2015/10/17 17:30:00,1049.658,14.380
2015/10/17 17:45:00,1049.483,14.353
2015/10/17 18:00:00,1049.658,14.413
2015/10/17 18:15:00,1049.483,14.347
2015/10/17 18:30:00,1049.483,14.347
2015/10/17 18:45:00,1049.425,14.393
2015/10/17 19:00:00,1049.425,14.393
2015/10/17 19:15:00,1049.425,14.400
2015/10/17 19:30:00,1049.425,14.393
2015/10/17 19:45:00,1049.658,14.380
2015/10/17 20:00:00,1049.833,14.353
2015/10/17 20:15:00,1049.833,14.287
2015/10/17 20:30:00,1050.008,14.407
2015/10/17 20:45:00,1049.658,14.333
2015/10/17 21:00:00,1049.833,14.373
2015/10/17 21:15:00,1049.833,14.407
2015/10/17 21:30:00,1050.067,14.380
2015/10/17 21:45:00,1049.833,14.333
2015/10/17 22:00:00,1050.242,14.340
2015/10/17 22:15:00,1050.067,14.347
2015/10/17 22:30:00,1050.242,14.347
2015/10/17 22:45:00,1050.242,14.373
2015/10/17 23:00:00,1050.067,14.353
2015/10/17 23:15:00,1050.067,14.373
2015/10/17 23:30:00,1050.417,14.353
2015/10/17 23:45:00,1050.417,14.360
2015/10/18 00:00:00,1050.417,14.360
2015/10/18 00:15:00,1050.242,14.347
2015/10/18 00:30:00,1050.067,14.347
2015/10/18 00:45:00,1050.067,14.320
2015/10/18 01:00:00,1050.242,14.333
2015/10/18 01:15:00,1050.417,14.347
2015/10/18 01:30:00,1050.417,14.340
2015/10/18 01:45:00,1050.242,14.353
2015/10/18 02:00:00,1050.417,14.347
2015/10/18 02:15:00,1050.067,14.353
2015/10/18 02:30:00,1050.067,14.327
2015/10/18 02:45:00,1050.242,14.327
2015/10/18 03:00:00,1050.067,14.307
2015/10/18 03:15:00,1050.067,14.333
2015/10/18 03:30:00,1050.067,14.313
2015/10/18 03:45:00,1050.242,14.260
2015/10/18 04:00:00,1050.067,14.313
2015/10/18 04:15:00,1050.067,14.293
2015/10/18 04:30:00,1050.067,14.293
2015/10/18 04:45:00,1049.833,14.340
2015/10/18 05:00:00,1050.067,14.327
2015/10/18 05:15:00,1049.658,14.300
2015/10/18 05:30:00,1049.833,14.287
2015/10/18 05:45:00,1050.067,14.300
2015/10/18 06:00:00,1050.067,14.333
2015/10/18 06:15:00,1050.067,14.327
2015/10/18 06:30:00,1050.067,14.267
2015/10/18 06:45:00,1050.242,14.307
2015/10/18 07:00:00,1049.658,14.307
2015/10/18 07:15:00,1049.658,14.313
2015/10/18 07:30:00,1049.483,14.340
2015/10/18 07:45:00,1049.483,14.313
2015/10/18 08:00:00,1049.308,14.300
2015/10/18 08:15:00,1049.483,14.300
2015/10/18 08:30:00,1049.658,14.280
2015/10/18 08:45:00,1049.075,14.247
2015/10/18 09:00:00,1049.075,14.260
2015/10/18 09:15:00,1048.900,14.267
2015/10/18 09:30:00,1049.075,14.260
2015/10/18 09:45:00,1048.725,14.307
2015/10/18 10:00:00,1048.725,14.267
2015/10/18 10:15:00,1048.550,14.327
2015/10/18 10:30:00,1048.317,14.293
2015/10/18 10:45:00,1048.317,14.293
2015/10/18 11:00:00,1048.142,14.260
2015/10/18 11:15:00,1047.792,14.280
2015/10/18 11:30:00,1047.150,14.220
2015/10/18 11:45:00,1047.208,14.280
2015/10/18 12:00:00,1046.975,14.280
2015/10/18 12:15:00,1046.450,14.320
2015/10/18 12:30:00,1046.217,14.280
2015/10/18 12:45:00,1045.458,14.287
2015/10/18 13:00:00,1045.050,14.227
2015/10/18 13:15:00,1045.283,14.233
2015/10/18 13:30:00,1044.525,14.293
2015/10/18 13:45:00,1044.175,14.320
2015/10/18 14:00:00,1043.358,14.267
2015/10/18 14:15:00,1043.183,14.287
2015/10/18 14:30:00,1042.833,14.247
2015/10/18 14:45:00,1042.600,14.247
2015/10/18 15:00:00,1042.192,14.220
2015/10/18 15:15:00,1042.192,14.233
2015/10/18 15:30:00,1041.667,14.240
2015/10/18 15:45:00,1041.317,14.247
2015/10/18 16:00:00,1040.908,14.247
2015/10/18 16:15:00,1040.850,14.207
2015/10/18 16:30:00,1040.150,14.147
2015/10/18 16:45:00,1039.975,14.247
2015/10/18 17:00:00,1039.567,14.227
2015/10/18 17:15:00,1039.392,14.193
2015/10/18 17:30:00,1039.217,14.240
2015/10/18 17:45:00,1038.983,14.200
2015/10/18 18:00:00,1038.575,14.220
2015/10/18 18:15:00,1038.458,14.273
2015/10/18 18:30:00,1038.458,14.247
2015/10/18 18:45:00,1037.875,14.240
2015/10/18 19:00:00,1037.817,14.207
2015/10/18 19:15:00,1037.817,14.233
2015/10/18 19:30:00,1037.467,14.267
2015/10/18 19:45:00,1037.233,14.233
2015/10/18 20:00:00,1036.883,14.240
2015/10/18 20:15:00,1036.533,14.240
2015/10/18 20:30:00,1036.300,14.213
2015/10/18 20:45:00,1036.125,14.193
2015/10/18 21:00:00,1035.950,14.240
2015/10/18 21:15:00,1035.717,14.207
2015/10/18 21:30:00,1035.600,14.193
2015/10/18 21:45:00,1035.017,14.140
2015/10/18 22:00:00,1034.783,14.193
2015/10/18 22:15:00,1034.608,14.173
2015/10/18 22:30:00,1034.258,14.173
2015/10/18 22:45:00,1034.200,14.180
2015/10/18 23:00:00,1033.675,14.200
2015/10/18 23:15:00,1033.850,14.180
2015/10/18 23:30:00,1033.092,14.200
2015/10/18 23:45:00,1032.742,14.187
2015/10/19 00:00:00,1032.742,14.200
2015/10/19 00:15:00,1032.275,14.220
2015/10/19 00:30:00,1032.508,14.193
2015/10/19 00:45:00,1032.275,14.207
2015/10/19 01:00:00,1031.925,14.120
2015/10/19 01:15:00,1031.750,14.073
2015/10/19 01:30:00,1031.750,14.187
2015/10/19 01:45:00,1031.750,14.213
2015/10/19 02:00:00,1031.400,14.167
2015/10/19 02:15:00,1031.167,14.173
2015/10/19 02:30:00,1030.992,14.120
2015/10/19 02:45:00,1030.992,14.153
2015/10/19 03:00:00,1030.817,14.173
2015/10/19 03:15:00,1030.642,14.167
2015/10/19 03:30:00,1030.583,14.180
2015/10/19 03:45:00,1030.058,14.200
2015/10/19 04:00:00,1029.883,14.187
2015/10/19 04:15:00,1029.650,14.173
2015/10/19 04:30:00,1029.650,14.127
2015/10/19 04:45:00,1029.300,14.153
2015/10/19 05:00:00,1029.417,14.107
2015/10/19 05:15:00,1029.475,14.127
2015/10/19 05:30:00,1029.417,14.180
2015/10/19 05:45:00,1029.300,14.153
2015/10/19 06:00:00,1029.417,14.180
2015/10/19 06:15:00,1029.067,14.160
2015/10/19 06:30:00,1028.892,14.173
2015/10/19 06:45:00,1028.892,14.113
2015/10/19 07:00:00,1029.067,14.140
2015/10/19 07:15:00,1029.067,14.167
2015/10/19 07:30:00,1029.067,14.147
2015/10/19 07:45:00,1028.892,14.160
2015/10/19 08:00:00,1028.892,14.153
2015/10/19 08:15:00,1029.067,14.153
2015/10/19 08:30:00,1028.892,14.147
2015/10/19 08:45:00,1029.067,14.160
2015/10/19 09:00:00,1028.892,14.173
2015/10/19 09:15:00,1029.067,14.147
2015/10/19 09:30:00,1028.892,14.120
2015/10/19 09:45:00,1028.717,14.133
2015/10/19 10:00:00,1029.067,14.107
2015/10/19 10:15:00,1029.067,14.133
2015/10/19 10:30:00,1028.717,14.140
2015/10/19 10:45:00,1029.067,14.140
2015/10/19 11:00:00,1028.892,14.147
2015/10/19 11:15:00,1028.892,14.127
2015/10/19 11:30:00,1028.717,14.120
2015/10/19 11:45:00,1029.067,14.147
2015/10/19 12:00:00,1029.242,14.107
2015/10/19 12:15:00,1028.892,14.093
2015/10/19 12:30:00,1029.067,14.087
2015/10/19 12:45:00,1029.300,14.120
2015/10/19 13:00:00,1029.300,14.100
2015/10/19 13:15:00,1029.300,14.100
2015/10/19 13:30:00,1029.067,14.100
2015/10/19 13:45:00,1029.067,14.127
2015/10/19 14:00:00,1028.892,14.107
2015/10/19 14:15:00,1029.067,14.120
2015/10/19 14:30:00,1028.892,14.160
2015/10/19 14:45:00,1028.717,14.133
2015/10/19 15:00:00,1028.892,14.147
2015/10/19 15:15:00,1028.892,14.127
2015/10/19 15:30:00,1029.067,14.093
2015/10/19 15:45:00,1029.067,14.120
2015/10/19 16:00:00,1029.300,14.127
2015/10/19 16:15:00,1029.300,14.113
2015/10/19 16:30:00,1029.300,14.013
2015/10/19 16:45:00,1029.475,14.120
2015/10/19 17:00:00,1029.650,14.073
2015/10/19 17:15:00,1029.650,14.107
2015/10/19 17:30:00,1029.883,14.127
2015/10/19 17:45:00,1030.058,14.100
2015/10/19 18:00:00,1030.408,14.093
2015/10/19 18:15:00,1030.058,14.140
2015/10/19 18:30:00,1030.233,14.113
2015/10/19 18:45:00,1030.642,14.087
2015/10/19 19:00:00,1030.817,14.100
2015/10/19 19:15:00,1030.992,14.093
2015/10/19 19:30:00,1031.167,14.073
2015/10/19 19:45:00,1031.167,14.100
2015/10/19 20:00:00,1031.400,14.093
2015/10/19 20:15:00,1031.750,14.127
2015/10/19 20:30:00,1031.750,14.073
2015/10/19 20:45:00,1032.100,14.107
2015/10/19 21:00:00,1031.925,14.073
2015/10/19 21:15:00,1032.158,14.073
2015/10/19 21:30:00,1032.683,14.053
2015/10/19 21:45:00,1032.508,14.093
2015/10/19 22:00:00,1032.917,14.073
2015/10/19 22:15:00,1033.442,14.107
2015/10/19 22:30:00,1033.267,14.087
2015/10/19 22:45:00,1033.267,14.100
2015/10/19 23:00:00,1033.500,14.067
2015/10/19 23:15:00,1033.850,14.080
2015/10/19 23:30:00,1033.850,14.027
2015/10/19 23:45:00,1033.850,14.060
2015/10/20 00:00:00,1033.850,14.080
2015/10/20 00:15:00,1033.850,14.100
2015/10/20 00:30:00,1034.025,14.080
2015/10/20 00:45:00,1034.025,14.067
2015/10/20 01:00:00,1034.025,14.040
2015/10/20 01:15:00,1034.025,14.073
2015/10/20 01:30:00,1034.433,14.047
2015/10/20 01:45:00,1034.783,14.053
2015/10/20 02:00:00,1034.783,14.080
2015/10/20 02:15:00,1035.133,14.080
2015/10/20 02:30:00,1035.192,14.040
2015/10/20 02:45:00,1035.192,14.007
2015/10/20 03:00:00,1035.542,14.027
2015/10/20 03:15:00,1035.192,14.060
2015/10/20 03:30:00,1035.542,14.053
2015/10/20 03:45:00,1035.775,14.040
2015/10/20 04:00:00,1035.950,14.020
2015/10/20 04:15:00,1036.300,14.027
2015/10/20 04:30:00,1036.300,13.990
2015/10/20 04:45:00,1036.358,14.100
2015/10/20 05:00:00,1036.708,14.067
2015/10/20 05:15:00,1037.233,14.080
2015/10/20 05:30:00,1036.883,14.047
2015/10/20 05:45:00,1036.883,14.040
2015/10/20 06:00:00,1037.875,14.047
2015/10/20 06:15:00,1037.467,14.047
2015/10/20 06:30:00,1037.642,14.047
2015/10/20 06:45:00,1037.875,13.977
2015/10/20 07:00:00,1037.875,14.047
2015/10/20 07:15:00,1038.050,14.033
2015/10/20 07:30:00,1038.050,14.047
2015/10/20 07:45:00,1038.458,14.033
2015/10/20 08:00:00,1038.633,14.047
2015/10/20 08:15:00,1038.808,14.020
