Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 16/10/2015
TIME       : 21:34:26
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2015_10_16\CSV\c1_151016213426_M9506.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9506  214.
  Instrument number       =                    
                          =0
  Location                =c1
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9506  214.
  Instrument number       =                    
  Location                =c1
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:13 26/06/15
  End date / time         =00:30:21 16/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/06/26 13:00:00,1043.125,5.607
2015/06/26 13:10:00,1043.600,8.167
2015/06/26 13:20:00,1042.950,5.787
2015/06/26 13:30:00,1042.725,5.670
2015/06/26 13:40:00,1042.725,5.627
2015/06/26 13:50:00,1042.250,5.607
2015/06/26 14:00:00,1042.375,5.593
2015/06/26 14:10:00,1042.075,5.580
2015/06/26 14:20:00,1042.200,5.593
2015/06/26 14:30:00,1041.900,5.587
2015/06/26 14:40:00,1041.725,5.587
2015/06/26 14:50:00,1041.525,5.587
2015/06/26 15:00:00,1041.525,5.580
2015/06/26 15:10:00,1041.525,5.580
2015/06/26 15:20:00,1041.350,5.587
2015/06/26 15:30:00,1041.300,5.593
2015/06/26 15:40:00,1041.175,5.580
2015/06/26 15:50:00,1040.825,5.573
2015/06/26 16:00:00,1040.825,5.580
2015/06/26 16:10:00,1040.650,5.580
2015/06/26 16:20:00,1040.650,5.580
2015/06/26 16:30:00,1040.475,5.580
2015/06/26 16:40:00,1040.475,5.580
2015/06/26 16:50:00,1040.300,5.580
2015/06/26 17:00:00,1040.300,5.580
2015/06/26 17:10:00,1040.300,5.580
2015/06/26 17:20:00,1040.300,5.580
2015/06/26 17:30:00,1040.125,5.587
2015/06/26 17:40:00,1040.300,5.587
2015/06/26 17:50:00,1040.300,5.587
2015/06/26 18:00:00,1040.125,5.580
2015/06/26 18:10:00,1040.125,5.580
2015/06/26 18:20:00,1040.300,5.580
2015/06/26 18:30:00,1040.300,5.580
2015/06/26 18:40:00,1040.125,5.587
2015/06/26 18:50:00,1040.300,5.587
2015/06/26 19:00:00,1040.125,5.580
2015/06/26 19:10:00,1040.300,5.580
2015/06/26 19:20:00,1040.300,5.587
2015/06/26 19:30:00,1040.125,5.587
2015/06/26 19:40:00,1040.300,5.587
2015/06/26 19:50:00,1040.475,5.587
2015/06/26 20:00:00,1040.475,5.587
2015/06/26 20:10:00,1040.475,5.587
2015/06/26 20:20:00,1040.650,5.587
2015/06/26 20:30:00,1040.650,5.587
2015/06/26 20:40:00,1040.950,5.593
2015/06/26 20:50:00,1040.825,5.587
2015/06/26 21:00:00,1041.000,5.587
