Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 05/10/2016
TIME       : 15:50:30
FILENAME   : C:\Users\Amanda\Desktop\Research\Diver\2016_10_02\CSV\3_161005155030_M9438.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-M9438  214.
  Instrument number       =                    
                          =0
  Location                =3
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-M9438  214.
  Instrument number       =                    
  Location                =3
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:09 31/05/16
  End date / time         =00:45:15 05/10/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2016/05/31 09:00:00,985.675,11.487
2016/05/31 09:15:00,985.300,12.917
2016/05/31 09:30:00,1076.675,12.070
2016/05/31 09:45:00,1076.475,11.877
2016/05/31 10:00:00,1076.475,11.817
2016/05/31 10:15:00,1076.300,11.790
2016/05/31 10:30:00,1076.100,11.777
2016/05/31 10:45:00,1075.825,11.770
2016/05/31 11:00:00,1076.200,11.770
2016/05/31 11:15:00,1076.000,11.770
2016/05/31 11:30:00,1075.825,11.770
2016/05/31 11:45:00,1075.450,11.763
2016/05/31 12:00:00,1075.650,11.763
2016/05/31 12:15:00,1075.650,11.763
2016/05/31 12:30:00,1075.825,11.763
2016/05/31 12:45:00,1075.825,11.763
2016/05/31 13:00:00,1076.025,11.763
2016/05/31 13:15:00,1076.000,11.770
2016/05/31 13:30:00,1075.825,11.770
2016/05/31 13:45:00,1076.000,11.770
2016/05/31 14:00:00,1076.000,11.770
2016/05/31 14:15:00,1076.200,11.763
2016/05/31 14:30:00,1076.200,11.770
2016/05/31 14:45:00,1076.400,11.763
2016/05/31 15:00:00,1076.400,11.763
2016/05/31 15:15:00,1076.200,11.763
2016/05/31 15:30:00,1076.200,11.763
2016/05/31 15:45:00,1076.025,11.763
2016/05/31 16:00:00,1076.025,11.763
2016/05/31 16:15:00,1076.025,11.763
2016/05/31 16:30:00,1076.025,11.757
2016/05/31 16:45:00,1076.025,11.757
2016/05/31 17:00:00,1075.825,11.757
2016/05/31 17:15:00,1075.825,11.757
2016/05/31 17:30:00,1075.825,11.757
2016/05/31 17:45:00,1075.825,11.757
2016/05/31 18:00:00,1076.000,11.750
2016/05/31 18:15:00,1076.000,11.750
2016/05/31 18:30:00,1075.825,11.750
2016/05/31 18:45:00,1075.825,11.750
2016/05/31 19:00:00,1075.650,11.750
2016/05/31 19:15:00,1075.650,11.750
2016/05/31 19:30:00,1075.725,11.743
2016/05/31 19:45:00,1075.725,11.743
2016/05/31 20:00:00,1075.925,11.743
2016/05/31 20:15:00,1075.925,11.743
2016/05/31 20:30:00,1075.725,11.743
2016/05/31 20:45:00,1075.725,11.737
2016/05/31 21:00:00,1075.725,11.737
2016/05/31 21:15:00,1075.725,11.737
2016/05/31 21:30:00,1075.350,11.730
2016/05/31 21:45:00,1075.350,11.730
2016/05/31 22:00:00,1075.350,11.730
2016/05/31 22:15:00,1075.175,11.730
2016/05/31 22:30:00,1075.350,11.723
2016/05/31 22:45:00,1075.175,11.723
2016/05/31 23:00:00,1075.175,11.723
2016/05/31 23:15:00,1075.175,11.717
2016/05/31 23:30:00,1075.175,11.717
2016/05/31 23:45:00,1074.800,11.717
2016/06/01 00:00:00,1074.700,11.710
2016/06/01 00:15:00,1074.700,11.710
2016/06/01 00:30:00,1074.525,11.710
2016/06/01 00:45:00,1074.150,11.710
2016/06/01 01:00:00,1073.775,11.703
2016/06/01 01:15:00,1073.575,11.703
2016/06/01 01:30:00,1073.400,11.703
2016/06/01 01:45:00,1073.225,11.697
2016/06/01 02:00:00,1073.400,11.697
2016/06/01 02:15:00,1073.225,11.697
2016/06/01 02:30:00,1073.025,11.690
2016/06/01 02:45:00,1073.025,11.690
2016/06/01 03:00:00,1072.650,11.690
2016/06/01 03:15:00,1072.750,11.683
2016/06/01 03:30:00,1072.550,11.683
2016/06/01 03:45:00,1072.200,11.683
2016/06/01 04:00:00,1072.200,11.677
2016/06/01 04:15:00,1072.375,11.677
2016/06/01 04:30:00,1072.375,11.677
2016/06/01 04:45:00,1071.825,11.670
2016/06/01 05:00:00,1071.825,11.670
2016/06/01 05:15:00,1072.200,11.660
