----------------------------------------------
D1 TotHead [m]: 
    2015/10/17 17:00:00 431.708408 
    2015/10/17 17:15:00 431.706658 
    2015/10/17 17:30:00 431.708408 
    2015/10/17 17:45:00 431.702568 
    2015/10/17 18:00:00 431.704908 
    2015/10/17 18:15:00 431.702568 
    2015/10/17 18:30:00 431.702568 
    2015/10/17 18:45:00 431.703158 
    2015/10/17 19:00:00 431.704908 
    2015/10/17 19:15:00 431.703158 
    2015/10/17 19:30:00 431.703158 
    2015/10/17 19:45:00 431.701408 
    2015/10/17 20:00:00 431.699658 
    2015/10/17 20:15:00 431.699658 
    2015/10/17 20:30:00 431.701408 
    2015/10/17 20:45:00 431.699658 
    2015/10/17 21:00:00 431.699658 
    2015/10/17 21:15:00 431.697908 
    2015/10/17 21:30:00 431.697908 
    2015/10/17 21:45:00 431.697908 
    2015/10/17 22:00:00 431.699658 
    2015/10/17 22:15:00 431.701408 
    2015/10/17 22:30:00 431.697908 
    2015/10/17 22:45:00 431.701408 
    2015/10/17 23:00:00 431.701408 
    2015/10/17 23:15:00 431.696158 
    2015/10/17 23:30:00 431.700238 
    2015/10/17 23:45:00 431.700238 
    2015/10/18 00:00:00 431.700238 
    2015/10/18 00:15:00 431.701988 
    2015/10/18 00:30:00 431.699658 
    2015/10/18 00:45:00 431.697908 
    2015/10/18 01:00:00 431.697908 
    2015/10/18 01:15:00 431.697658 
    2015/10/18 01:30:00 431.700238 
    2015/10/18 01:45:00 431.700238 
    2015/10/18 02:00:00 431.700238 
    2015/10/18 02:15:00 431.701988 
    2015/10/18 02:30:00 431.699658 
    2015/10/18 02:45:00 431.697908 
    2015/10/18 03:00:00 431.700238 
    2015/10/18 03:15:00 431.701988 
    2015/10/18 03:30:00 431.700238 
    2015/10/18 03:45:00 431.697908 
    2015/10/18 04:00:00 431.697908 
    2015/10/18 04:15:00 431.700238 
    2015/10/18 04:30:00 431.699658 
    2015/10/18 04:45:00 431.701158 
    2015/10/18 05:00:00 431.696158 
    2015/10/18 05:15:00 431.699408 
    2015/10/18 05:30:00 431.701408 
    2015/10/18 05:45:00 431.699988 
    2015/10/18 06:00:00 431.700238 
    2015/10/18 06:15:00 431.700238 
    2015/10/18 06:30:00 431.698488 
    2015/10/18 06:45:00 431.701988 
    2015/10/18 07:00:00 431.699658 
    2015/10/18 07:15:00 431.699658 
