Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
5/31/2016 10:04:16,2.33962125E-83
5/31/2016 10:07:09,2.33997975E-83
5/31/2016 10:10:36,2.3396175E-83
5/31/2016 10:11:52,2.33946975E-83
5/31/2016 10:14:16,2.36736075E-83
5/31/2016 10:17:09,2.36699325E-83
5/31/2016 10:20:36,2.36655E-83
5/31/2016 10:21:52,2.36641575E-83
5/31/2016 10:24:16,2.42234775E-83
5/31/2016 10:27:09,2.4220425E-83
5/31/2016 10:30:36,2.42159925E-83
5/31/2016 10:31:52,2.42145975E-83
5/31/2016 10:34:16,2.392986E-83
5/31/2016 10:37:09,2.39262225E-83
5/31/2016 10:40:36,2.39219775E-83
5/31/2016 10:41:52,2.3920605E-83
5/31/2016 10:44:16,2.363646E-83
5/31/2016 10:47:09,2.3632995E-83
5/31/2016 10:50:36,2.362899E-83
5/31/2016 10:51:52,2.36277225E-83
5/31/2016 10:54:16,2.39067075E-83
5/31/2016 10:57:09,2.39037E-83
5/31/2016 11:00:36,2.3900025E-83
5/31/2016 11:01:52,2.38989075E-83
5/31/2016 11:04:16,2.33344125E-83
5/31/2016 11:07:09,2.3331465E-83
5/31/2016 11:10:36,2.3328015E-83
5/31/2016 11:11:52,2.33269875E-83
5/31/2016 11:14:16,2.3043135E-83
5/31/2016 11:17:09,2.3040255E-83
5/31/2016 11:20:36,2.303688E-83
5/31/2016 11:21:52,2.30357025E-83
5/31/2016 11:24:16,2.3875635E-83
5/31/2016 11:27:09,2.38726575E-83
5/31/2016 11:30:36,2.38694775E-83
5/31/2016 11:31:52,2.38682775E-83
5/31/2016 11:34:16,2.3585265E-83
5/31/2016 11:37:09,2.3582385E-83
5/31/2016 11:40:36,2.35791675E-83
5/31/2016 11:41:52,2.357805E-83
5/31/2016 11:44:16,2.32958775E-83
5/31/2016 11:47:09,2.329326E-83
5/31/2016 11:50:36,2.3290275E-83
5/31/2016 11:51:52,2.32893825E-83
5/31/2016 11:54:16,2.4128325E-83
5/31/2016 11:57:09,2.412558E-83
5/31/2016 12:00:36,2.41224375E-83
5/31/2016 12:01:52,2.41212975E-83
5/31/2016 12:04:16,2.43987075E-83
5/31/2016 12:07:09,2.43958125E-83
5/31/2016 12:10:36,2.4392385E-83
5/31/2016 12:11:52,2.43911325E-83
5/31/2016 12:14:16,2.410827E-83
5/31/2016 12:17:09,2.4105045E-83
5/31/2016 12:20:36,2.410161E-83
5/31/2016 12:21:52,2.41004025E-83
5/31/2016 12:24:16,2.35382775E-83
5/31/2016 12:27:09,2.35355775E-83
5/31/2016 12:30:36,2.353254E-83
5/31/2016 12:31:52,2.35315725E-83
5/31/2016 12:34:16,2.38092E-83
5/31/2016 12:37:09,2.38067025E-83
5/31/2016 12:40:36,2.38039575E-83
5/31/2016 12:41:52,2.38029225E-83
5/31/2016 12:44:16,2.436033E-83
5/31/2016 12:47:09,2.435772E-83
5/31/2016 12:50:36,2.43546E-83
5/31/2016 12:51:52,2.43534675E-83
5/31/2016 12:54:16,2.43510225E-83
5/31/2016 12:57:09,2.4348195E-83
5/31/2016 13:00:36,2.43450075E-83
5/31/2016 13:01:52,2.43438825E-83
5/31/2016 13:04:16,2.37819225E-83
5/31/2016 13:07:09,2.377908E-83
