,0,0.05,0.1,0.15,0.2,0.3
5/31/2016 10:01:52,15.08,15.39,15.31,14.74,14.02,12.67
5/31/2016 10:04:16,15.069,15.3528,15.2683,14.7237,14.0199,12.671
5/31/2016 10:07:09,15.069,15.3282,15.2375,14.7145,14.0205,12.671
5/31/2016 10:10:36,15.069,15.3111,15.2156,14.7077,14.0216,12.671
5/31/2016 10:11:52,15.069,15.3039,15.2071,14.7045,14.0216,12.671
5/31/2016 10:14:16,15.061,15.2925,15.1934,14.6992,14.0215,12.692
5/31/2016 10:17:09,15.061,15.2787,15.1772,14.6927,14.0213,12.692
5/31/2016 10:20:36,15.061,15.2626,15.1584,14.6845,14.0206,12.692
5/31/2016 10:21:52,15.061,15.2569,15.1518,14.6814,14.0202,12.692
5/31/2016 10:24:16,15.061,15.2463,15.1396,14.6755,14.0194,12.681
5/31/2016 10:27:09,15.061,15.2338,15.1252,14.6684,14.0183,12.681
5/31/2016 10:30:36,15.061,15.2194,15.1085,14.6597,14.0168,12.681
5/31/2016 10:31:52,15.061,15.2143,15.1025,14.6565,14.0161,12.681
5/31/2016 10:34:16,15.061,15.2049,15.0914,14.6504,14.0148,12.671
5/31/2016 10:37:09,15.061,15.1938,15.0783,14.6431,14.0131,12.671
5/31/2016 10:40:36,15.061,15.1811,15.0631,14.6342,14.0109,12.671
5/31/2016 10:41:52,15.061,15.1765,15.0576,14.631,14.01,12.671
5/31/2016 10:44:16,15.061,15.1682,15.0475,14.6248,14.0083,12.671
5/31/2016 10:47:09,15.061,15.1584,15.0355,14.6175,14.0061,12.671
5/31/2016 10:50:36,15.061,15.147,15.0215,14.6087,14.0032,12.671
5/31/2016 10:51:52,15.061,15.143,15.0165,14.6054,14.0021,12.671
5/31/2016 10:54:16,15.061,15.1355,15.0072,14.5993,14,12.692
5/31/2016 10:57:09,15.061,15.1268,14.9962,14.592,13.9973,12.692
5/31/2016 11:00:36,15.061,15.1166,14.9833,14.5833,13.994,12.692
5/31/2016 11:01:52,15.061,15.113,14.9787,14.5801,13.9927,12.692
5/31/2016 11:04:16,15.061,15.1063,14.9701,14.5741,13.9902,12.701
5/31/2016 11:07:09,15.061,15.0984,14.9599,14.5669,13.9872,12.701
5/31/2016 11:10:36,15.061,15.0892,14.948,14.5583,13.9836,12.701
5/31/2016 11:11:52,15.061,15.086,14.9437,14.5552,13.9822,12.701
5/31/2016 11:14:16,15.061,15.0799,14.9358,14.5493,13.9796,12.681
5/31/2016 11:17:09,15.061,15.0728,14.9264,14.5423,13.9764,12.681
5/31/2016 11:20:36,15.061,15.0645,14.9153,14.5339,13.9725,12.681
5/31/2016 11:21:52,15.061,15.0615,14.9113,14.5309,13.9711,12.681
