,0,0.05,0.1,0.15,0.2,0.3
8/2/2016 0:00,23.727587,22.8165,21.51733,20.40233,19.27733,17.46142
8/2/2016 0:10,23.70092,22.8165,21.490663,20.40233,19.27733,17.46142
8/2/2016 0:20,23.61092,22.7365,21.490663,20.49233,19.30733,17.46142
8/2/2016 0:30,23.61092,22.7365,21.490663,20.49233,19.33733,17.46142
8/2/2016 0:40,23.52092,22.7365,21.463997,20.49233,19.33733,17.46142
8/2/2016 0:50,23.52092,22.7065,21.463997,20.49233,19.33733,17.46142
8/2/2016 1:00,23.49092,22.6465,21.490663,20.49233,19.33733,17.46142
8/2/2016 1:10,23.43092,22.6465,21.43733,20.49233,19.36733,17.46142
8/2/2016 1:20,23.43092,22.6465,21.43733,20.49233,19.36733,17.46142
8/2/2016 1:30,23.35092,22.5565,21.43733,20.49233,19.36733,17.46142
8/2/2016 1:40,23.35092,22.5565,21.43733,20.49233,19.36733,17.46142
8/2/2016 1:50,23.26092,22.5565,21.43733,20.49233,19.36733,17.46142
8/2/2016 2:00,23.26092,22.5565,21.43733,20.49233,19.36733,17.46142
8/2/2016 2:10,23.17092,22.503167,21.43733,20.49233,19.36733,17.46142
8/2/2016 2:20,23.17092,22.4765,21.43733,20.49233,19.36733,17.46142
8/2/2016 2:30,23.09092,22.4765,21.43733,20.49233,19.36733,17.46142
8/2/2016 2:40,23.09092,22.4765,21.43733,20.49233,19.36733,17.49142
8/2/2016 2:50,23.00092,22.3865,21.43733,20.49233,19.36733,17.46142
8/2/2016 3:00,23.00092,22.3865,21.40733,20.49233,19.393997,17.46142
8/2/2016 3:10,22.91092,22.3865,21.34733,20.49233,19.420663,17.46142
8/2/2016 3:20,22.91092,22.3865,21.34733,20.49233,19.420663,17.49142
8/2/2016 3:30,22.88092,22.2965,21.34733,20.49233,19.420663,17.49142
8/2/2016 3:40,22.82092,22.2965,21.34733,20.49233,19.420663,17.49142
8/2/2016 3:50,22.794253,22.2965,21.34733,20.49233,19.420663,17.49142
8/2/2016 4:00,22.74092,22.269833,21.34733,20.49233,19.420663,17.52142
8/2/2016 4:10,22.71092,22.2165,21.34733,20.49233,19.420663,17.52142
8/2/2016 4:20,22.65092,22.2165,21.31733,20.49233,19.420663,17.52142
8/2/2016 4:30,22.65092,22.2165,21.31733,20.49233,19.44733,17.52142
8/2/2016 4:40,22.62092,22.1265,21.28733,20.49233,19.44733,17.52142
8/2/2016 4:50,22.56092,22.1265,21.25733,20.49233,19.420663,17.52142
8/2/2016 5:00,22.48092,22.1265,21.25733,20.49233,19.44733,17.52142
8/2/2016 5:10,22.014253,22.1265,21.25733,20.49233,19.44733,17.52142
8/2/2016 5:20,21.87092,22.0365,21.25733,20.49233,19.44733,17.52142
8/2/2016 5:30,21.61092,21.9565,21.25733,20.49233,19.44733,17.52142
8/2/2016 5:40,21.52092,21.9565,21.25733,20.49233,19.44733,17.52142
8/2/2016 5:50,21.52092,21.8665,21.17733,20.49233,19.44733,17.52142
8/2/2016 6:00,21.44092,21.7765,21.17733,20.49233,19.44733,17.55142
8/2/2016 6:10,21.44092,21.7765,21.17733,20.49233,19.44733,17.52142
8/2/2016 6:20,21.35092,21.6965,21.17733,20.49233,19.44733,17.52142
8/2/2016 6:30,21.26092,21.6665,21.14733,20.46233,19.420663,17.52142
8/2/2016 6:40,21.18092,21.6065,21.08733,20.46233,19.44733,17.52142
8/2/2016 6:50,21.09092,21.5165,21.08733,20.43233,19.44733,17.55142
8/2/2016 7:00,21.01092,21.5165,21.08733,20.40233,19.44733,17.55142
8/2/2016 7:10,20.95092,21.4365,21.060663,20.40233,19.44733,17.52142
8/2/2016 7:20,20.92092,21.4365,21.00733,20.40233,19.44733,17.52142
8/2/2016 7:30,20.83092,21.3465,21.00733,20.40233,19.44733,17.52142
8/2/2016 7:40,20.75092,21.3465,21.00733,20.40233,19.44733,17.55142
8/2/2016 7:50,20.75092,21.2565,20.97733,20.40233,19.44733,17.55142
8/2/2016 8:00,20.66092,21.1765,20.91733,20.40233,19.44733,17.55142
8/2/2016 8:10,20.57092,21.1765,20.91733,20.40233,19.44733,17.55142
8/2/2016 8:20,20.57092,21.0865,20.91733,20.40233,19.420663,17.55142
8/2/2016 8:30,20.49092,21.0865,20.85733,20.31233,19.420663,17.55142
8/2/2016 8:40,20.49092,21.033167,20.82733,20.31233,19.420663,17.55142
8/2/2016 8:50,20.40092,21.0065,20.82733,20.31233,19.420663,17.55142
8/2/2016 9:00,20.40092,20.9465,20.800663,20.31233,19.420663,17.55142
8/2/2016 9:10,20.40092,20.9165,20.74733,20.31233,19.393997,17.55142
8/2/2016 9:20,20.40092,20.9165,20.74733,20.31233,19.393997,17.55142
8/2/2016 9:30,20.40092,20.8265,20.74733,20.31233,19.393997,17.55142
8/2/2016 9:40,20.40092,20.8265,20.65733,20.258997,19.36733,17.55142
8/2/2016 9:50,20.49092,20.8265,20.65733,20.23233,19.36733,17.55142
8/2/2016 10:00,20.57092,20.7465,20.65733,20.23233,19.36733,17.55142
8/2/2016 10:10,20.66092,20.7465,20.62733,20.23233,19.36733,17.55142
8/2/2016 10:20,20.83092,20.7465,20.56733,20.23233,19.36733,17.55142
8/2/2016 10:30,20.92092,20.7465,20.56733,20.23233,19.36733,17.55142
8/2/2016 10:40,21.01092,20.7465,20.56733,20.23233,19.36733,17.55142
8/2/2016 10:50,21.01092,20.7465,20.56733,20.14233,19.36733,17.55142
8/2/2016 11:00,21.09092,20.7465,20.48733,20.14233,19.36733,17.55142
8/2/2016 11:10,21.12092,20.7465,20.48733,20.14233,19.36733,17.55142
8/2/2016 11:20,21.18092,20.7465,20.48733,20.14233,19.33733,17.55142
