,Saturated.heat.capacity,variable,value,error
1,2000000,west_wetland,0.072552,0.12769
2,2250000,west_wetland,0.078617,0.108
3,2440000,west_wetland,0.07024,0.11279
4,2750000,west_wetland,0.069419,0.10559
5,2000000,stream_west,0.040345,0.10308
6,2250000,stream_west,0.042006,0.11237
7,2440000,stream_west,0.042949,0.12055
8,2750000,stream_west,0.045117,0.13326
9,2000000,stream_center,0.17396,0.11104
10,2250000,stream_center,0.17487,0.12415
11,2440000,stream_center,0.17529,0.13477
12,2750000,stream_center,0.17668,0.15029
