time,cw,cc,i,cw unscaled,cc unscaled,iunscaled
6/4/2016 3:30,-0.022294601,-0.036249105,-0.034018969,-0.074315337,-0.12083035,-0.113396563
6/4/2016 3:45,-0.023704029,-0.036614173,-0.03432128,-0.07901343,-0.122047243,-0.114404267
6/4/2016 4:00,-0.023142195,-0.036614173,-0.03432128,-0.07714065,-0.122047243,-0.114404267
6/4/2016 4:15,-0.023704029,-0.036249105,-0.034018969,-0.07901343,-0.12083035,-0.113396563
6/4/2016 4:30,-0.024270707,-0.034370079,-0.032462952,-0.080902357,-0.11456693,-0.10820984
6/4/2016 4:45,-0.023704029,-0.036249105,-0.034018969,-0.07901343,-0.12083035,-0.113396563
6/4/2016 5:00,-0.023704029,-0.036614173,-0.03432128,-0.07901343,-0.122047243,-0.114404267
6/4/2016 5:15,-0.023989789,-0.036614173,-0.03432128,-0.079965963,-0.122047243,-0.114404267
6/4/2016 5:30,-0.023423112,-0.030977094,-0.029653231,-0.07807704,-0.10325698,-0.098844103
6/4/2016 5:45,-0.023704029,-0.034735147,-0.032765264,-0.07901343,-0.115783823,-0.109217547
6/4/2016 6:00,-0.025118301,-0.03222262,-0.030684647,-0.08372767,-0.107408733,-0.102282157
6/4/2016 6:15,-0.023989789,-0.039738726,-0.036908714,-0.079965963,-0.13246242,-0.123029047
6/4/2016 6:30,-0.024270707,-0.039115963,-0.036393005,-0.080902357,-0.130386543,-0.121310017
6/4/2016 6:45,-0.023423112,-0.037236936,-0.034836989,-0.07807704,-0.12412312,-0.116123297
6/4/2016 7:00,-0.022856435,-0.037236936,-0.034836989,-0.076188117,-0.12412312,-0.116123297
6/4/2016 7:15,-0.024958469,-0.035980673,-0.03379668,-0.083194897,-0.119935577,-0.1126556
6/4/2016 7:30,-0.025806063,-0.037859699,-0.035352697,-0.08602021,-0.126198997,-0.117842323
6/4/2016 7:45,-0.024672708,-0.036614173,-0.03432128,-0.08224236,-0.122047243,-0.114404267
6/4/2016 8:00,-0.024672708,-0.034370079,-0.032462952,-0.08224236,-0.11456693,-0.10820984
6/4/2016 8:15,-0.025520303,-0.036614173,-0.03432128,-0.085067677,-0.122047243,-0.114404267
6/4/2016 8:30,-0.027622337,-0.034101646,-0.032240664,-0.092074457,-0.113672153,-0.10746888
6/4/2016 8:45,-0.026653658,-0.03222262,-0.030684647,-0.088845527,-0.107408733,-0.102282157
6/4/2016 9:00,-0.024110874,-0.032587688,-0.030986959,-0.08036958,-0.108625627,-0.103289863
6/4/2016 9:15,-0.025806063,-0.03222262,-0.030684647,-0.08602021,-0.107408733,-0.102282157
6/4/2016 9:30,-0.024672708,-0.028829635,-0.027874926,-0.08224236,-0.096098783,-0.09291642
