----------------------------------------------
A2 TotHead [m]: 
    2015/10/17 17:00:00 428.889900 
    2015/10/17 17:15:00 428.889900 
    2015/10/17 17:30:00 428.887570 
    2015/10/17 17:45:00 428.885820 
    2015/10/17 18:00:00 428.883480 
    2015/10/17 18:15:00 428.883480 
    2015/10/17 18:30:00 428.881150 
    2015/10/17 18:45:00 428.881730 
    2015/10/17 19:00:00 428.884070 
    2015/10/17 19:15:00 428.881730 
    2015/10/17 19:30:00 428.884070 
    2015/10/17 19:45:00 428.884650 
    2015/10/17 20:00:00 428.878820 
    2015/10/17 20:15:00 428.878820 
    2015/10/17 20:30:00 428.878820 
    2015/10/17 20:45:00 428.878820 
    2015/10/17 21:00:00 428.877650 
    2015/10/17 21:15:00 428.877650 
    2015/10/17 21:30:00 428.877650 
    2015/10/17 21:45:00 428.877650 
    2015/10/17 22:00:00 428.881730 
    2015/10/17 22:15:00 428.883480 
    2015/10/17 22:30:00 428.875900 
    2015/10/17 22:45:00 428.883480 
    2015/10/17 23:00:00 428.881730 
    2015/10/17 23:15:00 428.878230 
    2015/10/17 23:30:00 428.878230 
    2015/10/17 23:45:00 428.878230 
    2015/10/18 00:00:00 428.880570 
    2015/10/18 00:15:00 428.878230 
    2015/10/18 00:30:00 428.878230 
    2015/10/18 00:45:00 428.878230 
    2015/10/18 01:00:00 428.878230 
    2015/10/18 01:15:00 428.877980 
    2015/10/18 01:30:00 428.876480 
    2015/10/18 01:45:00 428.878230 
    2015/10/18 02:00:00 428.876480 
    2015/10/18 02:15:00 428.878230 
    2015/10/18 02:30:00 428.878230 
    2015/10/18 02:45:00 428.878230 
    2015/10/18 03:00:00 428.876480 
    2015/10/18 03:15:00 428.878230 
    2015/10/18 03:30:00 428.878230 
    2015/10/18 03:45:00 428.878230 
    2015/10/18 04:00:00 428.878230 
    2015/10/18 04:15:00 428.878230 
    2015/10/18 04:30:00 428.878230 
    2015/10/18 04:45:00 428.881480 
    2015/10/18 05:00:00 428.878230 
    2015/10/18 05:15:00 428.879730 
    2015/10/18 05:30:00 428.879980 
    2015/10/18 05:45:00 428.877980 
    2015/10/18 06:00:00 428.878820 
    2015/10/18 06:15:00 428.877070 
    2015/10/18 06:30:00 428.878820 
    2015/10/18 06:45:00 428.881150 
    2015/10/18 07:00:00 428.880570 
    2015/10/18 07:15:00 428.880570 
    2015/10/18 07:30:00 428.879730 
    2015/10/18 07:45:00 428.879730 
    2015/10/18 08:00:00 428.877650 
    2015/10/18 08:15:00 428.880320 
    2015/10/18 08:30:00 428.876480 
    2015/10/18 08:45:00 428.875900 
    2015/10/18 09:00:00 428.874150 
    2015/10/18 09:15:00 428.870650 
    2015/10/18 09:30:00 428.868320 
    2015/10/18 09:45:00 428.867730 
    2015/10/18 10:00:00 428.869480 
    2015/10/18 10:15:00 428.871230 
    2015/10/18 10:30:00 428.872400 
    2015/10/18 10:45:00 428.875900 
    2015/10/18 11:00:00 428.876480 
    2015/10/18 11:15:00 428.879980 
    2015/10/18 11:30:00 428.878820 
    2015/10/18 11:45:00 428.881730 
    2015/10/18 12:00:00 428.888730 
    2015/10/18 12:15:00 428.889320 
    2015/10/18 12:30:00 428.888150 
    2015/10/18 12:45:00 428.885820 
    2015/10/18 13:00:00 428.885820 
    2015/10/18 13:15:00 428.884900 
    2015/10/18 13:30:00 428.882900 
    2015/10/18 13:45:00 428.884320 
    2015/10/18 14:00:00 428.882570 
    2015/10/18 14:15:00 428.889570 
    2015/10/18 14:30:00 428.888980 
    2015/10/18 14:45:00 428.890150 
    2015/10/18 15:00:00 428.890730 
    2015/10/18 15:15:00 428.891320 
    2015/10/18 15:30:00 428.896570 
    2015/10/18 15:45:00 428.898900 
    2015/10/18 16:00:00 428.898320 
    2015/10/18 16:15:00 428.900070 
    2015/10/18 16:30:00 428.896570 
    2015/10/18 16:45:00 428.896570 
    2015/10/18 17:00:00 428.900070 
    2015/10/18 17:15:00 428.898900 
    2015/10/18 17:30:00 428.897730 
    2015/10/18 17:45:00 428.898900 
    2015/10/18 18:00:00 428.896570 
    2015/10/18 18:15:00 428.897730 
    2015/10/18 18:30:00 428.897150 
    2015/10/18 18:45:00 428.894230 
    2015/10/18 19:00:00 428.895980 
    2015/10/18 19:15:00 428.896900 
    2015/10/18 19:30:00 428.895400 
    2015/10/18 19:45:00 428.894820 
    2015/10/18 20:00:00 428.895730 
    2015/10/18 20:15:00 428.891900 
    2015/10/18 20:30:00 428.893650 
    2015/10/18 20:45:00 428.893070 
    2015/10/18 21:00:00 428.894230 
    2015/10/18 21:15:00 428.893980 
    2015/10/18 21:30:00 428.894570 
    2015/10/18 21:45:00 428.896570 
