----------------------------------------------
PZ-Out TotHead [m]: 
    2016/05/31 09:15:00 428.563000 
    2016/05/31 09:30:00 428.562420 
    2016/05/31 09:45:00 428.563920 
    2016/05/31 10:00:00 428.569750 
    2016/05/31 10:15:00 428.567420 
    2016/05/31 10:30:00 428.567670 
    2016/05/31 10:45:00 428.565670 
    2016/05/31 11:00:00 428.563670 
    2016/05/31 11:15:00 428.562420 
    2016/05/31 11:30:00 428.565920 
    2016/05/31 11:45:00 428.567670 
    2016/05/31 12:00:00 428.567670 
    2016/05/31 12:15:00 428.572670 
    2016/05/31 12:30:00 428.578750 
    2016/05/31 12:45:00 428.586090 
    2016/05/31 13:00:00 428.587840 
    2016/05/31 13:15:00 428.589590 
    2016/05/31 13:30:00 428.589590 
    2016/05/31 13:45:00 428.593090 
    2016/05/31 14:00:00 428.600670 
    2016/05/31 14:15:00 428.611750 
    2016/05/31 14:30:00 428.614090 
    2016/05/31 14:45:00 428.615840 
    2016/05/31 15:00:00 428.615840 
    2016/05/31 15:15:00 428.611750 
    2016/05/31 15:30:00 428.611750 
    2016/05/31 15:45:00 428.608250 
    2016/05/31 16:00:00 428.607670 
    2016/05/31 16:15:00 428.604170 
    2016/05/31 16:30:00 428.600670 
    2016/05/31 16:45:00 428.598340 
    2016/05/31 17:00:00 428.598340 
    2016/05/31 17:15:00 428.598340 
    2016/05/31 17:30:00 428.596340 
    2016/05/31 17:45:00 428.594840 
    2016/05/31 18:00:00 428.591590 
    2016/05/31 18:15:00 428.589250 
    2016/05/31 18:30:00 428.589250 
    2016/05/31 18:45:00 428.589000 
    2016/05/31 19:00:00 428.587500 
    2016/05/31 19:15:00 428.585170 
    2016/05/31 19:30:00 428.584670 
    2016/05/31 19:45:00 428.585750 
    2016/05/31 20:00:00 428.587000 
    2016/05/31 20:15:00 428.584670 
    2016/05/31 20:30:00 428.585750 
    2016/05/31 20:45:00 428.586920 
    2016/05/31 21:00:00 428.586670 
    2016/05/31 21:15:00 428.585170 
    2016/05/31 21:30:00 428.586670 
    2016/05/31 21:45:00 428.588420 
    2016/05/31 22:00:00 428.584340 
    2016/05/31 22:15:00 428.584590 
    2016/05/31 22:30:00 428.587840 
    2016/05/31 22:45:00 428.584340 
    2016/05/31 23:00:00 428.586090 
    2016/05/31 23:15:00 428.582840 
    2016/05/31 23:30:00 428.586090 
    2016/05/31 23:45:00 428.585500 
    2016/06/01 00:00:00 428.585500 
