----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/05/31 09:45:00 428.133000 
    2016/05/31 10:00:00 428.133000 
    2016/05/31 10:15:00 428.132420 
    2016/05/31 10:30:00 428.128000 
    2016/05/31 10:45:00 428.126000 
    2016/05/31 11:00:00 428.128090 
    2016/05/31 11:15:00 428.130340 
    2016/05/31 11:30:00 428.125670 
    2016/05/31 11:45:00 428.127420 
    2016/05/31 12:00:00 428.126840 
    2016/05/31 12:15:00 428.128340 
    2016/05/31 12:30:00 428.131500 
    2016/05/31 12:45:00 428.131840 
    2016/05/31 13:00:00 428.135340 
    2016/05/31 13:15:00 428.138250 
    2016/05/31 13:30:00 428.134170 
    2016/05/31 13:45:00 428.137670 
    2016/05/31 14:00:00 428.136500 
    2016/05/31 14:15:00 428.142340 
    2016/05/31 14:30:00 428.140000 
    2016/05/31 14:45:00 428.140000 
    2016/05/31 15:00:00 428.138250 
    2016/05/31 15:15:00 428.140000 
    2016/05/31 15:30:00 428.139420 
    2016/05/31 15:45:00 428.138840 
    2016/05/31 16:00:00 428.143500 
    2016/05/31 16:15:00 428.141750 
    2016/05/31 16:30:00 428.138840 
    2016/05/31 16:45:00 428.140590 
    2016/05/31 17:00:00 428.138250 
    2016/05/31 17:15:00 428.140590 
    2016/05/31 17:30:00 428.142670 
    2016/05/31 17:45:00 428.141170 
    2016/05/31 18:00:00 428.137340 
    2016/05/31 18:15:00 428.140250 
    2016/05/31 18:30:00 428.139090 
    2016/05/31 18:45:00 428.141170 
    2016/05/31 19:00:00 428.139090 
    2016/05/31 19:15:00 428.138500 
    2016/05/31 19:30:00 428.142670 
    2016/05/31 19:45:00 428.139090 
    2016/05/31 20:00:00 428.140340 
    2016/05/31 20:15:00 428.140920 
    2016/05/31 20:30:00 428.137340 
    2016/05/31 20:45:00 428.143170 
    2016/05/31 21:00:00 428.141750 
    2016/05/31 21:15:00 428.140840 
    2016/05/31 21:30:00 428.141170 
    2016/05/31 21:45:00 428.143500 
    2016/05/31 22:00:00 428.140000 
    2016/05/31 22:15:00 428.142000 
    2016/05/31 22:30:00 428.144670 
    2016/05/31 22:45:00 428.140000 
    2016/05/31 23:00:00 428.147000 
    2016/05/31 23:15:00 428.139670 
    2016/05/31 23:30:00 428.144670 
    2016/05/31 23:45:00 428.145250 
    2016/06/01 00:00:00 428.145250 
    2016/06/01 00:15:00 428.144340 
    2016/06/01 00:30:00 428.141170 
    2016/06/01 00:45:00 428.144670 
    2016/06/01 01:00:00 428.142590 
    2016/06/01 01:15:00 428.144670 
    2016/06/01 01:30:00 428.141170 
    2016/06/01 01:45:00 428.140840 
    2016/06/01 02:00:00 428.140000 
    2016/06/01 02:15:00 428.144670 
    2016/06/01 02:30:00 428.141750 
    2016/06/01 02:45:00 428.137090 
    2016/06/01 03:00:00 428.143170 
    2016/06/01 03:15:00 428.138500 
    2016/06/01 03:30:00 428.139670 
    2016/06/01 03:45:00 428.137340 
    2016/06/01 04:00:00 428.139920 
    2016/06/01 04:15:00 428.141420 
    2016/06/01 04:30:00 428.138170 
    2016/06/01 04:45:00 428.139670 
    2016/06/01 05:00:00 428.138500 
    2016/06/01 05:15:00 428.135590 
    2016/06/01 05:30:00 428.136170 
    2016/06/01 05:45:00 428.138170 
    2016/06/01 06:00:00 428.135250 
    2016/06/01 06:15:00 428.139670 
    2016/06/01 06:30:00 428.135590 
    2016/06/01 06:45:00 428.135250 
    2016/06/01 07:00:00 428.135590 
    2016/06/01 07:15:00 428.139670 
    2016/06/01 07:30:00 428.133250 
    2016/06/01 07:45:00 428.132670 
    2016/06/01 08:00:00 428.132090 
    2016/06/01 08:15:00 428.129420 
    2016/06/01 08:30:00 428.137590 
    2016/06/01 08:45:00 428.134420 
    2016/06/01 09:00:00 428.135590 
    2016/06/01 09:15:00 428.132090 
    2016/06/01 09:30:00 428.132670 
    2016/06/01 09:45:00 428.134090 
    2016/06/01 10:00:00 428.129750 
    2016/06/01 10:15:00 428.130920 
    2016/06/01 10:30:00 428.129750 
    2016/06/01 10:45:00 428.130590 
    2016/06/01 11:00:00 428.133840 
    2016/06/01 11:15:00 428.133170 
    2016/06/01 11:30:00 428.128840 
    2016/06/01 11:45:00 428.130250 
    2016/06/01 12:00:00 428.130250 
    2016/06/01 12:15:00 428.129090 
    2016/06/01 12:30:00 428.133750 
    2016/06/01 12:45:00 428.134340 
    2016/06/01 13:00:00 428.131170 
    2016/06/01 13:15:00 428.129090 
    2016/06/01 13:30:00 428.134920 
    2016/06/01 13:45:00 428.134340 
    2016/06/01 14:00:00 428.139590 
    2016/06/01 14:15:00 428.142590 
    2016/06/01 14:30:00 428.144340 
    2016/06/01 14:45:00 428.144000 
    2016/06/01 15:00:00 428.148670 
    2016/06/01 15:15:00 428.150420 
    2016/06/01 15:30:00 428.148670 
    2016/06/01 15:45:00 428.146920 
