----------------------------------------------
B1 TotHead [m]: 
    2015/10/17 17:00:00 428.857002 
    2015/10/17 17:15:00 428.857002 
    2015/10/17 17:30:00 428.857002 
    2015/10/17 17:45:00 428.855252 
    2015/10/17 18:00:00 428.855252 
    2015/10/17 18:15:00 428.855252 
    2015/10/17 18:30:00 428.855252 
    2015/10/17 18:45:00 428.853502 
    2015/10/17 19:00:00 428.855252 
    2015/10/17 19:15:00 428.853502 
    2015/10/17 19:30:00 428.853502 
    2015/10/17 19:45:00 428.851752 
    2015/10/17 20:00:00 428.850002 
    2015/10/17 20:15:00 428.852002 
    2015/10/17 20:30:00 428.850002 
    2015/10/17 20:45:00 428.850002 
    2015/10/17 21:00:00 428.848502 
    2015/10/17 21:15:00 428.848502 
    2015/10/17 21:30:00 428.848502 
    2015/10/17 21:45:00 428.847252 
    2015/10/17 22:00:00 428.849002 
    2015/10/17 22:15:00 428.850752 
    2015/10/17 22:30:00 428.847252 
    2015/10/17 22:45:00 428.850752 
    2015/10/17 23:00:00 428.849002 
    2015/10/17 23:15:00 428.845502 
    2015/10/17 23:30:00 428.849252 
    2015/10/17 23:45:00 428.847502 
    2015/10/18 00:00:00 428.847502 
    2015/10/18 00:15:00 428.847252 
    2015/10/18 00:30:00 428.847252 
    2015/10/18 00:45:00 428.847252 
    2015/10/18 01:00:00 428.847502 
    2015/10/18 01:15:00 428.847252 
    2015/10/18 01:30:00 428.848752 
    2015/10/18 01:45:00 428.848752 
    2015/10/18 02:00:00 428.848752 
    2015/10/18 02:15:00 428.850502 
    2015/10/18 02:30:00 428.850502 
    2015/10/18 02:45:00 428.846752 
    2015/10/18 03:00:00 428.846752 
    2015/10/18 03:15:00 428.846752 
    2015/10/18 03:30:00 428.846752 
    2015/10/18 03:45:00 428.846752 
    2015/10/18 04:00:00 428.848752 
    2015/10/18 04:15:00 428.846752 
    2015/10/18 04:30:00 428.848502 
    2015/10/18 04:45:00 428.850002 
    2015/10/18 05:00:00 428.845002 
    2015/10/18 05:15:00 428.848252 
    2015/10/18 05:30:00 428.850252 
    2015/10/18 05:45:00 428.848502 
    2015/10/18 06:00:00 428.848752 
    2015/10/18 06:15:00 428.847002 
    2015/10/18 06:30:00 428.847002 
    2015/10/18 06:45:00 428.848752 
    2015/10/18 07:00:00 428.850502 
    2015/10/18 07:15:00 428.848502 
    2015/10/18 07:30:00 428.850002 
    2015/10/18 07:45:00 428.848252 
    2015/10/18 08:00:00 428.846502 
    2015/10/18 08:15:00 428.844502 
    2015/10/18 08:30:00 428.843002 
    2015/10/18 08:45:00 428.843002 
    2015/10/18 09:00:00 428.839252 
    2015/10/18 09:15:00 428.835752 
    2015/10/18 09:30:00 428.837502 
    2015/10/18 09:45:00 428.837502 
    2015/10/18 10:00:00 428.839252 
    2015/10/18 10:15:00 428.839002 
    2015/10/18 10:30:00 428.840752 
    2015/10/18 10:45:00 428.842252 
    2015/10/18 11:00:00 428.847502 
    2015/10/18 11:15:00 428.847252 
    2015/10/18 11:30:00 428.849002 
    2015/10/18 11:45:00 428.850502 
    2015/10/18 12:00:00 428.855752 
    2015/10/18 12:15:00 428.859002 
    2015/10/18 12:30:00 428.858752 
    2015/10/18 12:45:00 428.855002 
    2015/10/18 13:00:00 428.853002 
    2015/10/18 13:15:00 428.855002 
    2015/10/18 13:30:00 428.856252 
    2015/10/18 13:45:00 428.854502 
    2015/10/18 14:00:00 428.856002 
    2015/10/18 14:15:00 428.859252 
    2015/10/18 14:30:00 428.859002 
    2015/10/18 14:45:00 428.860502 
    2015/10/18 15:00:00 428.862002 
    2015/10/18 15:15:00 428.863502 
    2015/10/18 15:30:00 428.865252 
    2015/10/18 15:45:00 428.868502 
    2015/10/18 16:00:00 428.866502 
    2015/10/18 16:15:00 428.868252 
    2015/10/18 16:30:00 428.866002 
    2015/10/18 16:45:00 428.866002 
    2015/10/18 17:00:00 428.865752 
    2015/10/18 17:15:00 428.867252 
    2015/10/18 17:30:00 428.865252 
    2015/10/18 17:45:00 428.868752 
    2015/10/18 18:00:00 428.865002 
    2015/10/18 18:15:00 428.868502 
    2015/10/18 18:30:00 428.866502 
    2015/10/18 18:45:00 428.866502 
    2015/10/18 19:00:00 428.864502 
    2015/10/18 19:15:00 428.865752 
    2015/10/18 19:30:00 428.862502 
    2015/10/18 19:45:00 428.862252 
    2015/10/18 20:00:00 428.863752 
    2015/10/18 20:15:00 428.862252 
    2015/10/18 20:30:00 428.862002 
    2015/10/18 20:45:00 428.858252 
    2015/10/18 21:00:00 428.861752 
    2015/10/18 21:15:00 428.861502 
    2015/10/18 21:30:00 428.863002 
    2015/10/18 21:45:00 428.863002 
    2015/10/18 22:00:00 428.861002 
    2015/10/18 22:15:00 428.864252 
    2015/10/18 22:30:00 428.860252 
    2015/10/18 22:45:00 428.862002 
    2015/10/18 23:00:00 428.862002 
    2015/10/18 23:15:00 428.862002 
    2015/10/18 23:30:00 428.863752 
    2015/10/18 23:45:00 428.863502 
    2015/10/19 00:00:00 428.865002 
    2015/10/19 00:15:00 428.863252 
    2015/10/19 00:30:00 428.861502 
    2015/10/19 00:45:00 428.861502 
    2015/10/19 01:00:00 428.864752 
    2015/10/19 01:15:00 428.862752 
    2015/10/19 01:30:00 428.864502 
    2015/10/19 01:45:00 428.866252 
    2015/10/19 02:00:00 428.864252 
    2015/10/19 02:15:00 428.864252 
    2015/10/19 02:30:00 428.866002 
    2015/10/19 02:45:00 428.866002 
    2015/10/19 03:00:00 428.867752 
    2015/10/19 03:15:00 428.864002 
    2015/10/19 03:30:00 428.866002 
    2015/10/19 03:45:00 428.867502 
    2015/10/19 04:00:00 428.865502 
    2015/10/19 04:15:00 428.866002 
    2015/10/19 04:30:00 428.865252 
    2015/10/19 04:45:00 428.867252 
    2015/10/19 05:00:00 428.863752 
    2015/10/19 05:15:00 428.867002 
    2015/10/19 05:30:00 428.865252 
    2015/10/19 05:45:00 428.862002 
    2015/10/19 06:00:00 428.862002 
    2015/10/19 06:15:00 428.865502 
    2015/10/19 06:30:00 428.865502 
    2015/10/19 06:45:00 428.867002 
    2015/10/19 07:00:00 428.869002 
    2015/10/19 07:15:00 428.865502 
    2015/10/19 07:30:00 428.865752 
    2015/10/19 07:45:00 428.867002 
    2015/10/19 08:00:00 428.869002 
    2015/10/19 08:15:00 428.869002 
    2015/10/19 08:30:00 428.867002 
    2015/10/19 08:45:00 428.867252 
    2015/10/19 09:00:00 428.865752 
    2015/10/19 09:15:00 428.864002 
    2015/10/19 09:30:00 428.860752 
    2015/10/19 09:45:00 428.863752 
    2015/10/19 10:00:00 428.860502 
    2015/10/19 10:15:00 428.862252 
    2015/10/19 10:30:00 428.860752 
    2015/10/19 10:45:00 428.862502 
    2015/10/19 11:00:00 428.862502 
    2015/10/19 11:15:00 428.866002 
    2015/10/19 11:30:00 428.866502 
    2015/10/19 11:45:00 428.864502 
    2015/10/19 12:00:00 428.864502 
    2015/10/19 12:15:00 428.866002 
    2015/10/19 12:30:00 428.864502 
    2015/10/19 12:45:00 428.866252 
    2015/10/19 13:00:00 428.868252 
    2015/10/19 13:15:00 428.870252 
    2015/10/19 13:30:00 428.864502 
    2015/10/19 13:45:00 428.868252 
    2015/10/19 14:00:00 428.870252 
    2015/10/19 14:15:00 428.873502 
    2015/10/19 14:30:00 428.875002 
    2015/10/19 14:45:00 428.877002 
    2015/10/19 15:00:00 428.873502 
    2015/10/19 15:15:00 428.875002 
    2015/10/19 15:30:00 428.875502 
    2015/10/19 15:45:00 428.877502 
    2015/10/19 16:00:00 428.877002 
    2015/10/19 16:15:00 428.876752 
    2015/10/19 16:30:00 428.877252 
    2015/10/19 16:45:00 428.878752 
    2015/10/19 17:00:00 428.877002 
    2015/10/19 17:15:00 428.875002 
    2015/10/19 17:30:00 428.873752 
