----------------------------------------------
C1 TotHead [m]: 
    2015/10/17 17:00:00 429.052704 
    2015/10/17 17:15:00 429.052704 
    2015/10/17 17:30:00 429.052704 
    2015/10/17 17:45:00 429.050954 
    2015/10/17 18:00:00 429.050954 
    2015/10/17 18:15:00 429.050954 
    2015/10/17 18:30:00 429.049204 
    2015/10/17 18:45:00 429.049204 
    2015/10/17 19:00:00 429.049204 
    2015/10/17 19:15:00 429.047454 
    2015/10/17 19:30:00 429.049204 
    2015/10/17 19:45:00 429.047454 
    2015/10/17 20:00:00 429.043954 
    2015/10/17 20:15:00 429.045704 
    2015/10/17 20:30:00 429.045704 
    2015/10/17 20:45:00 429.045704 
    2015/10/17 21:00:00 429.042204 
    2015/10/17 21:15:00 429.042204 
    2015/10/17 21:30:00 429.043954 
    2015/10/17 21:45:00 429.043954 
    2015/10/17 22:00:00 429.045704 
    2015/10/17 22:15:00 429.047454 
    2015/10/17 22:30:00 429.042204 
    2015/10/17 22:45:00 429.045704 
    2015/10/17 23:00:00 429.045704 
    2015/10/17 23:15:00 429.042204 
    2015/10/17 23:30:00 429.043454 
    2015/10/17 23:45:00 429.043454 
    2015/10/18 00:00:00 429.045204 
    2015/10/18 00:15:00 429.045204 
    2015/10/18 00:30:00 429.043454 
    2015/10/18 00:45:00 429.043954 
    2015/10/18 01:00:00 429.043454 
    2015/10/18 01:15:00 429.043204 
    2015/10/18 01:30:00 429.043454 
    2015/10/18 01:45:00 429.045204 
    2015/10/18 02:00:00 429.043454 
    2015/10/18 02:15:00 429.045204 
    2015/10/18 02:30:00 429.045204 
    2015/10/18 02:45:00 429.043454 
    2015/10/18 03:00:00 429.043454 
    2015/10/18 03:15:00 429.043454 
    2015/10/18 03:30:00 429.043454 
    2015/10/18 03:45:00 429.045204 
    2015/10/18 04:00:00 429.045204 
    2015/10/18 04:15:00 429.043454 
    2015/10/18 04:30:00 429.045204 
    2015/10/18 04:45:00 429.044954 
    2015/10/18 05:00:00 429.041704 
    2015/10/18 05:15:00 429.044954 
    2015/10/18 05:30:00 429.046954 
    2015/10/18 05:45:00 429.044954 
    2015/10/18 06:00:00 429.043454 
    2015/10/18 06:15:00 429.043454 
    2015/10/18 06:30:00 429.041704 
    2015/10/18 06:45:00 429.043454 
    2015/10/18 07:00:00 429.043954 
    2015/10/18 07:15:00 429.040454 
    2015/10/18 07:30:00 429.041954 
    2015/10/18 07:45:00 429.040204 
    2015/10/18 08:00:00 429.042204 
    2015/10/18 08:15:00 429.040204 
    2015/10/18 08:30:00 429.036954 
    2015/10/18 08:45:00 429.038704 
    2015/10/18 09:00:00 429.035204 
    2015/10/18 09:15:00 429.031704 
    2015/10/18 09:30:00 429.031704 
    2015/10/18 09:45:00 429.031704 
    2015/10/18 10:00:00 429.031454 
    2015/10/18 10:15:00 429.031454 
    2015/10/18 10:30:00 429.034954 
    2015/10/18 10:45:00 429.038454 
    2015/10/18 11:00:00 429.040204 
    2015/10/18 11:15:00 429.041954 
    2015/10/18 11:30:00 429.041954 
    2015/10/18 11:45:00 429.043704 
    2015/10/18 12:00:00 429.050704 
    2015/10/18 12:15:00 429.054204 
    2015/10/18 12:30:00 429.054204 
    2015/10/18 12:45:00 429.050704 
    2015/10/18 13:00:00 429.047204 
    2015/10/18 13:15:00 429.047454 
    2015/10/18 13:30:00 429.048954 
    2015/10/18 13:45:00 429.049204 
    2015/10/18 14:00:00 429.048954 
    2015/10/18 14:15:00 429.054204 
    2015/10/18 14:30:00 429.052454 
    2015/10/18 14:45:00 429.054204 
    2015/10/18 15:00:00 429.054204 
    2015/10/18 15:15:00 429.057704 
    2015/10/18 15:30:00 429.059454 
    2015/10/18 15:45:00 429.062954 
    2015/10/18 16:00:00 429.061204 
    2015/10/18 16:15:00 429.061204 
    2015/10/18 16:30:00 429.059454 
    2015/10/18 16:45:00 429.059454 
    2015/10/18 17:00:00 429.059204 
    2015/10/18 17:15:00 429.060954 
    2015/10/18 17:30:00 429.060954 
    2015/10/18 17:45:00 429.062704 
    2015/10/18 18:00:00 429.060954 
    2015/10/18 18:15:00 429.060954 
    2015/10/18 18:30:00 429.060954 
