----------------------------------------------
E1 TotHead [m]: 
    2015/10/17 17:00:00 428.375898 
    2015/10/17 17:15:00 428.377648 
    2015/10/17 17:30:00 428.375898 
    2015/10/17 17:45:00 428.372398 
    2015/10/17 18:00:00 428.374148 
    2015/10/17 18:15:00 428.372398 
    2015/10/17 18:30:00 428.372398 
    2015/10/17 18:45:00 428.370068 
    2015/10/17 19:00:00 428.370068 
    2015/10/17 19:15:00 428.370068 
    2015/10/17 19:30:00 428.370068 
    2015/10/17 19:45:00 428.370648 
    2015/10/17 20:00:00 428.368898 
    2015/10/17 20:15:00 428.368898 
    2015/10/17 20:30:00 428.370648 
    2015/10/17 20:45:00 428.367148 
    2015/10/17 21:00:00 428.365398 
    2015/10/17 21:15:00 428.365398 
    2015/10/17 21:30:00 428.367738 
    2015/10/17 21:45:00 428.365398 
    2015/10/17 22:00:00 428.369488 
    2015/10/17 22:15:00 428.371238 
    2015/10/17 22:30:00 428.367738 
    2015/10/17 22:45:00 428.371238 
    2015/10/17 23:00:00 428.367738 
    2015/10/17 23:15:00 428.364238 
    2015/10/17 23:30:00 428.367738 
    2015/10/17 23:45:00 428.367738 
    2015/10/18 00:00:00 428.367738 
    2015/10/18 00:15:00 428.367738 
    2015/10/18 00:30:00 428.365988 
    2015/10/18 00:45:00 428.365988 
    2015/10/18 01:00:00 428.365988 
    2015/10/18 01:15:00 428.367488 
    2015/10/18 01:30:00 428.367738 
    2015/10/18 01:45:00 428.365988 
    2015/10/18 02:00:00 428.367738 
    2015/10/18 02:15:00 428.365988 
    2015/10/18 02:30:00 428.365988 
    2015/10/18 02:45:00 428.365988 
    2015/10/18 03:00:00 428.364238 
    2015/10/18 03:15:00 428.364238 
    2015/10/18 03:30:00 428.364238 
    2015/10/18 03:45:00 428.365988 
    2015/10/18 04:00:00 428.364238 
    2015/10/18 04:15:00 428.364238 
    2015/10/18 04:30:00 428.365988 
    2015/10/18 04:45:00 428.366898 
    2015/10/18 05:00:00 428.364238 
    2015/10/18 05:15:00 428.363398 
    2015/10/18 05:30:00 428.365398 
    2015/10/18 05:45:00 428.363988 
    2015/10/18 06:00:00 428.364238 
    2015/10/18 06:15:00 428.360738 
    2015/10/18 06:30:00 428.362488 
    2015/10/18 06:45:00 428.365988 
    2015/10/18 07:00:00 428.361898 
    2015/10/18 07:15:00 428.361898 
    2015/10/18 07:30:00 428.361648 
    2015/10/18 07:45:00 428.361648 
    2015/10/18 08:00:00 428.360148 
    2015/10/18 08:15:00 428.359898 
    2015/10/18 08:30:00 428.360148 
    2015/10/18 08:45:00 428.356068 
    2015/10/18 09:00:00 428.354318 
    2015/10/18 09:15:00 428.350818 
    2015/10/18 09:30:00 428.352568 
    2015/10/18 09:45:00 428.350818 
    2015/10/18 10:00:00 428.352568 
    2015/10/18 10:15:00 428.352568 
    2015/10/18 10:30:00 428.353738 
    2015/10/18 10:45:00 428.357238 
    2015/10/18 11:00:00 428.360738 
    2015/10/18 11:15:00 428.360738 
    2015/10/18 11:30:00 428.357818 
    2015/10/18 11:45:00 428.363648 
    2015/10/18 12:00:00 428.368318 
    2015/10/18 12:15:00 428.368318 
    2015/10/18 12:30:00 428.371238 
    2015/10/18 12:45:00 428.363648 
    2015/10/18 13:00:00 428.359568 
    2015/10/18 13:15:00 428.365648 
    2015/10/18 13:30:00 428.363068 
    2015/10/18 13:45:00 428.363318 
    2015/10/18 14:00:00 428.360398 
    2015/10/18 14:15:00 428.365648 
    2015/10/18 14:30:00 428.365648 
    2015/10/18 14:45:00 428.366818 
    2015/10/18 15:00:00 428.367988 
    2015/10/18 15:15:00 428.373238 
    2015/10/18 15:30:00 428.373238 
    2015/10/18 15:45:00 428.376738 
    2015/10/18 16:00:00 428.374398 
    2015/10/18 16:15:00 428.375568 
    2015/10/18 16:30:00 428.372068 
    2015/10/18 16:45:00 428.372068 
    2015/10/18 17:00:00 428.371488 
    2015/10/18 17:15:00 428.373238 
    2015/10/18 17:30:00 428.374988 
    2015/10/18 17:45:00 428.376148 
    2015/10/18 18:00:00 428.372068 
    2015/10/18 18:15:00 428.374398 
    2015/10/18 18:30:00 428.376148 
    2015/10/18 18:45:00 428.372068 
    2015/10/18 19:00:00 428.373238 
    2015/10/18 19:15:00 428.376488 
    2015/10/18 19:30:00 428.371488 
    2015/10/18 19:45:00 428.372648 
    2015/10/18 20:00:00 428.372398 
    2015/10/18 20:15:00 428.367398 
    2015/10/18 20:30:00 428.366818 
    2015/10/18 20:45:00 428.366818 
    2015/10/18 21:00:00 428.368568 
    2015/10/18 21:15:00 428.365988 
    2015/10/18 21:30:00 428.370068 
    2015/10/18 21:45:00 428.366238 
    2015/10/18 22:00:00 428.365648 
    2015/10/18 22:15:00 428.368898 
    2015/10/18 22:30:00 428.367148 
    2015/10/18 22:45:00 428.370068 
    2015/10/18 23:00:00 428.366568 
    2015/10/18 23:15:00 428.370318 
    2015/10/18 23:30:00 428.366238 
    2015/10/18 23:45:00 428.366238 
    2015/10/19 00:00:00 428.367738 
    2015/10/19 00:15:00 428.365068 
    2015/10/19 00:30:00 428.365648 
    2015/10/19 00:45:00 428.367068 
    2015/10/19 01:00:00 428.366818 
    2015/10/19 01:15:00 428.365068 
    2015/10/19 01:30:00 428.366818 
    2015/10/19 01:45:00 428.368568 
    2015/10/19 02:00:00 428.366818 
    2015/10/19 02:15:00 428.366238 
    2015/10/19 02:30:00 428.364488 
    2015/10/19 02:45:00 428.366238 
    2015/10/19 03:00:00 428.366238 
    2015/10/19 03:15:00 428.366238 
    2015/10/19 03:30:00 428.365898 
    2015/10/19 03:45:00 428.363898 
    2015/10/19 04:00:00 428.362148 
    2015/10/19 04:15:00 428.358318 
    2015/10/19 04:30:00 428.363318 
    2015/10/19 04:45:00 428.359818 
    2015/10/19 05:00:00 428.359488 
    2015/10/19 05:15:00 428.363318 
    2015/10/19 05:30:00 428.360988 
    2015/10/19 05:45:00 428.356568 
    2015/10/19 06:00:00 428.357738 
    2015/10/19 06:15:00 428.357738 
    2015/10/19 06:30:00 428.355988 
    2015/10/19 06:45:00 428.357488 
    2015/10/19 07:00:00 428.359238 
    2015/10/19 07:15:00 428.357738 
    2015/10/19 07:30:00 428.355988 
    2015/10/19 07:45:00 428.357488 
    2015/10/19 08:00:00 428.357488 
    2015/10/19 08:15:00 428.359238 
    2015/10/19 08:30:00 428.355488 
    2015/10/19 08:45:00 428.355738 
    2015/10/19 09:00:00 428.354238 
    2015/10/19 09:15:00 428.352488 
    2015/10/19 09:30:00 428.349238 
    2015/10/19 09:45:00 428.348738 
    2015/10/19 10:00:00 428.350738 
    2015/10/19 10:15:00 428.350738 
    2015/10/19 10:30:00 428.347488 
    2015/10/19 10:45:00 428.350988 
    2015/10/19 11:00:00 428.349238 
    2015/10/19 11:15:00 428.352738 
    2015/10/19 11:30:00 428.349488 
    2015/10/19 11:45:00 428.350988 
    2015/10/19 12:00:00 428.352738 
    2015/10/19 12:15:00 428.350738 
    2015/10/19 12:30:00 428.350988 
    2015/10/19 12:45:00 428.353318 
    2015/10/19 13:00:00 428.353318 
    2015/10/19 13:15:00 428.355318 
    2015/10/19 13:30:00 428.350988 
    2015/10/19 13:45:00 428.354738 
    2015/10/19 14:00:00 428.354988 
    2015/10/19 14:15:00 428.358238 
    2015/10/19 14:30:00 428.359738 
    2015/10/19 14:45:00 428.359988 
    2015/10/19 15:00:00 428.358238 
    2015/10/19 15:15:00 428.357988 
    2015/10/19 15:30:00 428.358238 
    2015/10/19 15:45:00 428.360238 
    2015/10/19 16:00:00 428.362068 
    2015/10/19 16:15:00 428.361818 
    2015/10/19 16:30:00 428.360568 
    2015/10/19 16:45:00 428.362068 
    2015/10/19 17:00:00 428.362068 
    2015/10/19 17:15:00 428.360068 
    2015/10/19 17:30:00 428.359148 
    2015/10/19 17:45:00 428.358898 
    2015/10/19 18:00:00 428.358898 
    2015/10/19 18:15:00 428.355398 
    2015/10/19 18:30:00 428.355398 
    2015/10/19 18:45:00 428.355738 
    2015/10/19 19:00:00 428.352488 
    2015/10/19 19:15:00 428.353988 
    2015/10/19 19:30:00 428.352488 
    2015/10/19 19:45:00 428.352238 
    2015/10/19 20:00:00 428.352818 
    2015/10/19 20:15:00 428.352818 
    2015/10/19 20:30:00 428.352568 
    2015/10/19 20:45:00 428.352818 
    2015/10/19 21:00:00 428.350818 
    2015/10/19 21:15:00 428.349898 
    2015/10/19 21:30:00 428.354898 
    2015/10/19 21:45:00 428.348398 
    2015/10/19 22:00:00 428.350238 
    2015/10/19 22:15:00 428.351988 
    2015/10/19 22:30:00 428.348488 
    2015/10/19 22:45:00 428.348738 
    2015/10/19 23:00:00 428.347318 
    2015/10/19 23:15:00 428.349068 
    2015/10/19 23:30:00 428.349068 
    2015/10/19 23:45:00 428.347318 
    2015/10/20 00:00:00 428.347318 
    2015/10/20 00:15:00 428.344068 
    2015/10/20 00:30:00 428.345818 
    2015/10/20 00:45:00 428.343818 
    2015/10/20 01:00:00 428.345568 
    2015/10/20 01:15:00 428.343818 
    2015/10/20 01:30:00 428.344398 
    2015/10/20 01:45:00 428.347898 
    2015/10/20 02:00:00 428.344648 
    2015/10/20 02:15:00 428.344648 
    2015/10/20 02:30:00 428.344988 
    2015/10/20 02:45:00 428.344988 
    2015/10/20 03:00:00 428.348488 
    2015/10/20 03:15:00 428.341738 
    2015/10/20 03:30:00 428.344988 
    2015/10/20 03:45:00 428.343818 
    2015/10/20 04:00:00 428.342068 
    2015/10/20 04:15:00 428.345568 
    2015/10/20 04:30:00 428.345568 
    2015/10/20 04:45:00 428.342648 
    2015/10/20 05:00:00 428.342648 
    2015/10/20 05:15:00 428.342898 
    2015/10/20 05:30:00 428.340898 
    2015/10/20 05:45:00 428.337648 
    2015/10/20 06:00:00 428.343818 
    2015/10/20 06:15:00 428.339738 
    2015/10/20 06:30:00 428.337988 
    2015/10/20 06:45:00 428.337068 
    2015/10/20 07:00:00 428.335068 
    2015/10/20 07:15:00 428.337068 
    2015/10/20 07:30:00 428.335068 
    2015/10/20 07:45:00 428.337398 
    2015/10/20 08:00:00 428.337398 
    2015/10/20 08:15:00 428.335648 
    2015/10/20 08:30:00 428.333898 
    2015/10/20 08:45:00 428.334148 
    2015/10/20 09:00:00 428.333898 
    2015/10/20 09:15:00 428.332148 
    2015/10/20 09:30:00 428.332148 
    2015/10/20 09:45:00 428.333898 
    2015/10/20 10:00:00 428.334488 
    2015/10/20 10:15:00 428.336238 
    2015/10/20 10:30:00 428.334488 
    2015/10/20 10:45:00 428.336238 
    2015/10/20 11:00:00 428.336238 
    2015/10/20 11:15:00 428.339738 
    2015/10/20 11:30:00 428.339988 
    2015/10/20 11:45:00 428.337648 
    2015/10/20 12:00:00 428.337988 
    2015/10/20 12:15:00 428.341488 
    2015/10/20 12:30:00 428.338238 
    2015/10/20 12:45:00 428.339988 
    2015/10/20 13:00:00 428.343488 
    2015/10/20 13:15:00 428.343488 
    2015/10/20 13:30:00 428.341148 
    2015/10/20 13:45:00 428.341148 
    2015/10/20 14:00:00 428.342898 
    2015/10/20 14:15:00 428.344648 
    2015/10/20 14:30:00 428.347818 
    2015/10/20 14:45:00 428.347568 
    2015/10/20 15:00:00 428.344318 
    2015/10/20 15:15:00 428.347818 
    2015/10/20 15:30:00 428.351318 
    2015/10/20 15:45:00 428.354568 
    2015/10/20 16:00:00 428.351068 
    2015/10/20 16:15:00 428.352818 
    2015/10/20 16:30:00 428.351068 
    2015/10/20 16:45:00 428.351398 
    2015/10/20 17:00:00 428.351648 
    2015/10/20 17:15:00 428.347568 
    2015/10/20 17:30:00 428.351068 
    2015/10/20 17:45:00 428.348148 
    2015/10/20 18:00:00 428.346398 
    2015/10/20 18:15:00 428.349648 
    2015/10/20 18:30:00 428.349898 
    2015/10/20 18:45:00 428.346148 
    2015/10/20 19:00:00 428.345818 
    2015/10/20 19:15:00 428.344398 
    2015/10/20 19:30:00 428.344648 
    2015/10/20 19:45:00 428.347318 
    2015/10/20 20:00:00 428.344648 
    2015/10/20 20:15:00 428.342898 
    2015/10/20 20:30:00 428.345818 
    2015/10/20 20:45:00 428.349068 
    2015/10/20 21:00:00 428.343818 
    2015/10/20 21:15:00 428.343238 
    2015/10/20 21:30:00 428.343238 
    2015/10/20 21:45:00 428.341738 
    2015/10/20 22:00:00 428.343238 
    2015/10/20 22:15:00 428.342898 
    2015/10/20 22:30:00 428.341738 
    2015/10/20 22:45:00 428.341488 
    2015/10/20 23:00:00 428.339988 
    2015/10/20 23:15:00 428.340898 
    2015/10/20 23:30:00 428.343238 
    2015/10/20 23:45:00 428.344398 
    2015/10/21 00:00:00 428.340898 
    2015/10/21 00:15:00 428.342648 
    2015/10/21 00:30:00 428.343818 
    2015/10/21 00:45:00 428.339988 
    2015/10/21 01:00:00 428.342318 
    2015/10/21 01:15:00 428.341488 
    2015/10/21 01:30:00 428.343238 
    2015/10/21 01:45:00 428.341488 
    2015/10/21 02:00:00 428.343238 
    2015/10/21 02:15:00 428.338238 
    2015/10/21 02:30:00 428.340898 
    2015/10/21 02:45:00 428.341148 
    2015/10/21 03:00:00 428.339988 
    2015/10/21 03:15:00 428.339148 
    2015/10/21 03:30:00 428.338568 
    2015/10/21 03:45:00 428.342648 
    2015/10/21 04:00:00 428.340568 
    2015/10/21 04:15:00 428.340568 
    2015/10/21 04:30:00 428.340568 
    2015/10/21 04:45:00 428.340568 
    2015/10/21 05:00:00 428.338818 
    2015/10/21 05:15:00 428.338818 
    2015/10/21 05:30:00 428.342068 
    2015/10/21 05:45:00 428.339738 
    2015/10/21 06:00:00 428.343238 
    2015/10/21 06:15:00 428.342648 
    2015/10/21 06:30:00 428.341738 
    2015/10/21 06:45:00 428.343238 
    2015/10/21 07:00:00 428.341488 
    2015/10/21 07:15:00 428.346148 
    2015/10/21 07:30:00 428.342648 
    2015/10/21 07:45:00 428.346148 
    2015/10/21 08:00:00 428.344318 
    2015/10/21 08:15:00 428.340318 
    2015/10/21 08:30:00 428.342648 
    2015/10/21 08:45:00 428.344398 
    2015/10/21 09:00:00 428.342648 
    2015/10/21 09:15:00 428.339398 
    2015/10/21 09:30:00 428.337648 
    2015/10/21 09:45:00 428.339398 
    2015/10/21 10:00:00 428.338818 
    2015/10/21 10:15:00 428.338568 
    2015/10/21 10:30:00 428.340318 
    2015/10/21 10:45:00 428.337068 
    2015/10/21 11:00:00 428.338818 
    2015/10/21 11:15:00 428.337068 
    2015/10/21 11:30:00 428.341148 
