, 0, 0.05, 0.1, 0.15, 0.2, 0.3
05/26/2017 16:00, 14.540920, 12.616500, 28.187330, 72.772330, 10.947330, 14.531420
05/26/2017 16:10, 14.630920, 12.676500, 28.217330, 72.688997, 10.947330, 14.471420
05/26/2017 16:20, 14.657587, 12.706500, 28.217330, 72.688997, 10.947330, 14.531420
05/26/2017 16:30, 14.710920, 12.766500, 28.247330, 72.855663, 10.947330, 14.501420
05/26/2017 16:40, 14.800920, 12.796500, 28.247330, 72.772330, 10.947330, 14.501420
05/26/2017 16:50, 14.800920, 12.849833, 28.277330, 72.605663, 10.947330, 14.531420
05/26/2017 17:00, 14.890920, 12.876500, 28.307330, 72.438997, 10.947330, 14.531420
05/26/2017 17:10, 14.917587, 12.936500, 28.307330, 72.438997, 10.947330, 14.501420
05/26/2017 17:20, 14.970920, 12.966500, 28.307330, 72.522330, 11.007330, 14.531420
05/26/2017 17:30, 14.970920, 13.026500, 28.307330, 72.855663, 10.977330, 14.531420
05/26/2017 17:40, 15.060920, 13.056500, 28.307330, 72.688997, 11.007330, 14.561420
05/26/2017 17:50, 15.060920, 13.056500, 28.397330, 72.688997, 11.007330, 14.591420
05/26/2017 18:00, 15.114253, 13.146500, 28.397330, 72.608997, 11.007330, 14.621420
05/26/2017 18:10, 15.140920, 13.146500, 28.397330, 72.855663, 11.007330, 14.591420
05/26/2017 18:20, 15.200920, 13.199833, 28.397330, 72.605663, 11.037330, 14.591420
05/26/2017 18:30, 15.230920, 13.226500, 28.397330, 72.442330, 11.037330, 14.591420
05/26/2017 18:40, 15.230920, 13.256500, 28.457330, 72.438997, 11.037330, 14.644753
05/26/2017 18:50, 15.260920, 13.316500, 28.427330, 72.522330, 11.037330, 14.621420
05/26/2017 19:00, 15.320920, 13.316500, 28.487330, 72.522330, 11.037330, 14.561420
05/26/2017 19:10, 15.320920, 13.376500, 28.487330, 72.522330, 11.037330, 14.591420
05/26/2017 19:20, 15.374253, 13.406500, 28.487330, 72.605663, 11.037330, 14.591420
05/26/2017 19:30, 15.400920, 13.406500, 28.520663, 72.688997, 11.063997, 14.621420
05/26/2017 19:40, 15.400920, 13.466500, 28.553997, 72.438997, 11.090663, 14.621420
05/26/2017 19:50, 15.400920, 13.496500, 28.587330, 72.605663, 11.090663, 14.621420
05/26/2017 20:00, 15.430920, 13.496500, 28.587330, 72.522330, 11.090663, 14.621420
05/26/2017 20:10, 15.460920, 13.549833, 28.587330, 72.772330, 11.090663, 14.621420
05/26/2017 20:20, 15.490920, 13.576500, 28.587330, 72.772330, 11.117330, 14.648087
05/26/2017 20:30, 15.490920, 13.576500, 28.587330, 72.522330, 11.117330, 14.561420
05/26/2017 20:40, 15.490920, 13.636500, 28.617330, 72.605663, 11.117330, 14.648087
05/26/2017 20:50, 15.490920, 13.666500, 28.647330, 72.688997, 11.117330, 14.621420
05/26/2017 21:00, 15.490920, 13.666500, 28.677330, 72.605663, 11.117330, 14.674753
05/26/2017 21:10, 15.490920, 13.666500, 28.677330, 72.525663, 11.177330, 14.674753
05/26/2017 21:20, 15.490920, 13.726500, 28.677330, 72.605663, 11.177330, 14.701420
05/26/2017 21:30, 15.490920, 13.756500, 28.677330, 72.605663, 11.177330, 14.701420
05/26/2017 21:40, 15.490920, 13.756500, 28.737330, 72.772330, 11.207330, 14.674753
05/26/2017 21:50, 15.490920, 13.756500, 28.767330, 72.772330, 11.207330, 14.674753
05/26/2017 22:00, 15.460920, 13.756500, 28.767330, 72.605663, 11.207330, 14.701420
05/26/2017 22:10, 15.460920, 13.783167, 28.767330, 72.605663, 11.207330, 14.701420
05/26/2017 22:20, 15.400920, 13.809833, 28.767330, 72.605663, 11.207330, 14.701420
05/26/2017 22:30, 15.400920, 13.836500, 28.767330, 72.605663, 11.237330, 14.731420
05/26/2017 22:40, 15.374253, 13.836500, 28.797330, 72.688997, 11.267330, 14.731420
05/26/2017 22:50, 15.374253, 13.836500, 28.827330, 72.522330, 11.267330, 14.761420
05/26/2017 23:00, 15.320920, 13.836500, 28.857330, 72.688997, 11.267330, 14.701420
05/26/2017 23:10, 15.320920, 13.836500, 28.857330, 72.688997, 11.297330, 14.701420
05/26/2017 23:20, 15.260920, 13.836500, 28.857330, 72.688997, 11.297330, 14.761420
05/26/2017 23:30, 15.230920, 13.836500, 28.857330, 72.522330, 11.297330, 14.761420
05/26/2017 23:40, 15.230920, 13.836500, 28.857330, 72.438997, 11.297330, 14.761420
05/26/2017 23:50, 15.170920, 13.836500, 28.857330, 72.688997, 11.327330, 14.761420
05/27/2017 00:00, 15.140920, 13.836500, 28.857330, 72.688997, 11.357330, 14.761420
05/27/2017 00:10, 15.114253, 13.836500, 28.917330, 72.522330, 11.357330, 14.731420
05/27/2017 00:20, 15.060920, 13.836500, 28.947330, 72.522330, 11.387330, 14.791420
05/27/2017 00:30, 15.060920, 13.836500, 28.947330, 72.522330, 11.387330, 14.791420
05/27/2017 00:40, 15.030920, 13.836500, 28.947330, 72.438997, 11.387330, 14.821420
05/27/2017 00:50, 14.970920, 13.836500, 28.947330, 72.605663, 11.387330, 14.761420
05/27/2017 01:00, 14.944253, 13.836500, 28.947330, 72.605663, 11.387330, 14.791420
05/27/2017 01:10, 14.890920, 13.836500, 28.947330, 72.605663, 11.447330, 14.851420
05/27/2017 01:20, 14.890920, 13.836500, 28.947330, 72.525663, 11.447330, 14.881420
05/27/2017 01:30, 14.800920, 13.836500, 28.947330, 72.438997, 11.447330, 14.881420
05/27/2017 01:40, 14.800920, 13.836500, 28.947330, 72.605663, 11.477330, 14.851420
05/27/2017 01:50, 14.710920, 13.836500, 28.947330, 72.605663, 11.477330, 14.851420
05/27/2017 02:00, 14.710920, 13.809833, 28.947330, 72.605663, 11.477330, 14.908087
05/27/2017 02:10, 14.630920, 13.783167, 28.767330, 72.605663, 11.477330, 14.881420
05/27/2017 02:20, 14.630920, 13.783167, 28.460663, 72.522330, 11.507330, 14.881420
05/27/2017 02:30, 14.600920, 13.756500, 28.520663, 72.688997, 11.537330, 14.881420
05/27/2017 02:40, 14.540920, 13.756500, 28.430663, 72.688997, 11.537330, 14.881420
05/27/2017 02:50, 14.510920, 13.756500, 28.490663, 72.688997, 11.537330, 14.934753
05/27/2017 03:00, 14.450920, 13.756500, 28.367330, 72.688997, 11.537330, 14.908087
05/27/2017 03:10, 14.420920, 13.726500, 28.457330, 72.605663, 11.567330, 14.934753
05/27/2017 03:20, 14.360920, 13.666500, 28.217330, 72.522330, 11.567330, 14.908087
05/27/2017 03:30, 14.334253, 13.666500, 28.647330, 72.605663, 11.567330, 14.961420
05/27/2017 03:40, 14.280920, 13.666500, 28.490663, 72.605663, 11.567330, 14.934753
05/27/2017 03:50, 14.250920, 13.666500, 28.460663, 72.522330, 11.567330, 14.934753
05/27/2017 04:00, 14.160920, 13.666500, 28.277330, 72.688997, 11.620663, 14.934753
05/27/2017 04:10, 14.160920, 13.636500, 28.307330, 72.688997, 11.620663, 14.961420
05/27/2017 04:20, 14.100920, 13.576500, 28.277330, 72.688997, 11.620663, 14.991420
05/27/2017 04:30, 14.074253, 13.576500, 28.277330, 72.688997, 11.620663, 14.961420
05/27/2017 04:40, 14.020920, 13.576500, 28.157330, 72.688997, 11.620663, 14.961420
05/27/2017 04:50, 13.990920, 13.549833, 28.307330, 72.688997, 11.647330, 14.961420
05/27/2017 05:00, 13.930920, 13.523167, 28.337330, 72.688997, 11.647330, 14.991420
05/27/2017 05:10, 13.900920, 13.496500, 28.307330, 72.688997, 11.647330, 14.991420
05/27/2017 05:20, 13.840920, 13.496500, 28.277330, 72.688997, 11.647330, 14.994753
05/27/2017 05:30, 13.840920, 13.496500, 28.307330, 72.605663, 11.647330, 15.021420
05/27/2017 05:40, 13.760920, 13.436500, 28.247330, 72.688997, 11.647330, 15.104753
05/27/2017 05:50, 13.760920, 13.406500, 28.277330, 72.938997, 11.677330, 14.961420
05/27/2017 06:00, 13.670920, 13.406500, 28.587330, 72.605663, 11.707330, 14.964753
05/27/2017 06:10, 13.640920, 13.376500, 28.307330, 72.605663, 11.707330, 14.934753
05/27/2017 06:20, 13.610920, 13.376500, 28.463997, 72.522330, 11.707330, 14.934753
05/27/2017 06:30, 13.580920, 13.316500, 28.367330, 72.605663, 11.707330, 14.991420
05/27/2017 06:40, 13.554253, 13.316500, 28.430663, 72.772330, 11.707330, 15.021420
05/27/2017 06:50, 13.500920, 13.286500, 28.370663, 72.605663, 11.737330, 14.908087
05/27/2017 07:00, 13.470920, 13.256500, 28.397330, 72.688997, 11.737330, 14.991420
05/27/2017 07:10, 13.410920, 13.226500, 28.430663, 72.688997, 11.737330, 14.934753
05/27/2017 07:20, 13.410920, 13.226500, 28.310663, 72.522330, 11.737330, 14.908087
05/27/2017 07:30, 13.410920, 13.226500, 28.370663, 72.605663, 11.737330, 14.961420
05/27/2017 07:40, 13.320920, 13.173167, 28.247330, 72.772330, 11.737330, 14.961420
05/27/2017 07:50, 13.320920, 13.146500, 28.217330, 72.522330, 11.737330, 14.961420
05/27/2017 08:00, 13.320920, 13.146500, 28.367330, 72.522330, 11.737330, 15.051420
