----------------------------------------------
PZ-Bank TotHead [m]: 
    2016/05/31 11:30:00 428.987670 
    2016/05/31 11:45:00 428.981840 
    2016/05/31 12:00:00 428.980090 
    2016/05/31 12:15:00 428.983340 
    2016/05/31 12:30:00 428.985920 
    2016/05/31 12:45:00 428.989170 
    2016/05/31 13:00:00 428.990920 
    2016/05/31 13:15:00 428.990920 
    2016/05/31 13:30:00 428.994420 
    2016/05/31 13:45:00 428.992670 
    2016/05/31 14:00:00 428.997920 
    2016/05/31 14:15:00 429.001420 
    2016/05/31 14:30:00 429.002000 
    2016/05/31 14:45:00 429.003750 
    2016/05/31 15:00:00 429.003750 
    2016/05/31 15:15:00 429.005500 
    2016/05/31 15:30:00 429.010750 
    2016/05/31 15:45:00 429.007250 
    2016/05/31 16:00:00 429.004920 
    2016/05/31 16:15:00 429.007250 
    2016/05/31 16:30:00 429.007250 
    2016/05/31 16:45:00 429.007250 
    2016/05/31 17:00:00 429.009000 
    2016/05/31 17:15:00 429.006670 
    2016/05/31 17:30:00 429.004670 
    2016/05/31 17:45:00 429.003170 
    2016/05/31 18:00:00 428.994670 
    2016/05/31 18:15:00 428.987090 
    2016/05/31 18:30:00 428.998170 
    2016/05/31 18:45:00 429.001420 
    2016/05/31 19:00:00 429.003420 
    2016/05/31 19:15:00 429.003420 
    2016/05/31 19:30:00 429.004670 
    2016/05/31 19:45:00 428.999920 
    2016/05/31 20:00:00 429.001170 
    2016/05/31 20:15:00 429.001170 
    2016/05/31 20:30:00 428.998170 
    2016/05/31 20:45:00 429.001670 
    2016/05/31 21:00:00 429.001420 
    2016/05/31 21:15:00 429.001670 
    2016/05/31 21:30:00 429.003170 
    2016/05/31 21:45:00 429.004920 
    2016/05/31 22:00:00 429.003170 
    2016/05/31 22:15:00 429.003420 
    2016/05/31 22:30:00 429.006670 
    2016/05/31 22:45:00 429.004340 
    2016/05/31 23:00:00 429.004340 
    2016/05/31 23:15:00 429.004590 
    2016/05/31 23:30:00 429.006090 
    2016/05/31 23:45:00 429.006090 
    2016/06/01 00:00:00 429.006090 
    2016/06/01 00:15:00 429.004590 
    2016/06/01 00:30:00 429.006090 
    2016/06/01 00:45:00 429.003750 
    2016/06/01 01:00:00 429.002250 
    2016/06/01 01:15:00 429.005500 
    2016/06/01 01:30:00 429.003750 
    2016/06/01 01:45:00 429.002250 
    2016/06/01 02:00:00 429.003750 
    2016/06/01 02:15:00 429.003750 
    2016/06/01 02:30:00 429.001420 
    2016/06/01 02:45:00 429.003170 
    2016/06/01 03:00:00 429.003420 
    2016/06/01 03:15:00 428.999920 
    2016/06/01 03:30:00 429.003420 
    2016/06/01 03:45:00 429.001670 
    2016/06/01 04:00:00 429.003090 
    2016/06/01 04:15:00 429.003420 
    2016/06/01 04:30:00 429.001340 
    2016/06/01 04:45:00 429.002840 
    2016/06/01 05:00:00 429.002840 
    2016/06/01 05:15:00 429.001090 
    2016/06/01 05:30:00 429.001090 
    2016/06/01 05:45:00 429.001340 
    2016/06/01 06:00:00 428.997840 
    2016/06/01 06:15:00 428.999340 
    2016/06/01 06:30:00 429.001090 
    2016/06/01 06:45:00 428.999590 
    2016/06/01 07:00:00 428.997590 
    2016/06/01 07:15:00 428.999340 
    2016/06/01 07:30:00 428.992340 
    2016/06/01 07:45:00 428.995840 
    2016/06/01 08:00:00 428.995840 
    2016/06/01 08:15:00 428.992590 
    2016/06/01 08:30:00 428.996090 
    2016/06/01 08:45:00 428.994090 
    2016/06/01 09:00:00 428.994090 
    2016/06/01 09:15:00 428.994090 
    2016/06/01 09:30:00 428.994090 
    2016/06/01 09:45:00 428.996090 
    2016/06/01 10:00:00 428.994090 
    2016/06/01 10:15:00 428.994090 
    2016/06/01 10:30:00 428.994090 
    2016/06/01 10:45:00 428.990840 
    2016/06/01 11:00:00 428.994090 
    2016/06/01 11:15:00 428.992250 
    2016/06/01 11:30:00 428.992590 
    2016/06/01 11:45:00 428.988750 
    2016/06/01 12:00:00 428.988750 
    2016/06/01 12:15:00 428.988750 
    2016/06/01 12:30:00 428.988750 
    2016/06/01 12:45:00 428.988750 
    2016/06/01 13:00:00 428.992000 
    2016/06/01 13:15:00 428.988750 
    2016/06/01 13:30:00 428.989920 
    2016/06/01 13:45:00 428.988750 
    2016/06/01 14:00:00 428.991670 
    2016/06/01 14:15:00 428.997000 
    2016/06/01 14:30:00 428.998750 
    2016/06/01 14:45:00 429.004250 
    2016/06/01 15:00:00 429.008340 
    2016/06/01 15:15:00 429.014170 
    2016/06/01 15:30:00 429.010090 
    2016/06/01 15:45:00 429.011840 
    2016/06/01 16:00:00 429.017670 
    2016/06/01 16:15:00 429.019420 
    2016/06/01 16:30:00 429.024670 
    2016/06/01 16:45:00 429.026420 
    2016/06/01 17:00:00 429.030500 
    2016/06/01 17:15:00 429.033750 
    2016/06/01 17:30:00 429.036340 
    2016/06/01 17:45:00 429.037840 
    2016/06/01 18:00:00 429.038090 
    2016/06/01 18:15:00 429.039840 
    2016/06/01 18:30:00 429.039840 
    2016/06/01 18:45:00 429.043920 
    2016/06/01 19:00:00 429.042170 
    2016/06/01 19:15:00 429.045670 
    2016/06/01 19:30:00 429.045670 
    2016/06/01 19:45:00 429.046250 
    2016/06/01 20:00:00 429.048000 
    2016/06/01 20:15:00 429.047750 
    2016/06/01 20:30:00 429.047750 
    2016/06/01 20:45:00 429.046250 
    2016/06/01 21:00:00 429.046000 
    2016/06/01 21:15:00 429.046340 
    2016/06/01 21:30:00 429.044590 
    2016/06/01 21:45:00 429.044840 
    2016/06/01 22:00:00 429.046340 
    2016/06/01 22:15:00 429.044840 
    2016/06/01 22:30:00 429.046340 
    2016/06/01 22:45:00 429.044840 
    2016/06/01 23:00:00 429.045420 
    2016/06/01 23:15:00 429.043090 
    2016/06/01 23:30:00 429.045170 
    2016/06/01 23:45:00 429.043670 
    2016/06/02 00:00:00 429.043670 
    2016/06/02 00:15:00 429.045420 
    2016/06/02 00:30:00 429.043670 
    2016/06/02 00:45:00 429.043420 
    2016/06/02 01:00:00 429.043670 
