----------------------------------------------
PZ-CC TotHead [m]: 
    2016/05/31 10:00:00 428.550250 
    2016/05/31 10:15:00 428.550250 
    2016/05/31 10:30:00 428.548500 
    2016/05/31 10:45:00 428.543750 
    2016/05/31 11:00:00 428.547250 
    2016/05/31 11:15:00 428.545750 
    2016/05/31 11:30:00 428.545750 
    2016/05/31 11:45:00 428.543750 
    2016/05/31 12:00:00 428.547500 
    2016/05/31 12:15:00 428.549000 
    2016/05/31 12:30:00 428.549250 
    2016/05/31 12:45:00 428.552500 
    2016/05/31 13:00:00 428.556250 
    2016/05/31 13:15:00 428.556000 
    2016/05/31 13:30:00 428.554250 
    2016/05/31 13:45:00 428.557750 
    2016/05/31 14:00:00 428.556000 
    2016/05/31 14:15:00 428.561500 
    2016/05/31 14:30:00 428.559750 
    2016/05/31 14:45:00 428.561750 
    2016/05/31 15:00:00 428.561750 
    2016/05/31 15:15:00 428.561500 
    2016/05/31 15:30:00 428.563250 
    2016/05/31 15:45:00 428.561500 
    2016/05/31 16:00:00 428.563250 
    2016/05/31 16:15:00 428.561500 
    2016/05/31 16:30:00 428.561500 
    2016/05/31 16:45:00 428.561500 
    2016/05/31 17:00:00 428.561250 
    2016/05/31 17:15:00 428.563000 
    2016/05/31 17:30:00 428.562750 
    2016/05/31 17:45:00 428.561250 
    2016/05/31 18:00:00 428.559750 
    2016/05/31 18:15:00 428.559750 
    2016/05/31 18:30:00 428.559750 
    2016/05/31 18:45:00 428.561250 
    2016/05/31 19:00:00 428.559750 
    2016/05/31 19:15:00 428.559750 
    2016/05/31 19:30:00 428.561750 
    2016/05/31 19:45:00 428.558750 
    2016/05/31 20:00:00 428.562000 
    2016/05/31 20:15:00 428.562000 
    2016/05/31 20:30:00 428.558750 
    2016/05/31 20:45:00 428.562250 
    2016/05/31 21:00:00 428.563750 
    2016/05/31 21:15:00 428.562250 
    2016/05/31 21:30:00 428.561750 
    2016/05/31 21:45:00 428.563500 
    2016/05/31 22:00:00 428.561750 
    2016/05/31 22:15:00 428.560250 
    2016/05/31 22:30:00 428.565250 
    2016/05/31 22:45:00 428.563500 
    2016/05/31 23:00:00 428.565250 
    2016/05/31 23:15:00 428.563750 
    2016/05/31 23:30:00 428.567000 
    2016/05/31 23:45:00 428.565000 
    2016/06/01 00:00:00 428.564000 
    2016/06/01 00:15:00 428.564250 
    2016/06/01 00:30:00 428.564000 
    2016/06/01 00:45:00 428.563750 
    2016/06/01 01:00:00 428.560250 
    2016/06/01 01:15:00 428.563250 
    2016/06/01 01:30:00 428.559750 
    2016/06/01 01:45:00 428.558250 
    2016/06/01 02:00:00 428.561500 
    2016/06/01 02:15:00 428.561500 
    2016/06/01 02:30:00 428.559500 
    2016/06/01 02:45:00 428.561250 
    2016/06/01 03:00:00 428.561250 
    2016/06/01 03:15:00 428.560500 
    2016/06/01 03:30:00 428.562000 
    2016/06/01 03:45:00 428.558500 
    2016/06/01 04:00:00 428.562250 
    2016/06/01 04:15:00 428.562000 
    2016/06/01 04:30:00 428.562250 
    2016/06/01 04:45:00 428.558250 
    2016/06/01 05:00:00 428.558250 
    2016/06/01 05:15:00 428.560250 
    2016/06/01 05:30:00 428.562000 
    2016/06/01 05:45:00 428.560500 
    2016/06/01 06:00:00 428.557750 
    2016/06/01 06:15:00 428.559250 
    2016/06/01 06:30:00 428.559250 
    2016/06/01 06:45:00 428.557750 
    2016/06/01 07:00:00 428.555750 
    2016/06/01 07:15:00 428.558250 
    2016/06/01 07:30:00 428.554750 
    2016/06/01 07:45:00 428.556500 
    2016/06/01 08:00:00 428.554750 
    2016/06/01 08:15:00 428.553250 
    2016/06/01 08:30:00 428.556750 
    2016/06/01 08:45:00 428.553000 
    2016/06/01 09:00:00 428.554750 
    2016/06/01 09:15:00 428.553750 
    2016/06/01 09:30:00 428.553750 
    2016/06/01 09:45:00 428.555000 
    2016/06/01 10:00:00 428.553000 
    2016/06/01 10:15:00 428.552750 
    2016/06/01 10:30:00 428.552750 
    2016/06/01 10:45:00 428.549250 
    2016/06/01 11:00:00 428.550750 
    2016/06/01 11:15:00 428.549250 
    2016/06/01 11:30:00 428.551000 
    2016/06/01 11:45:00 428.551250 
    2016/06/01 12:00:00 428.551250 
    2016/06/01 12:15:00 428.548250 
    2016/06/01 12:30:00 428.550000 
    2016/06/01 12:45:00 428.551000 
    2016/06/01 13:00:00 428.554250 
    2016/06/01 13:15:00 428.549000 
    2016/06/01 13:30:00 428.554500 
    2016/06/01 13:45:00 428.554750 
    2016/06/01 14:00:00 428.560000 
    2016/06/01 14:15:00 428.562250 
    2016/06/01 14:30:00 428.564000 
    2016/06/01 14:45:00 428.566000 
    2016/06/01 15:00:00 428.569750 
    2016/06/01 15:15:00 428.571000 
    2016/06/01 15:30:00 428.574500 
