----------------------------------------------
PZ-E TotHead [m]: 
    2016/05/31 09:00:00 428.529000 
    2016/05/31 09:10:00 428.530500 
    2016/05/31 09:20:00 428.528667 
    2016/05/31 09:30:00 428.529250 
    2016/05/31 09:40:00 428.525917 
    2016/05/31 09:50:00 428.528750 
    2016/05/31 10:00:00 428.530500 
    2016/05/31 10:10:00 428.526167 
    2016/05/31 10:20:00 428.528583 
    2016/05/31 10:30:00 428.527000 
    2016/05/31 10:40:00 428.527417 
    2016/05/31 10:50:00 428.524917 
    2016/05/31 11:00:00 428.526500 
    2016/05/31 11:10:00 428.527083 
    2016/05/31 11:20:00 428.525833 
    2016/05/31 11:30:00 428.527000 
    2016/05/31 11:40:00 428.524417 
    2016/05/31 11:50:00 428.527333 
    2016/05/31 12:00:00 428.526750 
    2016/05/31 12:10:00 428.529500 
    2016/05/31 12:20:00 428.529500 
    2016/05/31 12:30:00 428.530500 
    2016/05/31 12:40:00 428.532667 
    2016/05/31 12:50:00 428.534333 
    2016/05/31 13:00:00 428.533750 
    2016/05/31 13:10:00 428.535500 
    2016/05/31 13:20:00 428.533500 
    2016/05/31 13:30:00 428.533500 
    2016/05/31 13:40:00 428.532917 
    2016/05/31 13:50:00 428.534917 
    2016/05/31 14:00:00 428.535500 
    2016/05/31 14:10:00 428.537833 
    2016/05/31 14:20:00 428.538417 
    2016/05/31 14:30:00 428.539250 
    2016/05/31 14:40:00 428.539250 
    2016/05/31 14:50:00 428.537250 
    2016/05/31 15:00:00 428.539250 
    2016/05/31 15:10:00 428.538417 
    2016/05/31 15:20:00 428.539583 
    2016/05/31 15:30:00 428.540500 
    2016/05/31 15:40:00 428.539000 
    2016/05/31 15:50:00 428.539583 
    2016/05/31 16:00:00 428.540500 
    2016/05/31 16:10:00 428.543083 
    2016/05/31 16:20:00 428.539000 
    2016/05/31 16:30:00 428.538750 
    2016/05/31 16:40:00 428.539000 
    2016/05/31 16:50:00 428.539583 
    2016/05/31 17:00:00 428.537000 
    2016/05/31 17:10:00 428.539917 
    2016/05/31 17:20:00 428.538417 
    2016/05/31 17:30:00 428.540250 
    2016/05/31 17:40:00 428.539250 
    2016/05/31 17:50:00 428.535917 
    2016/05/31 18:00:00 428.537500 
    2016/05/31 18:10:00 428.537500 
    2016/05/31 18:20:00 428.537833 
    2016/05/31 18:30:00 428.539000 
    2016/05/31 18:40:00 428.538250 
    2016/05/31 18:50:00 428.538833 
    2016/05/31 19:00:00 428.537250 
    2016/05/31 19:10:00 428.537250 
    2016/05/31 19:20:00 428.537667 
    2016/05/31 19:30:00 428.538500 
    2016/05/31 19:40:00 428.534750 
    2016/05/31 19:50:00 428.537417 
    2016/05/31 20:00:00 428.540250 
    2016/05/31 20:10:00 428.536750 
    2016/05/31 20:20:00 428.538083 
    2016/05/31 20:30:00 428.535250 
    2016/05/31 20:40:00 428.539583 
    2016/05/31 20:50:00 428.539500 
    2016/05/31 21:00:00 428.540500 
    2016/05/31 21:10:00 428.537500 
    2016/05/31 21:20:00 428.539833 
    2016/05/31 21:30:00 428.542000 
    2016/05/31 21:40:00 428.539667 
    2016/05/31 21:50:00 428.539417 
    2016/05/31 22:00:00 428.538500 
    2016/05/31 22:10:00 428.542167 
    2016/05/31 22:20:00 428.541583 
    2016/05/31 22:30:00 428.542000 
    2016/05/31 22:40:00 428.540250 
    2016/05/31 22:50:00 428.540583 
    2016/05/31 23:00:00 428.541750 
    2016/05/31 23:10:00 428.539000 
    2016/05/31 23:20:00 428.539583 
    2016/05/31 23:30:00 428.540000 
    2016/05/31 23:40:00 428.542667 
    2016/05/31 23:50:00 428.538000 
    2016/06/01 00:00:00 428.539750 
    2016/06/01 00:10:00 428.541667 
    2016/06/01 00:20:00 428.542250 
    2016/06/01 00:30:00 428.543250 
    2016/06/01 00:40:00 428.542083 
    2016/06/01 00:50:00 428.539333 
    2016/06/01 01:00:00 428.539500 
    2016/06/01 01:10:00 428.539333 
    2016/06/01 01:20:00 428.538667 
    2016/06/01 01:30:00 428.537250 
    2016/06/01 01:40:00 428.535417 
    2016/06/01 01:50:00 428.534500 
    2016/06/01 02:00:00 428.537250 
    2016/06/01 02:10:00 428.540167 
    2016/06/01 02:20:00 428.538750 
    2016/06/01 02:30:00 428.538750 
    2016/06/01 02:40:00 428.538417 
    2016/06/01 02:50:00 428.538250 
    2016/06/01 03:00:00 428.540750 
    2016/06/01 03:10:00 428.537583 
    2016/06/01 03:20:00 428.536417 
    2016/06/01 03:30:00 428.538750 
    2016/06/01 03:40:00 428.535250 
    2016/06/01 03:50:00 428.536250 
    2016/06/01 04:00:00 428.538750 
    2016/06/01 04:10:00 428.539167 
    2016/06/01 04:20:00 428.537083 
    2016/06/01 04:30:00 428.537000 
    2016/06/01 04:40:00 428.538000 
    2016/06/01 04:50:00 428.538500 
    2016/06/01 05:00:00 428.538750 
    2016/06/01 05:10:00 428.535583 
    2016/06/01 05:20:00 428.535333 
    2016/06/01 05:30:00 428.536500 
    2016/06/01 05:40:00 428.537750 
    2016/06/01 05:50:00 428.536417 
    2016/06/01 06:00:00 428.533500 
    2016/06/01 06:10:00 428.538000 
    2016/06/01 06:20:00 428.537000 
    2016/06/01 06:30:00 428.536750 
    2016/06/01 06:40:00 428.535750 
    2016/06/01 06:50:00 428.534583 
    2016/06/01 07:00:00 428.533250 
    2016/06/01 07:10:00 428.535583 
    2016/06/01 07:20:00 428.533583 
    2016/06/01 07:30:00 428.531500 
    2016/06/01 07:40:00 428.530667 
    2016/06/01 07:50:00 428.532417 
    2016/06/01 08:00:00 428.533250 
    2016/06/01 08:10:00 428.530250 
    2016/06/01 08:20:00 428.531417 
    2016/06/01 08:30:00 428.531750 
    2016/06/01 08:40:00 428.532167 
    2016/06/01 08:50:00 428.531500 
    2016/06/01 09:00:00 428.531500 
    2016/06/01 09:10:00 428.531500 
    2016/06/01 09:20:00 428.529500 
    2016/06/01 09:30:00 428.529500 
    2016/06/01 09:40:00 428.530833 
    2016/06/01 09:50:00 428.529083 
    2016/06/01 10:00:00 428.529750 
    2016/06/01 10:10:00 428.532083 
    2016/06/01 10:20:00 428.529250 
    2016/06/01 10:30:00 428.529500 
    2016/06/01 10:40:00 428.526500 
    2016/06/01 10:50:00 428.526833 
    2016/06/01 11:00:00 428.531000 
    2016/06/01 11:10:00 428.527583 
    2016/06/01 11:20:00 428.527083 
    2016/06/01 11:30:00 428.527500 
    2016/06/01 11:40:00 428.529667 
    2016/06/01 11:50:00 428.526583 
    2016/06/01 12:00:00 428.529500 
    2016/06/01 12:10:00 428.527750 
    2016/06/01 12:20:00 428.526583 
    2016/06/01 12:30:00 428.527750 
    2016/06/01 12:40:00 428.528917 
    2016/06/01 12:50:00 428.530000 
    2016/06/01 13:00:00 428.532750 
    2016/06/01 13:10:00 428.528250 
    2016/06/01 13:20:00 428.528917 
    2016/06/01 13:30:00 428.533000 
    2016/06/01 13:40:00 428.530667 
    2016/06/01 13:50:00 428.535000 
    2016/06/01 14:00:00 428.538500 
    2016/06/01 14:10:00 428.543917 
    2016/06/01 14:20:00 428.544083 
    2016/06/01 14:30:00 428.543500 
    2016/06/01 14:40:00 428.544833 
    2016/06/01 14:50:00 428.545250 
    2016/06/01 15:00:00 428.551000 
    2016/06/01 15:10:00 428.550417 
    2016/06/01 15:20:00 428.550417 
    2016/06/01 15:30:00 428.551000 
    2016/06/01 15:40:00 428.551833 
    2016/06/01 15:50:00 428.551000 
    2016/06/01 16:00:00 428.549500 
    2016/06/01 16:10:00 428.553333 
    2016/06/01 16:20:00 428.555333 
    2016/06/01 16:30:00 428.560000 
    2016/06/01 16:40:00 428.560833 
    2016/06/01 16:50:00 428.569500 
    2016/06/01 17:00:00 428.571250 
    2016/06/01 17:10:00 428.573083 
    2016/06/01 17:20:00 428.573917 
    2016/06/01 17:30:00 428.573500 
    2016/06/01 17:40:00 428.578000 
    2016/06/01 17:50:00 428.577417 
    2016/06/01 18:00:00 428.577500 
    2016/06/01 18:10:00 428.577250 
    2016/06/01 18:20:00 428.581000 
    2016/06/01 18:30:00 428.581000 
    2016/06/01 18:40:00 428.581250 
    2016/06/01 18:50:00 428.584167 
    2016/06/01 19:00:00 428.584750 
    2016/06/01 19:10:00 428.587583 
    2016/06/01 19:20:00 428.586417 
    2016/06/01 19:30:00 428.589000 
    2016/06/01 19:40:00 428.589333 
    2016/06/01 19:50:00 428.588417 
    2016/06/01 20:00:00 428.591000 
    2016/06/01 20:10:00 428.592583 
    2016/06/01 20:20:00 428.593667 
    2016/06/01 20:30:00 428.592500 
    2016/06/01 20:40:00 428.591750 
    2016/06/01 20:50:00 428.592333 
    2016/06/01 21:00:00 428.592750 
    2016/06/01 21:10:00 428.592250 
    2016/06/01 21:20:00 428.592417 
    2016/06/01 21:30:00 428.591250 
    2016/06/01 21:40:00 428.594000 
    2016/06/01 21:50:00 428.594917 
    2016/06/01 22:00:00 428.594750 
    2016/06/01 22:10:00 428.595750 
    2016/06/01 22:20:00 428.596333 
    2016/06/01 22:30:00 428.593250 
    2016/06/01 22:40:00 428.594000 
    2016/06/01 22:50:00 428.592917 
    2016/06/01 23:00:00 428.591750 
    2016/06/01 23:10:00 428.592000 
    2016/06/01 23:20:00 428.591917 
