----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/01 15:00:00 428.468500 
    2016/06/01 15:15:00 428.470917 
    2016/06/01 15:30:00 428.470917 
    2016/06/01 15:45:00 428.473250 
    2016/06/01 16:00:00 428.473833 
    2016/06/01 16:15:00 428.471500 
    2016/06/01 16:30:00 428.475000 
    2016/06/01 16:45:00 428.482083 
    2016/06/01 17:00:00 428.491333 
    2016/06/01 17:15:00 428.494250 
    2016/06/01 17:30:00 428.496833 
    2016/06/01 17:45:00 428.500000 
    2016/06/01 18:00:00 428.502000 
    2016/06/01 18:15:00 428.503583 
    2016/06/01 18:30:00 428.507167 
    2016/06/01 18:45:00 428.505000 
    2016/06/01 19:00:00 428.509750 
    2016/06/01 19:15:00 428.512917 
    2016/06/01 19:30:00 428.512500 
    2016/06/01 19:45:00 428.518250 
    2016/06/01 20:00:00 428.520000 
    2016/06/01 20:15:00 428.522000 
    2016/06/01 20:30:00 428.525500 
    2016/06/01 20:45:00 428.524917 
    2016/06/01 21:00:00 428.526500 
    2016/06/01 21:15:00 428.527333 
    2016/06/01 21:30:00 428.527917 
    2016/06/01 21:45:00 428.529750 
    2016/06/01 22:00:00 428.532333 
    2016/06/01 22:15:00 428.532917 
    2016/06/01 22:30:00 428.531000 
    2016/06/01 22:45:00 428.530833 
    2016/06/01 23:00:00 428.530167 
    2016/06/01 23:15:00 428.529000 
    2016/06/01 23:30:00 428.528000 
    2016/06/01 23:45:00 428.528583 
    2016/06/02 00:00:00 428.527250 
    2016/06/02 00:15:00 428.524750 
    2016/06/02 00:30:00 428.522917 
    2016/06/02 00:45:00 428.523500 
    2016/06/02 01:00:00 428.518750 
    2016/06/02 01:15:00 428.520167 
    2016/06/02 01:30:00 428.520000 
    2016/06/02 01:45:00 428.520000 
    2016/06/02 02:00:00 428.518833 
    2016/06/02 02:15:00 428.520250 
    2016/06/02 02:30:00 428.519250 
    2016/06/02 02:45:00 428.519167 
    2016/06/02 03:00:00 428.518000 
    2016/06/02 03:15:00 428.519750 
    2016/06/02 03:30:00 428.518667 
    2016/06/02 03:45:00 428.520250 
    2016/06/02 04:00:00 428.519250 
    2016/06/02 04:15:00 428.520167 
    2016/06/02 04:30:00 428.519000 
    2016/06/02 04:45:00 428.521917 
    2016/06/02 05:00:00 428.523917 
    2016/06/02 05:15:00 428.522750 
    2016/06/02 05:30:00 428.523750 
    2016/06/02 05:45:00 428.526083 
    2016/06/02 06:00:00 428.526250 
    2016/06/02 06:15:00 428.525917 
    2016/06/02 06:30:00 428.522667 
    2016/06/02 06:45:00 428.524500 
    2016/06/02 07:00:00 428.525083 
    2016/06/02 07:15:00 428.524417 
    2016/06/02 07:30:00 428.526250 
    2016/06/02 07:45:00 428.524083 
    2016/06/02 08:00:00 428.524833 
    2016/06/02 08:15:00 428.525250 
    2016/06/02 08:30:00 428.525833 
    2016/06/02 08:45:00 428.527167 
    2016/06/02 09:00:00 428.528750 
    2016/06/02 09:15:00 428.527750 
    2016/06/02 09:30:00 428.528083 
    2016/06/02 09:45:00 428.525750 
    2016/06/02 10:00:00 428.523750 
    2016/06/02 10:15:00 428.523167 
    2016/06/02 10:30:00 428.522000 
    2016/06/02 10:45:00 428.520833 
    2016/06/02 11:00:00 428.520250 
    2016/06/02 11:15:00 428.520250 
    2016/06/02 11:30:00 428.522083 
    2016/06/02 11:45:00 428.518833 
    2016/06/02 12:00:00 428.517500 
    2016/06/02 12:15:00 428.518083 
    2016/06/02 12:30:00 428.513250 
    2016/06/02 12:45:00 428.513250 
    2016/06/02 13:00:00 428.515417 
    2016/06/02 13:15:00 428.512833 
    2016/06/02 13:30:00 428.514000 
    2016/06/02 13:45:00 428.511667 
    2016/06/02 14:00:00 428.508917 
    2016/06/02 14:15:00 428.506000 
    2016/06/02 14:30:00 428.501833 
    2016/06/02 14:45:00 428.501833 
    2016/06/02 15:00:00 428.506000 
    2016/06/02 15:15:00 428.499500 
    2016/06/02 15:30:00 428.495500 
    2016/06/02 15:45:00 428.493500 
    2016/06/02 16:00:00 428.493333 
    2016/06/02 16:15:00 428.492167 
    2016/06/02 16:30:00 428.490000 
    2016/06/02 16:45:00 428.488667 
    2016/06/02 17:00:00 428.488000 
    2016/06/02 17:15:00 428.488000 
    2016/06/02 17:30:00 428.488583 
    2016/06/02 17:45:00 428.486333 
    2016/06/02 18:00:00 428.483000 
    2016/06/02 18:15:00 428.483000 
    2016/06/02 18:30:00 428.481167 
    2016/06/02 18:45:00 428.476750 
    2016/06/02 19:00:00 428.475583 
    2016/06/02 19:15:00 428.475583 
    2016/06/02 19:30:00 428.476750 
    2016/06/02 19:45:00 428.474417 
    2016/06/02 20:00:00 428.475000 
    2016/06/02 20:15:00 428.471250 
    2016/06/02 20:30:00 428.471417 
    2016/06/02 20:45:00 428.470250 
    2016/06/02 21:00:00 428.473000 
    2016/06/02 21:15:00 428.468917 
    2016/06/02 21:30:00 428.470917 
    2016/06/02 21:45:00 428.471500 
    2016/06/02 22:00:00 428.472667 
    2016/06/02 22:15:00 428.472250 
    2016/06/02 22:30:00 428.474250 
    2016/06/02 22:45:00 428.476000 
    2016/06/02 23:00:00 428.473667 
    2016/06/02 23:15:00 428.474250 
    2016/06/02 23:30:00 428.472083 
    2016/06/02 23:45:00 428.469750 
    2016/06/03 00:00:00 428.472750 
    2016/06/03 00:15:00 428.472750 
    2016/06/03 00:30:00 428.473333 
    2016/06/03 00:45:00 428.472500 
    2016/06/03 01:00:00 428.469583 
    2016/06/03 01:15:00 428.467917 
    2016/06/03 01:30:00 428.467500 
    2016/06/03 01:45:00 428.464167 
    2016/06/03 02:00:00 428.463250 
    2016/06/03 02:15:00 428.465250 
    2016/06/03 02:30:00 428.462083 
    2016/06/03 02:45:00 428.461583 
    2016/06/03 03:00:00 428.458000 
    2016/06/03 03:15:00 428.458000 
    2016/06/03 03:30:00 428.459083 
    2016/06/03 03:45:00 428.461250 
    2016/06/03 04:00:00 428.458667 
    2016/06/03 04:15:00 428.458083 
    2016/06/03 04:30:00 428.455750 
    2016/06/03 04:45:00 428.459667 
    2016/06/03 05:00:00 428.458583 
    2016/06/03 05:15:00 428.462500 
    2016/06/03 05:30:00 428.462333 
    2016/06/03 05:45:00 428.459667 
    2016/06/03 06:00:00 428.460500 
    2016/06/03 06:15:00 428.460833 
    2016/06/03 06:30:00 428.459167 
    2016/06/03 06:45:00 428.456000 
    2016/06/03 07:00:00 428.456000 
