----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/05/31 09:45:00 428.468000 
    2016/05/31 10:00:00 428.468000 
    2016/05/31 10:15:00 428.467420 
    2016/05/31 10:30:00 428.463000 
    2016/05/31 10:45:00 428.461000 
    2016/05/31 11:00:00 428.463090 
    2016/05/31 11:15:00 428.465340 
    2016/05/31 11:30:00 428.460670 
    2016/05/31 11:45:00 428.462420 
    2016/05/31 12:00:00 428.461840 
    2016/05/31 12:15:00 428.463340 
    2016/05/31 12:30:00 428.466500 
    2016/05/31 12:45:00 428.466840 
    2016/05/31 13:00:00 428.470340 
    2016/05/31 13:15:00 428.473250 
    2016/05/31 13:30:00 428.469170 
    2016/05/31 13:45:00 428.472670 
    2016/05/31 14:00:00 428.471500 
    2016/05/31 14:15:00 428.477340 
    2016/05/31 14:30:00 428.475000 
    2016/05/31 14:45:00 428.475000 
    2016/05/31 15:00:00 428.473250 
    2016/05/31 15:15:00 428.475000 
    2016/05/31 15:30:00 428.474420 
    2016/05/31 15:45:00 428.473840 
    2016/05/31 16:00:00 428.478500 
    2016/05/31 16:15:00 428.476750 
    2016/05/31 16:30:00 428.473840 
    2016/05/31 16:45:00 428.475590 
    2016/05/31 17:00:00 428.473250 
    2016/05/31 17:15:00 428.475590 
    2016/05/31 17:30:00 428.477670 
    2016/05/31 17:45:00 428.476170 
    2016/05/31 18:00:00 428.472340 
    2016/05/31 18:15:00 428.475250 
    2016/05/31 18:30:00 428.474090 
    2016/05/31 18:45:00 428.476170 
    2016/05/31 19:00:00 428.474090 
    2016/05/31 19:15:00 428.473500 
    2016/05/31 19:30:00 428.477670 
    2016/05/31 19:45:00 428.474090 
    2016/05/31 20:00:00 428.475340 
    2016/05/31 20:15:00 428.475920 
    2016/05/31 20:30:00 428.472340 
    2016/05/31 20:45:00 428.478170 
    2016/05/31 21:00:00 428.476750 
    2016/05/31 21:15:00 428.475840 
    2016/05/31 21:30:00 428.476170 
    2016/05/31 21:45:00 428.478500 
    2016/05/31 22:00:00 428.475000 
    2016/05/31 22:15:00 428.477000 
    2016/05/31 22:30:00 428.479670 
    2016/05/31 22:45:00 428.475000 
    2016/05/31 23:00:00 428.482000 
    2016/05/31 23:15:00 428.474670 
    2016/05/31 23:30:00 428.479670 
    2016/05/31 23:45:00 428.480250 
    2016/06/01 00:00:00 428.480250 
    2016/06/01 00:15:00 428.479340 
    2016/06/01 00:30:00 428.476170 
    2016/06/01 00:45:00 428.479670 
    2016/06/01 01:00:00 428.477590 
    2016/06/01 01:15:00 428.479670 
    2016/06/01 01:30:00 428.476170 
    2016/06/01 01:45:00 428.475840 
    2016/06/01 02:00:00 428.475000 
    2016/06/01 02:15:00 428.479670 
    2016/06/01 02:30:00 428.476750 
    2016/06/01 02:45:00 428.472090 
    2016/06/01 03:00:00 428.478170 
    2016/06/01 03:15:00 428.473500 
    2016/06/01 03:30:00 428.474670 
    2016/06/01 03:45:00 428.472340 
    2016/06/01 04:00:00 428.474920 
    2016/06/01 04:15:00 428.476420 
    2016/06/01 04:30:00 428.473170 
    2016/06/01 04:45:00 428.474670 
    2016/06/01 05:00:00 428.473500 
    2016/06/01 05:15:00 428.470590 
    2016/06/01 05:30:00 428.471170 
    2016/06/01 05:45:00 428.473170 
    2016/06/01 06:00:00 428.470250 
