					
Daily Data Between Two Dates					
 EMBARRASS (MN)					
 USC00212576					
					
Date	PRCP	SNOW	SNWD	TMAX	TMIN
10/18/2015	0	0	0	48	17
10/19/2015	0	0	0	57	17
10/20/2015	0	0	0	67	27
10/21/2015	0.08	0	0	50	27
10/22/2015	0	0	0	40	21
10/23/2015	0	0	0	51	21
10/24/2015	0.74	0	0	42	37
10/25/2015	0	0	0	50	26
10/26/2015	0	0	0	45	18
10/27/2015	T	0	0	49	18
10/28/2015	0.3	M	M	48	34
10/29/2015	0.55	T	0	45	31
10/30/2015	0.06	0	0	37	33
10/31/2015	T	0	0	42	33
11/1/2015	0.03	0	0	45	41
11/2/2015	0.2	0	0	43	31
11/3/2015	0	0	0	58	31
11/4/2015	T	0	0	58	39
11/5/2015	T	0	0	54	47
11/6/2015	M	M	M	58	37
11/7/2015	0.15	0	0	52	32
11/8/2015	0	0	0	52	30
11/9/2015	0	0	0	52	32
11/10/2015	0	0	0	55	37
11/11/2015	0	0	0	55	39
11/12/2015	0.25	0	0	46	38
11/13/2015	0.6	3	3	38	26
11/14/2015	0	0	3	31	15
11/15/2015	0	0	2	43	21
11/16/2015	0	0	1	51	21
11/17/2015	0.64	0	0	44	37
11/18/2015	0.77	0	0	47	42
11/19/2015	0.19	T	M	53	24
11/20/2015	0.06	1	1	25	16
11/21/2015	0	0	1	21	10
11/22/2015	0	0	1	20	0
11/23/2015	T	T	1	25	0
11/24/2015	0.03	0.5	1	30	23
11/25/2015	0	0	1	37	23
11/26/2015	T	T	1	35	24
11/27/2015	0.03	0.5	1	24	6
11/28/2015	M	M	1	20	6
11/29/2015	0	0	1	29	1
11/30/2015	0	0	1	31	1
12/1/2015	T	M	M	32	11
12/2/2015	0.3	2	2	33	30
12/3/2015	0	0	2	31	25
12/4/2015	0	0	2	30	12
12/5/2015	0	0	2	41	12
12/6/2015	0	0	1	40	32
12/7/2015	0	0	M	36	15
12/8/2015	0	M	M	35	15
12/9/2015	0	0	T	38	22
12/10/2015	0.28	0	M	37	22
12/11/2015	0.5	1	1	38	27
12/12/2015	0	0	1	29	27
12/13/2015	0.02	M	M	34	28
12/14/2015	0.25	2	2	32	25
12/15/2015	0.03	T	2	26	17
12/16/2015	T	T	2	27	17
12/17/2015	0.3	4	6	32	12
12/18/2015	0.18	M	8	16	8
12/19/2015	T	T	8	10	2
12/20/2015	0	0	7	20	3
12/21/2015	0	0	6	25	15
