 


Daily Data Between Two Dates
 EMBARRASS (MN)
 USC00212576

Date,PRCP,SNOW,SNWD,TMAX,TMIN,
2015-10-18,0.00,0.0,0,48,17,
2015-10-19,0.00,0.0,0,57,17,
2015-10-20,0.00,0.0,0,67,27,
2015-10-21,0.08,0.0,0,50,27,
2015-10-22,0.00,0.0,0,40,21,
2015-10-23,0.00,0.0,0,51,21,
2015-10-24,0.74,0.0,0,42,37,
2015-10-25,0.00,0.0,0,50,26,
2015-10-26,0.00,0.0,0,45,18,
2015-10-27,T,0.0,0,49,18,
2015-10-28,0.30,M,M,48,34,
2015-10-29,0.55,T,0,45,31,
2015-10-30,0.06,0.0,0,37,33,
2015-10-31,T,0.0,0,42,33,
2015-11-01,0.03,0.0,0,45,41,
2015-11-02,0.20,0.0,0,43,31,
2015-11-03,0.00,0.0,0,58,31,
2015-11-04,T,0.0,0,58,39,
2015-11-05,T,0.0,0,54,47,
2015-11-06,M,M,M,58,37,
2015-11-07,0.15,0.0,0,52,32,
2015-11-08,0.00,0.0,0,52,30,
2015-11-09,0.00,0.0,0,52,32,
2015-11-10,0.00,0.0,0,55,37,
2015-11-11,0.00,0.0,0,55,39,
2015-11-12,0.25,0.0,0,46,38,
2015-11-13,0.60,3.0,3,38,26,
2015-11-14,0.00,0.0,3,31,15,
2015-11-15,0.00,0.0,2,43,21,
2015-11-16,0.00,0.0,1,51,21,
2015-11-17,0.64,0.0,0,44,37,
2015-11-18,0.77,0.0,0,47,42,
2015-11-19,0.19,T,M,53,24,
2015-11-20,0.06,1.0,1,25,16,
2015-11-21,0.00,0.0,1,21,10,
2015-11-22,0.00,0.0,1,20,0,
2015-11-23,T,T,1,25,0,
2015-11-24,0.03,0.5,1,30,23,
2015-11-25,0.00,0.0,1,37,23,
2015-11-26,T,T,1,35,24,
2015-11-27,0.03,0.5,1,24,6,
2015-11-28,M,M,1,20,6,
2015-11-29,0.00,0.0,1,29,1,
2015-11-30,0.00,0.0,1,31,1,
2015-12-01,T,M,M,32,11,
2015-12-02,0.30,2.0,2,33,30,
2015-12-03,0.00,0.0,2,31,25,
2015-12-04,0.00,0.0,2,30,12,
2015-12-05,0.00,0.0,2,41,12,
2015-12-06,0.00,0.0,1,40,32,
2015-12-07,0.00,0.0,M,36,15,
2015-12-08,0.00,M,M,35,15,
2015-12-09,0.00,0.0,T,38,22,
2015-12-10,0.28,0.0,M,37,22,
2015-12-11,0.50,1.0,1,38,27,
2015-12-12,0.00,0.0,1,29,27,
2015-12-13,0.02,M,M,34,28,
2015-12-14,0.25,2.0,2,32,25,
2015-12-15,0.03,T,2,26,17,
2015-12-16,T,T,2,27,17,
2015-12-17,0.30,4.0,6,32,12,
2015-12-18,0.18,M,8,16,8,
2015-12-19,T,T,8,10,2,
2015-12-20,0.00,0.0,7,20,3,
2015-12-21,0.00,0.0,6,25,15,
2015-12-22,0.00,0.0,6,23,15,
2015-12-23,T,T,6,31,23,
2015-12-24,0.13,1.0,7,35,14,
2015-12-25,T,T,7,18,-1,
2015-12-26,0.03,0.5,7,21,11,
2015-12-27,0.10,2.0,9,20,3,
2015-12-28,0.00,0.0,9,12,-1,
2015-12-29,0.00,0.0,9,18,5,
2015-12-30,0.00,0.0,9,12,0,
2015-12-31,M,M,8,16,-3,
2016-01-01,T,T,7,18,12,
2016-01-02,T,T,7,25,4,
2016-01-03,M,T,6,27,4,
2016-01-04,T,T,6,27,11,
2016-01-05,0.00,0.0,M,25,11,
2016-01-06,M,M,M,26,13,
2016-01-07,0.02,T,6,27,19,
2016-01-08,0.10,2.0,8,30,24,
2016-01-09,T,T,8,25,3,
2016-01-10,T,T,8,3,-28,
2016-01-11,M,M,8,-4,-34,
