Depth: 0       0.015       0.065       0.165       0.365
Mean Square Error: 0.08676    0.060714    0.067436
Nash–Sutcliffe Efficiency: 0.99084     0.99485     0.99534
date;qz[l/m²/day]
130500;1.3068e-05
216900;1.1246e-05
303300;1.0616e-05
389700;1.4558e-05
476100;1.4255e-05
562500;1.2191e-05
648900;1.3824e-05
735300;1.4038e-05
821700;1.8609e-05
908100;2.2627e-05
994500;2.4865e-05
1080900;1.3291e-05
1167300;7.6229e-06
1253700;7.7057e-06
1340100;7.4679e-06
1426500;7.4524e-06
1512900;6.2245e-06
1599300;7.4848e-06
1685700;8.2998e-06
1772100;3.3838e-06
1858500;7.3218e-06
1944900;4.1333e-06
2031300;4.1113e-06
2117700;5.589e-06
2204100;6.6959e-06
2290500;8.5159e-06
2376900;4.7946e-06
2463300;7.3476e-06
2549700;5.9373e-06
2636100;4.7007e-06
2722500;3.58e-06
2808900;4.2412e-06
2895300;2.7827e-06
2981700;1.1828e-06
3068100;1.2225e-06
3154500;6.0032e-07
3240900;1.6544e-06
3327300;4.2882e-06
3413700;3.5474e-06
3500100;-8.3602e-08
3586500;8.0516e-06
3672900;4.9445e-06
3759300;2.3076e-07
3845700;2.7036e-08
3932100;6.665e-08
4018500;-4.7544e-07
4104900;1.0976e-07
4191300;2.7077e-07
4277700;6.3276e-08
4364100;6.0058e-08
4450500;-1.1289e-06
4536900;-7.7557e-07
4623300;-2.5942e-07
4709700;-6.269e-08
4796100;-1.7132e-07
4882500;1.0551e-07
4968900;-1.9772e-07
5055300;4.6159e-08
5141700;-3.8507e-08
5228100;-2.4234e-07
5314500;-1.3273e-06
5400900;-3.0104e-06
5487300;-1.67e-06
5573700;-3.1916e-06
5660100;-4.7997e-06
5746500;-3.4498e-06
5832900;-2.254e-06
5919300;-5.1944e-06
6005700;-4.4681e-06
6092100;-4.3562e-06
6178500;-7.2081e-06
6264900;-1.6148e-05
6351300;-1.3363e-05
6437700;-2.3249e-06
6524100;-2.9652e-06
6610500;-6.7428e-06
6696900;-5.4701e-06
6783300;-6.3602e-06
6869700;-6.5161e-06
6956100;-6.6984e-06
7042500;-6.5975e-06
7128900;-5.1799e-06
7215300;-4.0843e-06
7301700;-2.2101e-06
7388100;-1.0839e-05
7474500;-3.7842e-06
7560900;-9.0566e-06
7647300;-8.0339e-06
7733700;-1.0509e-05
7820100;-1.302e-05
7906500;-1.2003e-05
7992900;-2.3577e-05
8079300;-1.7766e-05
8165700;-1.419e-05
8252100;-1.2744e-05
