Depth: 0        0.05        0.15       0.175        0.25        0.35        0.55
Mean Square Error: 0.060623    0.050963    0.020244     0.01654   0.0097125
Nash–Sutcliffe Efficiency: 0.99807     0.99839     0.99937     0.99948      0.9997
date;qz[l/m²/day]
734678.0833;4.6291e-005
734679.0833;4.8294e-005
734680.0833;4.2514e-005
734681.0833;3.6732e-005
734682.0833;3.5939e-005
734683.0833;3.6734e-005
734684.0833;3.3098e-005
734685.0833;3.0773e-005
734686.0833;2.7749e-005
734687.0833;3.028e-005
734688.0833;2.4493e-005
734689.0833;1.9681e-005
734690.0833;2.5464e-005
734691.0833;2.4559e-005
734692.0833;2.6395e-005
734693.0833;2.7746e-005
734694.0833;2.6367e-005
734695.0833;2.9391e-005
734696.0833;2.7549e-005
734697.0833;2.5126e-005
734698.0833;2.5126e-005
734699.0833;2.5524e-005
734700.0833;2.5112e-005
734701.0833;2.2741e-005
734702.0833;2.5099e-005
734703.0833;2.348e-005
734704.0833;2.2004e-005
734705.0833;2.2004e-005
734706.0833;2.2004e-005
734707.0833;2.3355e-005
734708.0833;2.033e-005
734709.0833;2.033e-005
734710.0833;2.033e-005
734711.0833;1.923e-005
734712.0833;2.0366e-005
734713.0833;2.0366e-005
734714.0833;2.1502e-005
734715.0833;2.2631e-005
734716.0833;1.6844e-005
734717.0833;1.8195e-005
734718.0833;1.9553e-005
734719.0833;1.9861e-005
734720.0833;2.0576e-005
734721.0833;2.0163e-005
734722.0833;1.9258e-005
734723.0833;1.973e-005
734724.0833;1.9957e-005
734725.0833;1.9624e-005
734726.0833;1.7701e-005
734727.0833;1.7304e-005
734728.0833;1.7302e-005
734729.0833;1.7359e-005
734730.0833;1.8264e-005
734731.0833;1.8264e-005
734732.0833;1.8264e-005
734733.0833;1.7836e-005
734734.0833;1.5727e-005
734735.0833;2.0219e-005
734736.0833;1.79e-005
734737.0833;1.6051e-005
734738.0833;1.7781e-005
734739.0833;1.7781e-005
734740.0833;1.201e-005
734741.0833;6.8535e-006
734742.0833;1.264e-005
734743.0833;1.1097e-005
734744.0833;1.3812e-005
734745.0833;1.4365e-005
734746.0833;1.5284e-005
734747.0833;1.3933e-005
734748.0833;1.4465e-005
734749.0833;1.4122e-005
734750.0833;1.5222e-005
734751.0833;1.074e-005
734752.0833;7.6168e-006
734753.0833;7.2937e-006
734754.0833;7.6911e-006
734755.0833;6.1613e-006
734756.0833;5.4776e-006
734757.0833;7.3736e-006
734758.0833;4.1335e-006
734759.0833;4.7524e-006
734760.0833;6.5946e-006
734761.0833;6.6523e-006
734762.0833;6.8192e-006
734763.0833;5.6221e-006
734764.0833;7.7446e-006
734765.0833;9.0886e-006
734766.0833;9.9939e-006
734767.0833;9.3851e-006
734768.0833;8.4658e-006
734769.0833;1.0389e-005
734770.0833;1.0389e-005
734771.0833;1.122e-005
734772.0833;1.0364e-005
734773.0833;9.5922e-006
734774.0833;7.0667e-006
734775.0833;7.0383e-006
734776.0833;8.3895e-006
734777.0833;9.8652e-006
734778.0833;1.0491e-005
734779.0833;1.0434e-005
734780.0833;8.5383e-006
734781.0833;9.4435e-006
734782.0833;1.0363e-005
734783.0833;6.9674e-006
734784.0833;5.7932e-006
734785.0833;5.1976e-006
734786.0833;4.4429e-006
734787.0833;4.2652e-006
734788.0833;2.4761e-006
734789.0833;3.0141e-006
734790.0833;1.6908e-006
734791.0833;1.6429e-006
734792.0833;1.6349e-006
734793.0833;1.4342e-006
734794.0833;1.4981e-006
734795.0833;1.08e-006
734796.0833;3.0513e-006
734797.0833;3.6186e-006
734798.0833;3.7127e-006
734799.0833;3.2887e-006
734800.0833;2.9321e-006
734801.0833;6.47e-006
734802.0833;4.9257e-006
734803.0833;5.2628e-006
734804.0833;6.3264e-006
734805.0833;4.9752e-006
734806.0833;5.3115e-006
734807.0833;3.2019e-006
734808.0833;4.6763e-006
734809.0833;5.8053e-006
734810.0833;4.7042e-006
734811.0833;3.243e-006
734812.0833;2.9014e-006
734813.0833;1.7315e-006
734814.0833;1.2492e-006
734815.0833;1.2261e-006
734816.0833;1.5855e-006
734817.0833;1.2882e-006
734818.0833;9.4619e-007
734819.0833;1.2435e-006
734820.0833;1.0331e-006
734821.0833;1.0544e-006
734822.0833;9.9856e-007
734823.0833;1.0112e-006
734824.0833;9.3759e-007
734825.0833;1.23e-006
734826.0833;1.0955e-006
734827.0833;3.269e-006
734828.0833;1.7803e-006
