Depth: 0        0.05         0.1        0.15         0.2         0.3
Mean Square Error: 0.70024    0.090565     0.22105    0.088492
Nash–Sutcliffe Efficiency: 0.76252     0.97681     0.95098     0.98333
date;qz[l/m²/day]
736482.875;-1.9657e-06
736483.875;-1.6179e-06
736484.875;-1.4493e-06
736485.875;-1.3942e-06
736486.875;-2.4991e-06
736487.875;-1.7362e-06
736488.875;-2.1055e-06
736489.875;-2.3149e-06
736490.875;-2.2687e-06
736491.875;-2.1236e-06
736492.875;-2.0064e-06
736493.875;-1.0806e-06
736494.8819;-1.1592e-06
736495.8819;-1.7661e-06
736496.8819;-1.4856e-06
736497.8819;-2.4485e-06
736498.8819;-1.8628e-06
736499.8819;-2.2145e-06
736500.8819;-2.044e-06
736501.8819;-1.6677e-06
736502.8819;-1.6677e-06
736503.8819;-1.6056e-06
736504.8819;-2.1475e-06
736505.8819;-2.0836e-06
736506.8819;-1.6649e-06
736507.8819;-1.6303e-06
736508.8819;-1.105e-06
736509.8819;-2.07e-06
736510.8819;-2.1339e-06
736511.8819;-1.6458e-06
736512.8819;-1.9302e-06
736513.8819;-1.9932e-06
736514.8819;-2.0846e-06
736515.8819;-1.8749e-06
736516.8819;-2.1303e-06
736517.8819;-2.101e-06
736518.8819;-1.3456e-06
736519.8819;-1.4965e-06
736520.8819;-2.1411e-06
736521.8819;-1.8287e-06
736522.8819;-1.3867e-06
736523.8819;-2.1914e-06
736524.8819;-1.6483e-06
736525.8819;-1.1939e-06
736526.8819;-2.1626e-06
736527.8819;-2.1795e-06
736528.8819;-1.7624e-06
736529.8819;-1.8955e-06
736530.8819;-2.3051e-06
736531.8819;-2.2651e-06
736532.8819;-2.0396e-06
736533.8819;-1.871e-06
736534.8819;-1.4361e-06
736535.8819;-1.917e-06
736536.8819;-1.9953e-06
736537.8819;-2.0996e-06
736538.8819;-1.3899e-06
736539.8819;-1.862e-06
736540.8819;-1.9194e-06
736541.8819;-2.0473e-06
736542.8819;-2.065e-06
