, 0.3, 0.2, 0.15, 0.1, 0.5, 0
05/30/2016 16:00,12.76,14.02,14.8,15.63,17.22,19.63
05/30/2016 16:10,12.7,14.02,14.8,15.63,17.27,19.66
05/30/2016 16:20,12.67,13.99,14.8,15.66,17.3,19.71
05/30/2016 16:30,12.67,13.99,14.8,15.66,17.3,19.77
05/30/2016 16:40,12.67,13.99,14.8,15.66,17.36,19.8
05/30/2016 16:50,12.64,13.93,14.8,15.66,17.39,19.8
05/30/2016 17:00,12.61,13.99,14.8,15.72,17.39,19.85
05/30/2016 17:10,12.61,13.93,14.8,15.75,17.47,19.88
05/30/2016 17:20,12.61,13.96,14.8,15.75,17.47,19.97
05/30/2016 17:30,12.61,13.93,14.86,15.75,17.53,20
05/30/2016 17:40,12.61,13.96,14.86,15.81,17.56,20.06
05/30/2016 17:50,12.61,13.96,14.89,15.84,17.56,20.06
05/30/2016 18:00,12.61,13.99,14.89,15.84,17.65,20.06
05/30/2016 18:10,12.61,13.99,14.89,15.89,17.65,20.09
05/30/2016 18:20,12.61,13.99,14.89,15.92,17.67,20.11
05/30/2016 18:30,12.61,13.99,14.95,15.92,17.73,20.14
05/30/2016 18:40,12.58,13.99,14.95,15.92,17.73,20.11
05/30/2016 18:50,12.58,13.99,14.97,15.98,17.79,20.11
05/30/2016 19:00,12.58,14.02,14.97,16.01,17.82,20.09
05/30/2016 19:10,12.58,14.02,14.97,16.01,17.82,20.11
05/30/2016 19:20,12.58,14.02,14.97,16.07,17.84,20.09
05/30/2016 19:30,12.58,14.02,15.03,16.1,17.87,20.06
05/30/2016 19:40,12.58,14.02,15,16.1,17.9,20.06
05/30/2016 19:50,12.58,14.02,15.06,16.1,17.9,20.03
05/30/2016 20:00,12.58,14.04,15.06,16.15,17.9,19.97
05/30/2016 20:10,12.58,14.07,15.06,16.18,17.9,19.97
05/30/2016 20:20,12.58,14.07,15.09,16.18,17.96,19.91
05/30/2016 20:30,12.58,14.1,15.12,16.21,17.99,19.88
05/30/2016 20:40,12.55,14.1,15.14,16.24,17.99,19.83
05/30/2016 20:50,12.58,14.1,15.14,16.27,17.99,19.77
05/30/2016 21:00,12.58,14.1,15.14,16.27,17.99,19.71
05/30/2016 21:10,12.58,14.1,15.14,16.27,17.96,19.68
05/30/2016 21:20,12.58,14.1,15.2,16.29,17.99,19.63
05/30/2016 21:30,12.58,14.13,15.23,16.32,17.99,19.6
05/30/2016 21:40,12.58,14.16,15.23,16.35,17.99,19.54
